Date,Day,Time,Pred,High/Low
2021/02/01,Mon,00:17,-0.3,L
2021/02/01,Mon,06:28,3.01,H
2021/02/01,Mon,12:32,-0.09,L
2021/02/01,Mon,18:42,3.23,H
2021/02/02,Tue,01:01,-0.27,L
2021/02/02,Tue,07:13,3.07,H
2021/02/02,Tue,13:22,-0.1,L
2021/02/02,Tue,19:31,3.13,H
2021/02/03,Wed,01:49,-0.19,L
2021/02/03,Wed,08:01,3.1,H
2021/02/03,Wed,14:16,-0.07,L
2021/02/03,Wed,20:25,3.0,H
2021/02/04,Thu,02:40,-0.08,L
2021/02/04,Thu,08:53,3.1,H
2021/02/04,Thu,15:14,-0.03,L
2021/02/04,Thu,21:23,2.85,H
2021/02/05,Fri,03:35,0.04,L
2021/02/05,Fri,09:50,3.09,H
2021/02/05,Fri,16:16,0.0,L
2021/02/05,Fri,22:26,2.73,H
2021/02/06,Sat,04:34,0.14,L
2021/02/06,Sat,10:50,3.08,H
2021/02/06,Sat,17:20,0.02,L
2021/02/06,Sat,23:33,2.64,H
2021/02/07,Sun,05:35,0.21,L
2021/02/07,Sun,11:54,3.08,H
2021/02/07,Sun,18:25,-0.0,L
2021/02/08,Mon,00:41,2.63,H
2021/02/08,Mon,06:38,0.23,L
2021/02/08,Mon,12:58,3.11,H
2021/02/08,Mon,19:29,-0.07,L
2021/02/09,Tue,01:47,2.67,H
2021/02/09,Tue,07:40,0.19,L
2021/02/09,Tue,13:59,3.17,H
2021/02/09,Tue,20:28,-0.14,L
2021/02/10,Wed,02:44,2.75,H
2021/02/10,Wed,08:36,0.12,L
2021/02/10,Wed,14:55,3.22,H
2021/02/10,Wed,21:20,-0.2,L
2021/02/11,Thu,03:36,2.82,H
2021/02/11,Thu,09:28,0.06,L
2021/02/11,Thu,15:45,3.24,H
2021/02/11,Thu,22:08,-0.22,L
2021/02/12,Fri,04:23,2.87,H
2021/02/12,Fri,10:17,0.02,L
2021/02/12,Fri,16:33,3.22,H
2021/02/12,Fri,22:52,-0.2,L
2021/02/13,Sat,05:07,2.89,H
2021/02/13,Sat,11:03,0.02,L
2021/02/13,Sat,17:17,3.17,H
2021/02/13,Sat,23:34,-0.15,L
2021/02/14,Sun,05:48,2.9,H
2021/02/14,Sun,11:47,0.04,L
2021/02/14,Sun,18:00,3.08,H
2021/02/15,Mon,00:14,-0.05,L
2021/02/15,Mon,06:28,2.88,H
2021/02/15,Mon,12:30,0.09,L
2021/02/15,Mon,18:42,2.96,H
2021/02/16,Tue,00:54,0.06,L
2021/02/16,Tue,07:07,2.84,H
2021/02/16,Tue,13:14,0.17,L
2021/02/16,Tue,19:25,2.82,H
2021/02/17,Wed,01:34,0.2,L
2021/02/17,Wed,07:47,2.79,H
2021/02/17,Wed,14:00,0.26,L
2021/02/17,Wed,20:10,2.67,H
2021/02/18,Thu,02:17,0.33,L
2021/02/18,Thu,08:31,2.73,H
2021/02/18,Thu,14:48,0.35,L
2021/02/18,Thu,20:59,2.52,H
2021/02/19,Fri,03:04,0.46,L
2021/02/19,Fri,09:18,2.67,H
2021/02/19,Fri,15:41,0.42,L
2021/02/19,Fri,21:52,2.4,H
2021/02/20,Sat,03:54,0.56,L
2021/02/20,Sat,10:09,2.63,H
2021/02/20,Sat,16:36,0.46,L
2021/02/20,Sat,22:48,2.33,H
2021/02/21,Sun,04:46,0.62,L
2021/02/21,Sun,11:03,2.63,H
2021/02/21,Sun,17:32,0.46,L
2021/02/21,Sun,23:47,2.3,H
2021/02/22,Mon,05:41,0.62,L
2021/02/22,Mon,12:00,2.67,H
2021/02/22,Mon,18:30,0.4,L
2021/02/23,Tue,00:45,2.35,H
2021/02/23,Tue,06:37,0.57,L
2021/02/23,Tue,12:55,2.77,H
2021/02/23,Tue,19:24,0.28,L
2021/02/24,Wed,01:38,2.45,H
2021/02/24,Wed,07:30,0.45,L
2021/02/24,Wed,13:47,2.91,H
2021/02/24,Wed,20:13,0.13,L
2021/02/25,Thu,02:26,2.59,H
2021/02/25,Thu,08:19,0.29,L
2021/02/25,Thu,14:34,3.06,H
2021/02/25,Thu,20:58,-0.04,L
2021/02/26,Fri,03:09,2.75,H
2021/02/26,Fri,09:06,0.12,L
2021/02/26,Fri,15:19,3.2,H
2021/02/26,Fri,21:41,-0.18,L
2021/02/27,Sat,03:51,2.91,H
2021/02/27,Sat,09:52,-0.06,L
2021/02/27,Sat,16:03,3.31,H
2021/02/27,Sat,22:24,-0.3,L
2021/02/28,Sun,04:34,3.06,H
2021/02/28,Sun,10:38,-0.2,L
2021/02/28,Sun,16:49,3.37,H
2021/02/28,Sun,23:07,-0.37,L
