Date,Day,Time,Pred,High/Low
2021/07/01,Thu,02:54,0.38,L
2021/07/01,Thu,09:08,2.93,H
2021/07/01,Thu,15:24,0.24,L
2021/07/01,Thu,21:47,2.87,H
2021/07/02,Fri,03:53,0.43,L
2021/07/02,Fri,10:05,2.79,H
2021/07/02,Fri,16:16,0.36,L
2021/07/02,Fri,22:38,2.85,H
2021/07/03,Sat,04:50,0.46,L
2021/07/03,Sat,11:02,2.67,H
2021/07/03,Sat,17:07,0.47,L
2021/07/03,Sat,23:29,2.85,H
2021/07/04,Sun,05:46,0.46,L
2021/07/04,Sun,11:58,2.6,H
2021/07/04,Sun,17:57,0.54,L
2021/07/05,Mon,00:19,2.87,H
2021/07/05,Mon,06:41,0.42,L
2021/07/05,Mon,12:53,2.56,H
2021/07/05,Mon,18:47,0.58,L
2021/07/06,Tue,01:07,2.9,H
2021/07/06,Tue,07:33,0.37,L
2021/07/06,Tue,13:45,2.57,H
2021/07/06,Tue,19:35,0.58,L
2021/07/07,Wed,01:53,2.95,H
2021/07/07,Wed,08:20,0.3,L
2021/07/07,Wed,14:32,2.59,H
2021/07/07,Wed,20:20,0.56,L
2021/07/08,Thu,02:36,3.0,H
2021/07/08,Thu,09:02,0.23,L
2021/07/08,Thu,15:15,2.62,H
2021/07/08,Thu,21:03,0.52,L
2021/07/09,Fri,03:17,3.05,H
2021/07/09,Fri,09:43,0.17,L
2021/07/09,Fri,15:57,2.65,H
2021/07/09,Fri,21:45,0.48,L
2021/07/10,Sat,03:57,3.09,H
2021/07/10,Sat,10:24,0.12,L
2021/07/10,Sat,16:38,2.69,H
2021/07/10,Sat,22:26,0.45,L
2021/07/11,Sun,04:38,3.12,H
2021/07/11,Sun,11:04,0.08,L
2021/07/11,Sun,17:18,2.72,H
2021/07/11,Sun,23:08,0.41,L
2021/07/12,Mon,05:19,3.14,H
2021/07/12,Mon,11:44,0.04,L
2021/07/12,Mon,17:58,2.77,H
2021/07/12,Mon,23:51,0.37,L
2021/07/13,Tue,06:00,3.15,H
2021/07/13,Tue,12:24,0.02,L
2021/07/13,Tue,18:39,2.82,H
2021/07/14,Wed,00:35,0.34,L
2021/07/14,Wed,06:44,3.14,H
2021/07/14,Wed,13:07,0.02,L
2021/07/14,Wed,19:20,2.89,H
2021/07/15,Thu,01:22,0.3,L
2021/07/15,Thu,07:29,3.1,H
2021/07/15,Thu,13:51,0.03,L
2021/07/15,Thu,20:05,2.97,H
2021/07/16,Fri,02:12,0.26,L
2021/07/16,Fri,08:19,3.05,H
2021/07/16,Fri,14:39,0.06,L
2021/07/16,Fri,20:53,3.04,H
2021/07/17,Sat,03:07,0.21,L
2021/07/17,Sat,09:13,2.98,H
2021/07/17,Sat,15:30,0.1,L
2021/07/17,Sat,21:44,3.13,H
2021/07/18,Sun,04:04,0.15,L
2021/07/18,Sun,10:10,2.92,H
2021/07/18,Sun,16:24,0.14,L
2021/07/18,Sun,22:38,3.21,H
2021/07/19,Mon,05:03,0.09,L
2021/07/19,Mon,11:11,2.87,H
2021/07/19,Mon,17:20,0.17,L
2021/07/19,Mon,23:34,3.28,H
2021/07/20,Tue,06:04,0.01,L
2021/07/20,Tue,12:13,2.85,H
2021/07/20,Tue,18:18,0.18,L
2021/07/21,Wed,00:33,3.36,H
2021/07/21,Wed,07:05,-0.08,L
2021/07/21,Wed,13:17,2.87,H
2021/07/21,Wed,19:18,0.16,L
2021/07/22,Thu,01:33,3.43,H
2021/07/22,Thu,08:05,-0.18,L
2021/07/22,Thu,14:17,2.92,H
2021/07/22,Thu,20:15,0.12,L
2021/07/23,Fri,02:30,3.49,H
2021/07/23,Fri,09:01,-0.26,L
2021/07/23,Fri,15:14,2.97,H
2021/07/23,Fri,21:11,0.07,L
2021/07/24,Sat,03:25,3.51,H
2021/07/24,Sat,09:55,-0.29,L
2021/07/24,Sat,16:09,3.01,H
2021/07/24,Sat,22:05,0.05,L
2021/07/25,Sun,04:19,3.5,H
2021/07/25,Sun,10:46,-0.29,L
2021/07/25,Sun,17:02,3.04,H
2021/07/25,Sun,22:57,0.06,L
2021/07/26,Mon,05:12,3.43,H
2021/07/26,Mon,11:35,-0.23,L
2021/07/26,Mon,17:53,3.04,H
2021/07/26,Mon,23:49,0.09,L
2021/07/27,Tue,06:03,3.33,H
2021/07/27,Tue,12:23,-0.13,L
2021/07/27,Tue,18:41,3.02,H
2021/07/28,Wed,00:39,0.15,L
2021/07/28,Wed,06:53,3.19,H
2021/07/28,Wed,13:10,0.0,L
2021/07/28,Wed,19:28,2.98,H
2021/07/29,Thu,01:29,0.24,L
2021/07/29,Thu,07:43,3.03,H
2021/07/29,Thu,13:56,0.15,L
2021/07/29,Thu,20:14,2.93,H
2021/07/30,Fri,02:21,0.33,L
2021/07/30,Fri,08:33,2.87,H
2021/07/30,Fri,14:44,0.31,L
2021/07/30,Fri,21:02,2.88,H
2021/07/31,Sat,03:15,0.4,L
2021/07/31,Sat,09:26,2.71,H
2021/07/31,Sat,15:32,0.45,L
2021/07/31,Sat,21:51,2.83,H
