Date,Day,Time,Pred,High/Low
2021/10/01,Fri,05:32,0.49,L
2021/10/01,Fri,11:50,2.47,H
2021/10/01,Fri,17:44,0.69,L
2021/10/01,Fri,23:59,2.8,H
2021/10/02,Sat,06:26,0.41,L
2021/10/02,Sat,12:43,2.58,H
2021/10/02,Sat,18:39,0.57,L
2021/10/03,Sun,00:54,2.91,H
2021/10/03,Sun,07:16,0.28,L
2021/10/03,Sun,13:31,2.75,H
2021/10/03,Sun,19:31,0.39,L
2021/10/04,Mon,01:44,3.04,H
2021/10/04,Mon,08:03,0.13,L
2021/10/04,Mon,14:15,2.94,H
2021/10/04,Mon,20:19,0.18,L
2021/10/05,Tue,02:30,3.18,H
2021/10/05,Tue,08:47,-0.01,L
2021/10/05,Tue,14:57,3.13,H
2021/10/05,Tue,21:06,-0.03,L
2021/10/06,Wed,03:16,3.28,H
2021/10/06,Wed,09:30,-0.12,L
2021/10/06,Wed,15:39,3.31,H
2021/10/06,Wed,21:52,-0.2,L
2021/10/07,Thu,04:02,3.34,H
2021/10/07,Thu,10:13,-0.18,L
2021/10/07,Thu,16:22,3.45,H
2021/10/07,Thu,22:39,-0.33,L
2021/10/08,Fri,04:49,3.34,H
2021/10/08,Fri,10:58,-0.2,L
2021/10/08,Fri,17:07,3.54,H
2021/10/08,Fri,23:28,-0.38,L
2021/10/09,Sat,05:39,3.29,H
2021/10/09,Sat,11:45,-0.15,L
2021/10/09,Sat,17:54,3.56,H
2021/10/10,Sun,00:18,-0.37,L
2021/10/10,Sun,06:30,3.19,H
2021/10/10,Sun,12:34,-0.05,L
2021/10/10,Sun,18:45,3.51,H
2021/10/11,Mon,01:11,-0.28,L
2021/10/11,Mon,07:24,3.06,H
2021/10/11,Mon,13:27,0.09,L
2021/10/11,Mon,19:39,3.4,H
2021/10/12,Tue,02:08,-0.15,L
2021/10/12,Tue,08:24,2.92,H
2021/10/12,Tue,14:25,0.24,L
2021/10/12,Tue,20:39,3.27,H
2021/10/13,Wed,03:10,-0.01,L
2021/10/13,Wed,09:29,2.8,H
2021/10/13,Wed,15:28,0.36,L
2021/10/13,Wed,21:44,3.14,H
2021/10/14,Thu,04:15,0.09,L
2021/10/14,Thu,10:37,2.75,H
2021/10/14,Thu,16:34,0.42,L
2021/10/14,Thu,22:52,3.06,H
2021/10/15,Fri,05:20,0.15,L
2021/10/15,Fri,11:45,2.77,H
2021/10/15,Fri,17:40,0.41,L
2021/10/16,Sat,00:01,3.02,H
2021/10/16,Sat,06:24,0.16,L
2021/10/16,Sat,12:48,2.84,H
2021/10/16,Sat,18:45,0.35,L
2021/10/17,Sun,01:05,3.03,H
2021/10/17,Sun,07:23,0.14,L
2021/10/17,Sun,13:44,2.94,H
2021/10/17,Sun,19:44,0.25,L
2021/10/18,Mon,02:01,3.05,H
2021/10/18,Mon,08:13,0.12,L
2021/10/18,Mon,14:31,3.03,H
2021/10/18,Mon,20:35,0.15,L
2021/10/19,Tue,02:50,3.06,H
2021/10/19,Tue,08:57,0.12,L
2021/10/19,Tue,15:12,3.09,H
2021/10/19,Tue,21:20,0.08,L
2021/10/20,Wed,03:33,3.04,H
2021/10/20,Wed,09:37,0.15,L
2021/10/20,Wed,15:50,3.12,H
2021/10/20,Wed,22:01,0.04,L
2021/10/21,Thu,04:14,2.99,H
2021/10/21,Thu,10:15,0.21,L
2021/10/21,Thu,16:26,3.12,H
2021/10/21,Thu,22:41,0.04,L
2021/10/22,Fri,04:54,2.93,H
2021/10/22,Fri,10:52,0.28,L
2021/10/22,Fri,17:02,3.1,H
2021/10/22,Fri,23:21,0.07,L
2021/10/23,Sat,05:33,2.85,H
2021/10/23,Sat,11:30,0.36,L
2021/10/23,Sat,17:39,3.05,H
2021/10/24,Sun,00:01,0.14,L
2021/10/24,Sun,06:14,2.76,H
2021/10/24,Sun,12:09,0.46,L
2021/10/24,Sun,18:18,2.99,H
2021/10/25,Mon,00:42,0.21,L
2021/10/25,Mon,06:55,2.66,H
2021/10/25,Mon,12:50,0.55,L
2021/10/25,Mon,18:59,2.91,H
2021/10/26,Tue,01:25,0.31,L
2021/10/26,Tue,07:40,2.57,H
2021/10/26,Tue,13:34,0.65,L
2021/10/26,Tue,19:43,2.83,H
2021/10/27,Wed,02:13,0.39,L
2021/10/27,Wed,08:29,2.49,H
2021/10/27,Wed,14:23,0.72,L
2021/10/27,Wed,20:33,2.77,H
2021/10/28,Thu,03:04,0.45,L
2021/10/28,Thu,09:21,2.45,H
2021/10/28,Thu,15:16,0.75,L
2021/10/28,Thu,21:27,2.73,H
2021/10/29,Fri,03:58,0.46,L
2021/10/29,Fri,10:16,2.47,H
2021/10/29,Fri,16:12,0.73,L
2021/10/29,Fri,22:23,2.74,H
2021/10/30,Sat,04:51,0.42,L
2021/10/30,Sat,11:09,2.55,H
2021/10/30,Sat,17:08,0.64,L
2021/10/30,Sat,23:19,2.79,H
2021/10/31,Sun,05:44,0.34,L
2021/10/31,Sun,12:01,2.69,H
2021/10/31,Sun,18:03,0.49,L
