Date,Day,Time,Pred,High/Low
2021/09/01,Wed,05:17,0.53,L
2021/09/01,Wed,11:32,2.42,H
2021/09/01,Wed,17:25,0.73,L
2021/09/01,Wed,23:44,2.76,H
2021/09/02,Thu,06:13,0.49,L
2021/09/02,Thu,12:29,2.45,H
2021/09/02,Thu,18:20,0.69,L
2021/09/03,Fri,00:39,2.82,H
2021/09/03,Fri,07:07,0.41,L
2021/09/03,Fri,13:23,2.52,H
2021/09/03,Fri,19:13,0.6,L
2021/09/04,Sat,01:31,2.93,H
2021/09/04,Sat,07:56,0.29,L
2021/09/04,Sat,14:10,2.64,H
2021/09/04,Sat,20:03,0.47,L
2021/09/05,Sun,02:17,3.05,H
2021/09/05,Sun,08:40,0.16,L
2021/09/05,Sun,14:53,2.78,H
2021/09/05,Sun,20:49,0.31,L
2021/09/06,Mon,03:01,3.16,H
2021/09/06,Mon,09:22,0.03,L
2021/09/06,Mon,15:33,2.92,H
2021/09/06,Mon,21:33,0.16,L
2021/09/07,Tue,03:44,3.25,H
2021/09/07,Tue,10:03,-0.07,L
2021/09/07,Tue,16:13,3.06,H
2021/09/07,Tue,22:18,0.02,L
2021/09/08,Wed,04:28,3.31,H
2021/09/08,Wed,10:45,-0.14,L
2021/09/08,Wed,16:55,3.19,H
2021/09/08,Wed,23:03,-0.1,L
2021/09/09,Thu,05:13,3.32,H
2021/09/09,Thu,11:27,-0.17,L
2021/09/09,Thu,17:37,3.3,H
2021/09/09,Thu,23:50,-0.17,L
2021/09/10,Fri,06:00,3.29,H
2021/09/10,Fri,12:11,-0.14,L
2021/09/10,Fri,18:21,3.36,H
2021/09/11,Sat,00:38,-0.19,L
2021/09/11,Sat,06:48,3.2,H
2021/09/11,Sat,12:58,-0.07,L
2021/09/11,Sat,19:08,3.37,H
2021/09/12,Sun,01:30,-0.15,L
2021/09/12,Sun,07:40,3.08,H
2021/09/12,Sun,13:48,0.05,L
2021/09/12,Sun,20:00,3.34,H
2021/09/13,Mon,02:26,-0.08,L
2021/09/13,Mon,08:37,2.94,H
2021/09/13,Mon,14:43,0.18,L
2021/09/13,Mon,20:56,3.27,H
2021/09/14,Tue,03:26,0.01,L
2021/09/14,Tue,09:40,2.81,H
2021/09/14,Tue,15:43,0.29,L
2021/09/14,Tue,21:58,3.19,H
2021/09/15,Wed,04:30,0.08,L
2021/09/15,Wed,10:46,2.74,H
2021/09/15,Wed,16:46,0.36,L
2021/09/15,Wed,23:03,3.14,H
2021/09/16,Thu,05:35,0.11,L
2021/09/16,Thu,11:54,2.73,H
2021/09/16,Thu,17:50,0.38,L
2021/09/17,Fri,00:10,3.13,H
2021/09/17,Fri,06:40,0.1,L
2021/09/17,Fri,13:00,2.78,H
2021/09/17,Fri,18:55,0.33,L
2021/09/18,Sat,01:15,3.16,H
2021/09/18,Sat,07:40,0.05,L
2021/09/18,Sat,13:59,2.88,H
2021/09/18,Sat,19:55,0.24,L
2021/09/19,Sun,02:13,3.2,H
2021/09/19,Sun,08:33,-0.0,L
2021/09/19,Sun,14:50,2.98,H
2021/09/19,Sun,20:48,0.15,L
2021/09/20,Mon,03:05,3.22,H
2021/09/20,Mon,09:20,-0.02,L
2021/09/20,Mon,15:36,3.05,H
2021/09/20,Mon,21:36,0.08,L
2021/09/21,Tue,03:52,3.21,H
2021/09/21,Tue,10:03,-0.0,L
2021/09/21,Tue,16:17,3.09,H
2021/09/21,Tue,22:22,0.04,L
2021/09/22,Wed,04:36,3.16,H
2021/09/22,Wed,10:44,0.05,L
2021/09/22,Wed,16:57,3.1,H
2021/09/22,Wed,23:05,0.05,L
2021/09/23,Thu,05:18,3.08,H
2021/09/23,Thu,11:23,0.14,L
2021/09/23,Thu,17:35,3.08,H
2021/09/23,Thu,23:47,0.09,L
2021/09/24,Fri,05:59,2.97,H
2021/09/24,Fri,12:02,0.25,L
2021/09/24,Fri,18:13,3.04,H
2021/09/25,Sat,00:29,0.15,L
2021/09/25,Sat,06:41,2.85,H
2021/09/25,Sat,12:42,0.37,L
2021/09/25,Sat,18:52,2.97,H
2021/09/26,Sun,01:12,0.25,L
2021/09/26,Sun,07:24,2.73,H
2021/09/26,Sun,13:24,0.5,L
2021/09/26,Sun,19:34,2.9,H
2021/09/27,Mon,01:57,0.35,L
2021/09/27,Mon,08:11,2.6,H
2021/09/27,Mon,14:09,0.62,L
2021/09/27,Mon,20:20,2.81,H
2021/09/28,Tue,02:47,0.45,L
2021/09/28,Tue,09:02,2.5,H
2021/09/28,Tue,14:59,0.71,L
2021/09/28,Tue,21:11,2.75,H
2021/09/29,Wed,03:41,0.51,L
2021/09/29,Wed,09:57,2.43,H
2021/09/29,Wed,15:52,0.76,L
2021/09/29,Wed,22:06,2.71,H
2021/09/30,Thu,04:37,0.53,L
2021/09/30,Thu,10:54,2.42,H
2021/09/30,Thu,16:48,0.76,L
2021/09/30,Thu,23:03,2.73,H
