Date,Day,Time,Pred,High/Low
1/1/2021,Fri,5:29:00 AM,2.7,H
1/1/2021,Fri,11:22:00 AM,0.25,L
1/1/2021,Fri,5:31:00 PM,3.17,H
1/1/2021,Fri,11:58:00 PM,-0.12,L
1/2/2021,Sat,6:11:00 AM,2.74,H
1/2/2021,Sat,12:05:00 PM,0.22,L
1/2/2021,Sat,6:15:00 PM,3.16,H
1/3/2021,Sun,12:41:00 AM,-0.13,L
1/3/2021,Sun,6:53:00 AM,2.78,H
1/3/2021,Sun,12:52:00 PM,0.2,L
1/3/2021,Sun,7:00:00 PM,3.13,H
1/4/2021,Mon,1:26:00 AM,-0.12,L
1/4/2021,Mon,7:39:00 AM,2.83,H
1/4/2021,Mon,1:42:00 PM,0.18,L
1/4/2021,Mon,7:50:00 PM,3.07,H
1/5/2021,Tue,2:14:00 AM,-0.08,L
1/5/2021,Tue,8:28:00 AM,2.89,H
1/5/2021,Tue,2:37:00 PM,0.17,L
1/5/2021,Tue,8:44:00 PM,2.98,H
1/6/2021,Wed,3:06:00 AM,-0.03,L
1/6/2021,Wed,9:20:00 AM,2.96,H
1/6/2021,Wed,3:35:00 PM,0.13,L
1/6/2021,Wed,9:42:00 PM,2.9,H
1/7/2021,Thu,4:00:00 AM,0.02,L
1/7/2021,Thu,10:16:00 AM,3.03,H
1/7/2021,Thu,4:36:00 PM,0.08,L
1/7/2021,Thu,10:44:00 PM,2.82,H
1/8/2021,Fri,4:57:00 AM,0.06,L
1/8/2021,Fri,11:13:00 AM,3.11,H
1/8/2021,Fri,5:38:00 PM,0.01,L
1/8/2021,Fri,11:47:00 PM,2.78,H
1/9/2021,Sat,5:55:00 AM,0.09,L
1/9/2021,Sat,12:12:00 PM,3.19,H
1/9/2021,Sat,6:40:00 PM,-0.09,L
1/10/2021,Sun,12:52:00 AM,2.78,H
1/10/2021,Sun,6:54:00 AM,0.08,L
1/10/2021,Sun,1:11:00 PM,3.27,H
1/10/2021,Sun,7:41:00 PM,-0.2,L
1/11/2021,Mon,1:54:00 AM,2.82,H
1/11/2021,Mon,7:52:00 AM,0.05,L
1/11/2021,Mon,2:08:00 PM,3.35,H
1/11/2021,Mon,8:38:00 PM,-0.29,L
1/12/2021,Tue,2:52:00 AM,2.86,H
1/12/2021,Tue,8:47:00 AM,0.02,L
1/12/2021,Tue,3:02:00 PM,3.4,H
1/12/2021,Tue,9:31:00 PM,-0.35,L
1/13/2021,Wed,3:46:00 AM,2.89,H
1/13/2021,Wed,9:40:00 AM,0,L
1/13/2021,Wed,3:54:00 PM,3.4,H
1/13/2021,Wed,10:22:00 PM,-0.36,L
1/14/2021,Thu,4:38:00 AM,2.91,H
1/14/2021,Thu,10:31:00 AM,0,L
1/14/2021,Thu,4:45:00 PM,3.36,H
1/14/2021,Thu,11:11:00 PM,-0.32,L
1/15/2021,Fri,5:27:00 AM,2.9,H
1/15/2021,Fri,11:20:00 AM,0.04,L
1/15/2021,Fri,5:35:00 PM,3.27,H
1/15/2021,Fri,11:58:00 PM,-0.24,L
1/16/2021,Sat,6:14:00 AM,2.87,H
1/16/2021,Sat,12:09:00 PM,0.1,L
1/16/2021,Sat,6:23:00 PM,3.16,H
1/17/2021,Sun,12:43:00 AM,-0.12,L
1/17/2021,Sun,7:00:00 AM,2.82,H
1/17/2021,Sun,12:57:00 PM,0.18,L
1/17/2021,Sun,7:10:00 PM,3.01,H
1/18/2021,Mon,1:28:00 AM,0.02,L
1/18/2021,Mon,7:45:00 AM,2.77,H
1/18/2021,Mon,1:46:00 PM,0.27,L
1/18/2021,Mon,7:58:00 PM,2.85,H
1/19/2021,Tue,2:14:00 AM,0.16,L
1/19/2021,Tue,8:32:00 AM,2.72,H
1/19/2021,Tue,2:38:00 PM,0.36,L
1/19/2021,Tue,8:49:00 PM,2.69,H
1/20/2021,Wed,3:01:00 AM,0.3,L
1/20/2021,Wed,9:20:00 AM,2.68,H
1/20/2021,Wed,3:31:00 PM,0.42,L
1/20/2021,Wed,9:42:00 PM,2.55,H
1/21/2021,Thu,3:50:00 AM,0.42,L
1/21/2021,Thu,10:09:00 AM,2.66,H
1/21/2021,Thu,4:26:00 PM,0.46,L
1/21/2021,Thu,10:37:00 PM,2.44,H
1/22/2021,Fri,4:40:00 AM,0.5,L
1/22/2021,Fri,11:00:00 AM,2.65,H
1/22/2021,Fri,5:22:00 PM,0.46,L
1/22/2021,Fri,11:33:00 PM,2.38,H
1/23/2021,Sat,5:32:00 AM,0.55,L
1/23/2021,Sat,11:52:00 AM,2.68,H
1/23/2021,Sat,6:18:00 PM,0.42,L
1/24/2021,Sun,12:31:00 AM,2.37,H
1/24/2021,Sun,6:24:00 AM,0.56,L
1/24/2021,Sun,12:45:00 PM,2.74,H
1/24/2021,Sun,7:12:00 PM,0.34,L
1/25/2021,Mon,1:25:00 AM,2.4,H
1/25/2021,Mon,7:15:00 AM,0.51,L
1/25/2021,Mon,1:34:00 PM,2.83,H
1/25/2021,Mon,8:01:00 PM,0.23,L
1/26/2021,Tue,2:14:00 AM,2.47,H
1/26/2021,Tue,8:03:00 AM,0.43,L
1/26/2021,Tue,2:20:00 PM,2.94,H
1/26/2021,Tue,8:46:00 PM,0.1,L
1/27/2021,Wed,2:59:00 AM,2.56,H
1/27/2021,Wed,8:49:00 AM,0.33,L
1/27/2021,Wed,3:03:00 PM,3.05,H
1/27/2021,Wed,9:29:00 PM,-0.02,L
1/28/2021,Thu,3:41:00 AM,2.65,H
