Date,Day,Time,Pred,High/Low
4/1/2021,Thu,3:02:00 AM,1.38,H
4/1/2021,Thu,8:49:00 AM,-0.12,L
4/1/2021,Thu,3:30:00 PM,1.13,H
4/1/2021,Thu,8:42:00 PM,-0.11,L
4/2/2021,Fri,3:58:00 AM,1.31,H
4/2/2021,Fri,9:42:00 AM,-0.02,L
4/2/2021,Fri,4:27:00 PM,1.06,H
4/2/2021,Fri,9:30:00 PM,-0.01,L
4/3/2021,Sat,4:57:00 AM,1.22,H
4/3/2021,Sat,10:53:00 AM,0.08,L
4/3/2021,Sat,5:27:00 PM,1,H
4/3/2021,Sat,10:28:00 PM,0.09,L
4/4/2021,Sun,5:59:00 AM,1.14,H
4/4/2021,Sun,1:02:00 PM,0.14,L
4/4/2021,Sun,6:29:00 PM,0.96,H
4/4/2021,Sun,11:52:00 PM,0.17,L
4/5/2021,Mon,7:03:00 AM,1.07,H
4/5/2021,Mon,2:20:00 PM,0.14,L
4/5/2021,Mon,7:34:00 PM,0.95,H
4/6/2021,Tue,2:16:00 AM,0.17,L
4/6/2021,Tue,8:12:00 AM,1.03,H
4/6/2021,Tue,3:16:00 PM,0.12,L
4/6/2021,Tue,8:41:00 PM,0.98,H
4/7/2021,Wed,3:21:00 AM,0.13,L
4/7/2021,Wed,9:19:00 AM,1.04,H
4/7/2021,Wed,3:58:00 PM,0.1,L
4/7/2021,Wed,9:43:00 PM,1.03,H
4/8/2021,Thu,4:07:00 AM,0.09,L
4/8/2021,Thu,10:14:00 AM,1.06,H
4/8/2021,Thu,4:29:00 PM,0.08,L
4/8/2021,Thu,10:35:00 PM,1.1,H
4/9/2021,Fri,4:42:00 AM,0.06,L
4/9/2021,Fri,11:01:00 AM,1.08,H
4/9/2021,Fri,4:51:00 PM,0.06,L
4/9/2021,Fri,11:20:00 PM,1.15,H
4/10/2021,Sat,5:13:00 AM,0.03,L
4/10/2021,Sat,11:42:00 AM,1.1,H
4/10/2021,Sat,5:12:00 PM,0.03,L
4/11/2021,Sun,12:00:00 AM,1.19,H
4/11/2021,Sun,5:46:00 AM,0,L
4/11/2021,Sun,12:21:00 PM,1.09,H
4/11/2021,Sun,5:39:00 PM,0,L
4/12/2021,Mon,12:38:00 AM,1.2,H
4/12/2021,Mon,6:21:00 AM,-0.02,L
4/12/2021,Mon,12:57:00 PM,1.07,H
4/12/2021,Mon,6:11:00 PM,-0.02,L
4/13/2021,Tue,1:13:00 AM,1.18,H
4/13/2021,Tue,6:57:00 AM,-0.03,L
4/13/2021,Tue,1:33:00 PM,1.02,H
4/13/2021,Tue,6:46:00 PM,-0.02,L
4/14/2021,Wed,1:46:00 AM,1.14,H
4/14/2021,Wed,7:33:00 AM,-0.01,L
4/14/2021,Wed,2:09:00 PM,0.97,H
4/14/2021,Wed,7:21:00 PM,0,L
4/15/2021,Thu,2:19:00 AM,1.08,H
4/15/2021,Thu,8:08:00 AM,0.02,L
4/15/2021,Thu,2:46:00 PM,0.92,H
4/15/2021,Thu,7:57:00 PM,0.04,L
4/16/2021,Fri,2:53:00 AM,1.02,H
4/16/2021,Fri,8:43:00 AM,0.07,L
4/16/2021,Fri,3:26:00 PM,0.86,H
4/16/2021,Fri,8:33:00 PM,0.08,L
4/17/2021,Sat,3:30:00 AM,0.96,H
4/17/2021,Sat,9:19:00 AM,0.13,L
4/17/2021,Sat,4:09:00 PM,0.81,H
4/17/2021,Sat,9:11:00 PM,0.13,L
4/18/2021,Sun,4:14:00 AM,0.92,H
4/18/2021,Sun,10:01:00 AM,0.18,L
4/18/2021,Sun,4:57:00 PM,0.79,H
4/18/2021,Sun,9:56:00 PM,0.17,L
4/19/2021,Mon,5:04:00 AM,0.89,H
4/19/2021,Mon,10:57:00 AM,0.23,L
4/19/2021,Mon,5:47:00 PM,0.79,H
