Date,Day,Time,Pred,High/Low
1/1/2021,Fri,1:43:00 AM,0.97,H
1/1/2021,Fri,7:04:00 AM,-0.08,L
1/1/2021,Fri,1:57:00 PM,1.13,H
1/1/2021,Fri,8:00:00 PM,-0.04,L
1/2/2021,Sat,2:28:00 AM,0.97,H
1/2/2021,Sat,7:46:00 AM,-0.07,L
1/2/2021,Sat,2:42:00 PM,1.11,H
1/2/2021,Sat,8:34:00 PM,-0.04,L
1/3/2021,Sun,3:16:00 AM,0.98,H
1/3/2021,Sun,8:30:00 AM,-0.05,L
1/3/2021,Sun,3:31:00 PM,1.09,H
1/3/2021,Sun,9:11:00 PM,-0.03,L
1/4/2021,Mon,4:07:00 AM,1,H
1/4/2021,Mon,9:18:00 AM,-0.01,L
1/4/2021,Mon,4:24:00 PM,1.05,H
1/4/2021,Mon,9:54:00 PM,-0.02,L
1/5/2021,Tue,5:01:00 AM,1.02,H
1/5/2021,Tue,10:15:00 AM,0.04,L
1/5/2021,Tue,5:19:00 PM,1.01,H
1/5/2021,Tue,10:45:00 PM,-0.01,L
1/6/2021,Wed,5:56:00 AM,1.06,H
1/6/2021,Wed,11:26:00 AM,0.08,L
1/6/2021,Wed,6:15:00 PM,0.97,H
1/6/2021,Wed,11:46:00 PM,0,L
1/7/2021,Thu,6:53:00 AM,1.1,H
1/7/2021,Thu,12:58:00 PM,0.08,L
1/7/2021,Thu,7:15:00 PM,0.94,H
1/8/2021,Fri,12:52:00 AM,-0.01,L
1/8/2021,Fri,7:55:00 AM,1.14,H
1/8/2021,Fri,2:26:00 PM,0.04,L
1/8/2021,Fri,8:21:00 PM,0.93,H
1/9/2021,Sat,1:56:00 AM,-0.03,L
1/9/2021,Sat,9:00:00 AM,1.2,H
1/9/2021,Sat,3:32:00 PM,0,L
1/9/2021,Sat,9:27:00 PM,0.96,H
1/10/2021,Sun,2:56:00 AM,-0.06,L
1/10/2021,Sun,10:03:00 AM,1.26,H
1/10/2021,Sun,4:27:00 PM,-0.04,L
1/10/2021,Sun,10:28:00 PM,1.01,H
1/11/2021,Mon,3:51:00 AM,-0.1,L
1/11/2021,Mon,10:59:00 AM,1.31,H
1/11/2021,Mon,5:19:00 PM,-0.07,L
1/11/2021,Mon,11:23:00 PM,1.07,H
1/12/2021,Tue,4:43:00 AM,-0.12,L
1/12/2021,Tue,11:52:00 AM,1.34,H
1/12/2021,Tue,6:09:00 PM,-0.09,L
1/13/2021,Wed,12:14:00 AM,1.11,H
1/13/2021,Wed,5:34:00 AM,-0.13,L
1/13/2021,Wed,12:41:00 PM,1.33,H
1/13/2021,Wed,6:55:00 PM,-0.09,L
1/14/2021,Thu,1:03:00 AM,1.13,H
1/14/2021,Thu,6:26:00 AM,-0.12,L
1/14/2021,Thu,1:29:00 PM,1.29,H
1/14/2021,Thu,7:33:00 PM,-0.08,L
1/15/2021,Fri,1:51:00 AM,1.12,H
1/15/2021,Fri,7:14:00 AM,-0.1,L
1/15/2021,Fri,2:16:00 PM,1.23,H
1/15/2021,Fri,8:06:00 PM,-0.06,L
1/16/2021,Sat,2:38:00 AM,1.09,H
1/16/2021,Sat,7:58:00 AM,-0.06,L
1/16/2021,Sat,3:02:00 PM,1.14,H
1/16/2021,Sat,8:38:00 PM,-0.03,L
1/17/2021,Sun,3:26:00 AM,1.04,H
1/17/2021,Sun,8:41:00 AM,0,L
1/17/2021,Sun,3:48:00 PM,1.04,H
1/17/2021,Sun,9:10:00 PM,0.01,L
1/18/2021,Mon,4:15:00 AM,0.99,H
1/18/2021,Mon,9:25:00 AM,0.07,L
1/18/2021,Mon,4:34:00 PM,0.94,H
1/18/2021,Mon,9:47:00 PM,0.04,L
1/19/2021,Tue,5:03:00 AM,0.94,H
1/19/2021,Tue,10:15:00 AM,0.13,L
1/19/2021,Tue,5:20:00 PM,0.85,H
1/19/2021,Tue,10:29:00 PM,0.08,L
1/20/2021,Wed,5:50:00 AM,0.89,H
1/20/2021,Wed,11:18:00 AM,0.18,L
1/20/2021,Wed,6:05:00 PM,0.78,H
1/20/2021,Wed,11:18:00 PM,0.11,L
1/21/2021,Thu,6:35:00 AM,0.86,H
1/21/2021,Thu,12:40:00 PM,0.21,L
1/21/2021,Thu,6:51:00 PM,0.72,H
1/22/2021,Fri,12:14:00 AM,0.12,L
1/22/2021,Fri,7:24:00 AM,0.84,H
1/22/2021,Fri,1:57:00 PM,0.19,L
1/22/2021,Fri,7:44:00 PM,0.69,H
1/23/2021,Sat,1:14:00 AM,0.12,L
1/23/2021,Sat,8:20:00 AM,0.84,H
1/23/2021,Sat,2:55:00 PM,0.15,L
1/23/2021,Sat,8:44:00 PM,0.7,H
1/24/2021,Sun,2:11:00 AM,0.09,L
1/24/2021,Sun,9:19:00 AM,0.87,H
1/24/2021,Sun,3:42:00 PM,0.11,L
1/24/2021,Sun,9:41:00 PM,0.74,H
1/25/2021,Mon,3:04:00 AM,0.04,L
1/25/2021,Mon,10:09:00 AM,0.92,H
1/25/2021,Mon,4:25:00 PM,0.06,L
1/25/2021,Mon,10:30:00 PM,0.8,H
1/26/2021,Tue,3:51:00 AM,-0.01,L
1/26/2021,Tue,10:53:00 AM,0.99,H
1/26/2021,Tue,5:07:00 PM,0.01,L
1/26/2021,Tue,11:14:00 PM,0.88,H
1/27/2021,Wed,4:37:00 AM,-0.06,L
1/27/2021,Wed,11:33:00 AM,1.06,H
1/27/2021,Wed,5:48:00 PM,-0.04,L
1/27/2021,Wed,11:56:00 PM,0.95,H
1/28/2021,Thu,5:21:00 AM,-0.11,L
1/28/2021,Thu,12:14:00 PM,1.12,H
1/28/2021,Thu,6:28:00 PM,-0.09,L
1/29/2021,Fri,12:38:00 AM,1.01,H
1/29/2021,Fri,6:06:00 AM,-0.14,L
1/29/2021,Fri,12:55:00 PM,1.17,H
1/29/2021,Fri,7:04:00 PM,-0.12,L
1/30/2021,Sat,1:21:00 AM,1.06,H
1/30/2021,Sat,6:51:00 AM,-0.16,L
1/30/2021,Sat,1:39:00 PM,1.19,H
1/30/2021,Sat,7:38:00 PM,-0.14,L
1/31/2021,Sun,2:07:00 AM,1.09,H
1/31/2021,Sun,7:36:00 AM,-0.16,L
1/31/2021,Sun,2:24:00 PM,1.17,H
1/31/2021,Sun,8:12:00 PM,-0.15,L
