Date,Day,Time,Pred,High/Low
7/1/2021,Thu,5:42:00 AM,1.05,H
7/1/2021,Thu,11:16:00 AM,0.17,L
7/1/2021,Thu,6:15:00 PM,1.09,H
7/2/2021,Fri,12:26:00 AM,0.28,L
7/2/2021,Fri,6:32:00 AM,0.96,H
7/2/2021,Fri,12:05:00 PM,0.2,L
7/2/2021,Fri,7:06:00 PM,1.06,H
7/3/2021,Sat,1:38:00 AM,0.28,L
7/3/2021,Sat,7:22:00 AM,0.9,H
7/3/2021,Sat,12:53:00 PM,0.2,L
7/3/2021,Sat,7:59:00 PM,1.04,H
7/4/2021,Sun,2:30:00 AM,0.26,L
7/4/2021,Sun,8:17:00 AM,0.86,H
7/4/2021,Sun,1:40:00 PM,0.19,L
7/4/2021,Sun,8:54:00 PM,1.04,H
7/5/2021,Mon,3:12:00 AM,0.23,L
7/5/2021,Mon,9:13:00 AM,0.85,H
7/5/2021,Mon,2:26:00 PM,0.17,L
7/5/2021,Mon,9:46:00 PM,1.05,H
7/6/2021,Tue,3:52:00 AM,0.2,L
7/6/2021,Tue,10:05:00 AM,0.87,H
7/6/2021,Tue,3:11:00 PM,0.15,L
7/6/2021,Tue,10:31:00 PM,1.08,H
7/7/2021,Wed,4:32:00 AM,0.16,L
7/7/2021,Wed,10:50:00 AM,0.9,H
7/7/2021,Wed,3:55:00 PM,0.12,L
7/7/2021,Wed,11:10:00 PM,1.11,H
7/8/2021,Thu,5:13:00 AM,0.12,L
7/8/2021,Thu,11:31:00 AM,0.94,H
7/8/2021,Thu,4:39:00 PM,0.1,L
7/8/2021,Thu,11:47:00 PM,1.13,H
7/9/2021,Fri,5:56:00 AM,0.1,L
7/9/2021,Fri,12:11:00 PM,0.98,H
7/9/2021,Fri,5:23:00 PM,0.08,L
7/10/2021,Sat,12:24:00 AM,1.15,H
7/10/2021,Sat,6:39:00 AM,0.08,L
7/10/2021,Sat,12:50:00 PM,1,H
7/10/2021,Sat,6:07:00 PM,0.07,L
