Date,Day,Time,Pred,High/Low
3/1/2021,Mon,1:44:00 AM,1.25,H
3/1/2021,Mon,7:25:00 AM,-0.22,L
3/1/2021,Mon,2:05:00 PM,1.22,H
3/1/2021,Mon,7:45:00 PM,-0.21,L
3/2/2021,Tue,2:32:00 AM,1.27,H
3/2/2021,Tue,8:11:00 AM,-0.19,L
3/2/2021,Tue,2:54:00 PM,1.17,H
3/2/2021,Tue,8:22:00 PM,-0.19,L
3/3/2021,Wed,3:23:00 AM,1.26,H
3/3/2021,Wed,8:58:00 AM,-0.13,L
3/3/2021,Wed,3:46:00 PM,1.1,H
3/3/2021,Wed,9:03:00 PM,-0.14,L
3/4/2021,Thu,4:17:00 AM,1.23,H
3/4/2021,Thu,9:50:00 AM,-0.04,L
3/4/2021,Thu,4:42:00 PM,1.02,H
3/4/2021,Thu,9:49:00 PM,-0.06,L
3/5/2021,Fri,5:14:00 AM,1.18,H
3/5/2021,Fri,10:57:00 AM,0.05,L
3/5/2021,Fri,5:41:00 PM,0.95,H
3/5/2021,Fri,10:45:00 PM,0.02,L
3/6/2021,Sat,6:14:00 AM,1.12,H
3/6/2021,Sat,1:03:00 PM,0.11,L
3/6/2021,Sat,6:42:00 PM,0.91,H
3/6/2021,Sat,11:58:00 PM,0.09,L
3/7/2021,Sun,7:19:00 AM,1.08,H
3/7/2021,Sun,2:34:00 PM,0.11,L
3/7/2021,Sun,7:49:00 PM,0.89,H
3/8/2021,Mon,1:42:00 AM,0.11,L
3/8/2021,Mon,8:30:00 AM,1.06,H
3/8/2021,Mon,3:35:00 PM,0.08,L
3/8/2021,Mon,8:59:00 PM,0.92,H
3/9/2021,Tue,3:12:00 AM,0.08,L
3/9/2021,Tue,9:39:00 AM,1.08,H
3/9/2021,Tue,4:23:00 PM,0.05,L
3/9/2021,Tue,10:02:00 PM,0.99,H
3/10/2021,Wed,4:06:00 AM,0.04,L
3/10/2021,Wed,10:36:00 AM,1.12,H
3/10/2021,Wed,5:03:00 PM,0.03,L
3/10/2021,Wed,10:55:00 PM,1.06,H
3/11/2021,Thu,4:50:00 AM,-0.01,L
3/11/2021,Thu,11:24:00 AM,1.16,H
3/11/2021,Thu,5:34:00 PM,0,L
3/11/2021,Thu,11:42:00 PM,1.12,H
3/12/2021,Fri,5:28:00 AM,-0.04,L
3/12/2021,Fri,12:07:00 PM,1.17,H
3/12/2021,Fri,5:59:00 PM,-0.02,L
3/13/2021,Sat,12:25:00 AM,1.16,H
3/13/2021,Sat,6:05:00 AM,-0.06,L
3/13/2021,Sat,12:47:00 PM,1.16,H
3/13/2021,Sat,6:23:00 PM,-0.04,L
3/14/2021,Sun,1:05:00 AM,1.17,H
3/14/2021,Sun,6:42:00 AM,-0.07,L
3/14/2021,Sun,1:26:00 PM,1.12,H
3/14/2021,Sun,6:51:00 PM,-0.06,L
3/15/2021,Mon,1:43:00 AM,1.15,H
3/15/2021,Mon,7:19:00 AM,-0.07,L
3/15/2021,Mon,2:03:00 PM,1.06,H
3/15/2021,Mon,7:22:00 PM,-0.06,L
3/16/2021,Tue,2:20:00 AM,1.1,H
