Date,Day,Time,Pred,High/Low
5/1/2021,Sat,3:41:00 AM,1.34,H
5/1/2021,Sat,9:36:00 AM,0.01,L
5/1/2021,Sat,4:12:00 PM,1.1,H
5/1/2021,Sat,9:17:00 PM,0.04,L
5/2/2021,Sun,4:41:00 AM,1.24,H
5/2/2021,Sun,10:52:00 AM,0.1,L
5/2/2021,Sun,5:12:00 PM,1.06,H
5/2/2021,Sun,10:18:00 PM,0.14,L
5/3/2021,Mon,5:42:00 AM,1.15,H
5/3/2021,Mon,12:39:00 PM,0.15,L
5/3/2021,Mon,6:13:00 PM,1.03,H
5/4/2021,Tue,12:10:00 AM,0.21,L
5/4/2021,Tue,6:43:00 AM,1.07,H
5/4/2021,Tue,1:49:00 PM,0.16,L
5/4/2021,Tue,7:14:00 PM,1.02,H
5/5/2021,Wed,2:07:00 AM,0.21,L
5/5/2021,Wed,7:45:00 AM,1.02,H
5/5/2021,Wed,2:40:00 PM,0.16,L
5/5/2021,Wed,8:17:00 PM,1.03,H
5/6/2021,Thu,3:04:00 AM,0.18,L
5/6/2021,Thu,8:48:00 AM,0.99,H
5/6/2021,Thu,3:15:00 PM,0.15,L
5/6/2021,Thu,9:17:00 PM,1.07,H
5/7/2021,Fri,3:46:00 AM,0.16,L
5/7/2021,Fri,9:44:00 AM,0.99,H
5/7/2021,Fri,3:39:00 PM,0.13,L
5/7/2021,Fri,10:09:00 PM,1.12,H
5/8/2021,Sat,4:19:00 AM,0.13,L
5/8/2021,Sat,10:31:00 AM,1,H
5/8/2021,Sat,3:59:00 PM,0.1,L
5/8/2021,Sat,10:53:00 PM,1.16,H
5/9/2021,Sun,4:49:00 AM,0.09,L
5/9/2021,Sun,11:13:00 AM,1.01,H
5/9/2021,Sun,4:26:00 PM,0.07,L
5/9/2021,Sun,11:33:00 PM,1.19,H
5/10/2021,Mon,5:21:00 AM,0.06,L
5/10/2021,Mon,11:52:00 AM,1.02,H
5/10/2021,Mon,4:58:00 PM,0.04,L
5/11/2021,Tue,12:09:00 AM,1.19,H
5/11/2021,Tue,5:57:00 AM,0.04,L
5/11/2021,Tue,12:29:00 PM,1.01,H
5/11/2021,Tue,5:35:00 PM,0.03,L
5/12/2021,Wed,12:43:00 AM,1.18,H
5/12/2021,Wed,6:36:00 AM,0.02,L
5/12/2021,Wed,1:05:00 PM,0.99,H
5/12/2021,Wed,6:13:00 PM,0.04,L
5/13/2021,Thu,1:15:00 AM,1.15,H
5/13/2021,Thu,7:14:00 AM,0.03,L
5/13/2021,Thu,1:42:00 PM,0.96,H
5/13/2021,Thu,6:52:00 PM,0.05,L
5/14/2021,Fri,1:49:00 AM,1.11,H
5/14/2021,Fri,7:50:00 AM,0.05,L
5/14/2021,Fri,2:20:00 PM,0.93,H
5/14/2021,Fri,7:30:00 PM,0.08,L
5/15/2021,Sat,2:24:00 AM,1.06,H
5/15/2021,Sat,8:25:00 AM,0.09,L
5/15/2021,Sat,3:00:00 PM,0.9,H
5/15/2021,Sat,8:08:00 PM,0.11,L
5/16/2021,Sun,3:04:00 AM,1.02,H
5/16/2021,Sun,8:59:00 AM,0.13,L
5/16/2021,Sun,3:45:00 PM,0.87,H
5/16/2021,Sun,8:48:00 PM,0.14,L
5/17/2021,Mon,3:49:00 AM,0.99,H
5/17/2021,Mon,9:38:00 AM,0.17,L
5/17/2021,Mon,4:33:00 PM,0.86,H
5/17/2021,Mon,9:32:00 PM,0.17,L
5/18/2021,Tue,4:40:00 AM,0.97,H
5/18/2021,Tue,10:25:00 AM,0.19,L
5/18/2021,Tue,5:23:00 PM,0.88,H
5/18/2021,Tue,10:27:00 PM,0.2,L
5/19/2021,Wed,5:33:00 AM,0.97,H
5/19/2021,Wed,11:27:00 AM,0.19,L
5/19/2021,Wed,6:15:00 PM,0.93,H
5/19/2021,Wed,11:37:00 PM,0.2,L
5/20/2021,Thu,6:28:00 AM,0.98,H
5/20/2021,Thu,12:36:00 PM,0.16,L
5/20/2021,Thu,7:10:00 PM,1,H
5/21/2021,Fri,12:56:00 AM,0.17,L
5/21/2021,Fri,7:27:00 AM,1,H
5/21/2021,Fri,1:35:00 PM,0.1,L
5/21/2021,Fri,8:09:00 PM,1.09,H
5/22/2021,Sat,2:09:00 AM,0.1,L
5/22/2021,Sat,8:30:00 AM,1.03,H
5/22/2021,Sat,2:25:00 PM,0.02,L
5/22/2021,Sat,9:09:00 PM,1.21,H
5/23/2021,Sun,3:11:00 AM,0.02,L
5/23/2021,Sun,9:33:00 AM,1.09,H
5/23/2021,Sun,3:13:00 PM,-0.05,L
5/23/2021,Sun,10:06:00 PM,1.34,H
5/24/2021,Mon,4:06:00 AM,-0.06,L
5/24/2021,Mon,10:31:00 AM,1.15,H
5/24/2021,Mon,3:59:00 PM,-0.11,L
5/24/2021,Mon,10:59:00 PM,1.45,H
5/25/2021,Tue,5:00:00 AM,-0.11,L
5/25/2021,Tue,11:25:00 AM,1.2,H
5/25/2021,Tue,4:47:00 PM,-0.14,L
5/25/2021,Tue,11:51:00 PM,1.52,H
5/26/2021,Wed,5:54:00 AM,-0.14,L
5/26/2021,Wed,12:18:00 PM,1.23,H
5/26/2021,Wed,5:36:00 PM,-0.15,L
5/27/2021,Thu,12:43:00 AM,1.55,H
5/27/2021,Thu,6:50:00 AM,-0.13,L
5/27/2021,Thu,1:10:00 PM,1.24,H
5/27/2021,Thu,6:28:00 PM,-0.12,L
5/28/2021,Fri,1:35:00 AM,1.52,H
5/28/2021,Fri,7:44:00 AM,-0.1,L
5/28/2021,Fri,2:03:00 PM,1.23,H
5/28/2021,Fri,7:21:00 PM,-0.08,L
5/29/2021,Sat,2:29:00 AM,1.45,H
5/29/2021,Sat,8:35:00 AM,-0.04,L
5/29/2021,Sat,2:58:00 PM,1.19,H
5/29/2021,Sat,8:13:00 PM,-0.01,L
5/30/2021,Sun,3:25:00 AM,1.35,H
5/30/2021,Sun,9:27:00 AM,0.03,L
5/30/2021,Sun,3:55:00 PM,1.15,H
5/30/2021,Sun,9:06:00 PM,0.08,L
5/31/2021,Mon,4:22:00 AM,1.25,H
5/31/2021,Mon,10:29:00 AM,0.1,L
5/31/2021,Mon,4:53:00 PM,1.12,H
5/31/2021,Mon,10:08:00 PM,0.17,L
