Date,Day,Time,Pred,High/Low
10/1/2021,Fri,2:28:00 AM,0.28,L
10/1/2021,Fri,8:00:00 AM,0.85,H
10/1/2021,Fri,1:48:00 PM,0.25,L
10/1/2021,Fri,8:23:00 PM,0.95,H
10/2/2021,Sat,3:10:00 AM,0.21,L
10/2/2021,Sat,9:00:00 AM,0.93,H
10/2/2021,Sat,2:48:00 PM,0.17,L
10/2/2021,Sat,9:22:00 PM,1.03,H
10/3/2021,Sun,3:45:00 AM,0.14,L
10/3/2021,Sun,9:53:00 AM,1.04,H
10/3/2021,Sun,3:37:00 PM,0.09,L
10/3/2021,Sun,10:12:00 PM,1.12,H
10/4/2021,Mon,4:17:00 AM,0.05,L
10/4/2021,Mon,10:40:00 AM,1.17,H
10/4/2021,Mon,4:23:00 PM,0.01,L
10/4/2021,Mon,10:58:00 PM,1.21,H
10/5/2021,Tue,4:51:00 AM,-0.02,L
10/5/2021,Tue,11:25:00 AM,1.29,H
10/5/2021,Tue,5:09:00 PM,-0.05,L
10/5/2021,Tue,11:43:00 PM,1.27,H
10/6/2021,Wed,5:27:00 AM,-0.08,L
10/6/2021,Wed,12:09:00 PM,1.39,H
10/6/2021,Wed,5:56:00 PM,-0.1,L
10/7/2021,Thu,12:29:00 AM,1.3,H
10/7/2021,Thu,6:05:00 AM,-0.12,L
10/7/2021,Thu,12:55:00 PM,1.45,H
10/7/2021,Thu,6:44:00 PM,-0.11,L
10/8/2021,Fri,1:16:00 AM,1.29,H
10/8/2021,Fri,6:46:00 AM,-0.13,L
10/8/2021,Fri,1:42:00 PM,1.47,H
10/8/2021,Fri,7:33:00 PM,-0.09,L
10/9/2021,Sat,2:06:00 AM,1.25,H
10/9/2021,Sat,7:29:00 AM,-0.11,L
10/9/2021,Sat,2:33:00 PM,1.45,H
10/9/2021,Sat,8:21:00 PM,-0.04,L
10/10/2021,Sun,2:59:00 AM,1.2,H
10/10/2021,Sun,8:13:00 AM,-0.05,L
10/10/2021,Sun,3:27:00 PM,1.4,H
10/10/2021,Sun,9:12:00 PM,0.04,L
10/11/2021,Mon,3:56:00 AM,1.13,H
10/11/2021,Mon,9:01:00 AM,0.03,L
10/11/2021,Mon,4:26:00 PM,1.32,H
10/11/2021,Mon,10:14:00 PM,0.14,L
10/12/2021,Tue,4:57:00 AM,1.08,H
10/12/2021,Tue,9:56:00 AM,0.12,L
10/12/2021,Tue,5:28:00 PM,1.25,H
10/13/2021,Wed,12:21:00 AM,0.2,L
10/13/2021,Wed,5:59:00 AM,1.05,H
10/13/2021,Wed,11:09:00 AM,0.2,L
10/13/2021,Wed,6:32:00 PM,1.2,H
10/14/2021,Thu,1:49:00 AM,0.19,L
10/14/2021,Thu,7:02:00 AM,1.04,H
10/14/2021,Thu,1:29:00 PM,0.23,L
10/14/2021,Thu,7:37:00 PM,1.16,H
10/15/2021,Fri,2:48:00 AM,0.17,L
10/15/2021,Fri,8:08:00 AM,1.07,H
10/15/2021,Fri,2:50:00 PM,0.19,L
10/15/2021,Fri,8:44:00 PM,1.15,H
10/16/2021,Sat,3:34:00 AM,0.14,L
10/16/2021,Sat,9:12:00 AM,1.12,H
10/16/2021,Sat,3:41:00 PM,0.15,L
10/16/2021,Sat,9:43:00 PM,1.17,H
