,Date,Day,Time,Pred,High/Low,DateTime (UTC),Subordinate DateTime (Adjusted)
0,1/1/2020,Wed,2:03:00 AM,0.2,L,2020-01-01 02:03:00,2020-01-01 02:04:00
1,1/1/2020,Wed,8:21:00 AM,2.62,H,2020-01-01 08:21:00,2020-01-01 08:24:00
2,1/1/2020,Wed,2:21:00 PM,0.48,L,2020-01-01 14:21:00,2020-01-01 14:22:00
3,1/1/2020,Wed,8:30:00 PM,2.73,H,2020-01-01 20:30:00,2020-01-01 20:33:00
4,1/2/2020,Thu,2:50:00 AM,0.3,L,2020-01-02 02:50:00,2020-01-02 02:51:00
5,1/2/2020,Thu,9:08:00 AM,2.6,H,2020-01-02 09:08:00,2020-01-02 09:11:00
6,1/2/2020,Thu,3:13:00 PM,0.52,L,2020-01-02 15:13:00,2020-01-02 15:14:00
7,1/2/2020,Thu,9:22:00 PM,2.62,H,2020-01-02 21:22:00,2020-01-02 21:25:00
8,1/3/2020,Fri,3:38:00 AM,0.38,L,2020-01-03 03:38:00,2020-01-03 03:39:00
9,1/3/2020,Fri,9:57:00 AM,2.61,H,2020-01-03 09:57:00,2020-01-03 10:00:00
10,1/3/2020,Fri,4:07:00 PM,0.53,L,2020-01-03 16:07:00,2020-01-03 16:08:00
11,1/3/2020,Fri,10:16:00 PM,2.53,H,2020-01-03 22:16:00,2020-01-03 22:19:00
12,1/4/2020,Sat,4:27:00 AM,0.44,L,2020-01-04 04:27:00,2020-01-04 04:28:00
13,1/4/2020,Sat,10:46:00 AM,2.64,H,2020-01-04 10:46:00,2020-01-04 10:49:00
14,1/4/2020,Sat,5:00:00 PM,0.51,L,2020-01-04 17:00:00,2020-01-04 17:01:00
15,1/4/2020,Sat,11:10:00 PM,2.48,H,2020-01-04 23:10:00,2020-01-04 23:13:00
16,1/5/2020,Sun,5:16:00 AM,0.47,L,2020-01-05 05:16:00,2020-01-05 05:17:00
17,1/5/2020,Sun,11:36:00 AM,2.69,H,2020-01-05 11:36:00,2020-01-05 11:39:00
18,1/5/2020,Sun,5:55:00 PM,0.44,L,2020-01-05 17:55:00,2020-01-05 17:56:00
19,1/6/2020,Mon,12:05:00 AM,2.46,H,2020-01-06 00:05:00,2020-01-06 00:08:00
20,1/6/2020,Mon,6:06:00 AM,0.47,L,2020-01-06 06:06:00,2020-01-06 06:07:00
21,1/6/2020,Mon,12:25:00 PM,2.78,H,2020-01-06 12:25:00,2020-01-06 12:28:00
22,1/6/2020,Mon,6:48:00 PM,0.33,L,2020-01-06 18:48:00,2020-01-06 18:49:00
23,1/7/2020,Tue,12:59:00 AM,2.49,H,2020-01-07 00:59:00,2020-01-07 01:02:00
24,1/7/2020,Tue,6:56:00 AM,0.43,L,2020-01-07 06:56:00,2020-01-07 06:57:00
25,1/7/2020,Tue,1:14:00 PM,2.89,H,2020-01-07 13:14:00,2020-01-07 13:17:00
26,1/7/2020,Tue,7:39:00 PM,0.2,L,2020-01-07 19:39:00,2020-01-07 19:40:00
27,1/8/2020,Wed,1:50:00 AM,2.56,H,2020-01-08 01:50:00,2020-01-08 01:53:00
