,Date,Day,Time,Pred(Ft),Pred(cm),High/Low,DateTime (UTC),Subordinate DateTime (Adjusted)
0,1/1/2023,Sun,5:17:00 AM,0.72,22,L,2023-01-01 05:17:00,2023-01-01 05:18:00
1,1/1/2023,Sun,11:42:00 AM,9.74,297,H,2023-01-01 11:42:00,2023-01-01 11:45:00
2,1/1/2023,Sun,6:02:00 PM,0.56,17,L,2023-01-01 18:02:00,2023-01-01 18:03:00
3,1/2/2023,Mon,12:17:00 AM,8.68,265,H,2023-01-02 00:17:00,2023-01-02 00:20:00
4,1/2/2023,Mon,6:14:00 AM,1.03,31,L,2023-01-02 06:14:00,2023-01-02 06:15:00
5,1/2/2023,Mon,12:38:00 PM,9.76,297,H,2023-01-02 12:38:00,2023-01-02 12:41:00
6,1/2/2023,Mon,7:03:00 PM,0.47,14,L,2023-01-02 19:03:00,2023-01-02 19:04:00
7,1/3/2023,Tue,1:17:00 AM,8.55,261,H,2023-01-03 01:17:00,2023-01-03 01:20:00
8,1/3/2023,Tue,7:08:00 AM,1.2,37,L,2023-01-03 07:08:00,2023-01-03 07:09:00
9,1/3/2023,Tue,1:30:00 PM,9.81,299,H,2023-01-03 13:30:00,2023-01-03 13:33:00
10,1/3/2023,Tue,7:58:00 PM,0.33,10,L,2023-01-03 19:58:00,2023-01-03 19:59:00
11,1/4/2023,Wed,2:11:00 AM,8.51,259,H,2023-01-04 02:11:00,2023-01-04 02:14:00
12,1/4/2023,Wed,7:59:00 AM,1.27,39,L,2023-01-04 07:59:00,2023-01-04 08:00:00
13,1/4/2023,Wed,2:18:00 PM,9.87,301,H,2023-01-04 14:18:00,2023-01-04 14:21:00
14,1/4/2023,Wed,8:46:00 PM,0.21,6,L,2023-01-04 20:46:00,2023-01-04 20:47:00
15,1/5/2023,Thu,2:58:00 AM,8.52,260,H,2023-01-05 02:58:00,2023-01-05 03:01:00
16,1/5/2023,Thu,8:44:00 AM,1.26,38,L,2023-01-05 08:44:00,2023-01-05 08:45:00
17,1/5/2023,Thu,3:01:00 PM,9.91,302,H,2023-01-05 15:01:00,2023-01-05 15:04:00
18,1/5/2023,Thu,9:29:00 PM,0.14,4,L,2023-01-05 21:29:00,2023-01-05 21:30:00
19,1/6/2023,Fri,3:41:00 AM,8.53,260,H,2023-01-06 03:41:00,2023-01-06 03:44:00
20,1/6/2023,Fri,9:27:00 AM,1.23,37,L,2023-01-06 09:27:00,2023-01-06 09:28:00
21,1/6/2023,Fri,3:41:00 PM,9.93,303,H,2023-01-06 15:41:00,2023-01-06 15:44:00
22,1/6/2023,Fri,10:08:00 PM,0.11,3,L,2023-01-06 22:08:00,2023-01-06 22:09:00
23,1/7/2023,Sat,4:21:00 AM,8.55,261,H,2023-01-07 04:21:00,2023-01-07 04:24:00
24,1/7/2023,Sat,10:07:00 AM,1.19,36,L,2023-01-07 10:07:00,2023-01-07 10:08:00
25,1/7/2023,Sat,4:21:00 PM,9.93,303,H,2023-01-07 16:21:00,2023-01-07 16:24:00
26,1/7/2023,Sat,10:47:00 PM,0.11,3,L,2023-01-07 22:47:00,2023-01-07 22:48:00
27,1/8/2023,Sun,5:00:00 AM,8.56,261,H,2023-01-08 05:00:00,2023-01-08 05:03:00
28,1/8/2023,Sun,10:47:00 AM,1.17,36,L,2023-01-08 10:47:00,2023-01-08 10:48:00
29,1/8/2023,Sun,5:00:00 PM,9.88,301,H,2023-01-08 17:00:00,2023-01-08 17:03:00
30,1/8/2023,Sun,11:25:00 PM,0.15,5,L,2023-01-08 23:25:00,2023-01-08 23:26:00
31,1/9/2023,Mon,5:38:00 AM,8.58,262,H,2023-01-09 05:38:00,2023-01-09 05:41:00
32,1/9/2023,Mon,11:27:00 AM,1.18,36,L,2023-01-09 11:27:00,2023-01-09 11:28:00
33,1/9/2023,Mon,5:39:00 PM,9.78,298,H,2023-01-09 17:39:00,2023-01-09 17:42:00
34,1/10/2023,Tue,12:02:00 AM,0.22,7,L,2023-01-10 00:02:00,2023-01-10 00:03:00
35,1/10/2023,Tue,6:15:00 AM,8.6,262,H,2023-01-10 06:15:00,2023-01-10 06:18:00
36,1/10/2023,Tue,12:08:00 PM,1.22,37,L,2023-01-10 12:08:00,2023-01-10 12:09:00
37,1/10/2023,Tue,6:18:00 PM,9.62,293,H,2023-01-10 18:18:00,2023-01-10 18:21:00
38,1/11/2023,Wed,12:40:00 AM,0.34,10,L,2023-01-11 00:40:00,2023-01-11 00:41:00
39,1/11/2023,Wed,6:53:00 AM,8.62,263,H,2023-01-11 06:53:00,2023-01-11 06:56:00
40,1/11/2023,Wed,12:49:00 PM,1.28,39,L,2023-01-11 12:49:00,2023-01-11 12:50:00
41,1/11/2023,Wed,6:58:00 PM,9.4,287,H,2023-01-11 18:58:00,2023-01-11 19:01:00
42,1/12/2023,Thu,1:18:00 AM,0.5,15,L,2023-01-12 01:18:00,2023-01-12 01:19:00
43,1/12/2023,Thu,7:32:00 AM,8.66,264,H,2023-01-12 07:32:00,2023-01-12 07:35:00
44,1/12/2023,Thu,1:32:00 PM,1.34,41,L,2023-01-12 13:32:00,2023-01-12 13:33:00
45,1/12/2023,Thu,7:40:00 PM,9.13,278,H,2023-01-12 19:40:00,2023-01-12 19:43:00
