,Date,Day,Time,Pred,High/Low,DateTime (UTC),Subordinate DateTime (Adjusted)
0,1/1/2021,Fri,5:29:00 AM,2.7,H,2021-01-01 05:29:00,2021-01-01 06:37:00
1,1/1/2021,Fri,11:22:00 AM,0.25,L,2021-01-01 11:22:00,2021-01-01 12:07:00
2,1/1/2021,Fri,5:31:00 PM,3.17,H,2021-01-01 17:31:00,2021-01-01 18:39:00
3,1/1/2021,Fri,11:58:00 PM,-0.12,L,2021-01-01 23:58:00,2021-01-02 00:43:00
4,1/2/2021,Sat,6:11:00 AM,2.74,H,2021-01-02 06:11:00,2021-01-02 07:19:00
5,1/2/2021,Sat,12:05:00 PM,0.22,L,2021-01-02 12:05:00,2021-01-02 12:50:00
6,1/2/2021,Sat,6:15:00 PM,3.16,H,2021-01-02 18:15:00,2021-01-02 19:23:00
7,1/3/2021,Sun,12:41:00 AM,-0.13,L,2021-01-03 00:41:00,2021-01-03 01:26:00
8,1/3/2021,Sun,6:53:00 AM,2.78,H,2021-01-03 06:53:00,2021-01-03 08:01:00
9,1/3/2021,Sun,12:52:00 PM,0.2,L,2021-01-03 12:52:00,2021-01-03 13:37:00
10,1/3/2021,Sun,7:00:00 PM,3.13,H,2021-01-03 19:00:00,2021-01-03 20:08:00
11,1/4/2021,Mon,1:26:00 AM,-0.12,L,2021-01-04 01:26:00,2021-01-04 02:11:00
12,1/4/2021,Mon,7:39:00 AM,2.83,H,2021-01-04 07:39:00,2021-01-04 08:47:00
13,1/4/2021,Mon,1:42:00 PM,0.18,L,2021-01-04 13:42:00,2021-01-04 14:27:00
14,1/4/2021,Mon,7:50:00 PM,3.07,H,2021-01-04 19:50:00,2021-01-04 20:58:00
15,1/5/2021,Tue,2:14:00 AM,-0.08,L,2021-01-05 02:14:00,2021-01-05 02:59:00
16,1/5/2021,Tue,8:28:00 AM,2.89,H,2021-01-05 08:28:00,2021-01-05 09:36:00
17,1/5/2021,Tue,2:37:00 PM,0.17,L,2021-01-05 14:37:00,2021-01-05 15:22:00
18,1/5/2021,Tue,8:44:00 PM,2.98,H,2021-01-05 20:44:00,2021-01-05 21:52:00
19,1/6/2021,Wed,3:06:00 AM,-0.03,L,2021-01-06 03:06:00,2021-01-06 03:51:00
20,1/6/2021,Wed,9:20:00 AM,2.96,H,2021-01-06 09:20:00,2021-01-06 10:28:00
21,1/6/2021,Wed,3:35:00 PM,0.13,L,2021-01-06 15:35:00,2021-01-06 16:20:00
22,1/6/2021,Wed,9:42:00 PM,2.9,H,2021-01-06 21:42:00,2021-01-06 22:50:00
23,1/7/2021,Thu,4:00:00 AM,0.02,L,2021-01-07 04:00:00,2021-01-07 04:45:00
24,1/7/2021,Thu,10:16:00 AM,3.03,H,2021-01-07 10:16:00,2021-01-07 11:24:00
25,1/7/2021,Thu,4:36:00 PM,0.08,L,2021-01-07 16:36:00,2021-01-07 17:21:00
26,1/7/2021,Thu,10:44:00 PM,2.82,H,2021-01-07 22:44:00,2021-01-07 23:52:00
27,1/8/2021,Fri,4:57:00 AM,0.06,L,2021-01-08 04:57:00,2021-01-08 05:42:00
28,1/8/2021,Fri,11:13:00 AM,3.11,H,2021-01-08 11:13:00,2021-01-08 12:21:00
29,1/8/2021,Fri,5:38:00 PM,0.01,L,2021-01-08 17:38:00,2021-01-08 18:23:00
