Date,Day,Time,Pred,High/Low,DateTime (UTC),Subordinate DateTime (Adjusted)
1/1/2020,Wed,2:03:00 AM,0.2,L,2020-01-01 02:03:00,2020-01-01 02:48:00
1/1/2020,Wed,8:21:00 AM,2.62,H,2020-01-01 08:21:00,2020-01-01 09:29:00
1/1/2020,Wed,2:21:00 PM,0.48,L,2020-01-01 14:21:00,2020-01-01 15:06:00
1/1/2020,Wed,8:30:00 PM,2.73,H,2020-01-01 20:30:00,2020-01-01 21:38:00
1/2/2020,Thu,2:50:00 AM,0.3,L,2020-01-02 02:50:00,2020-01-02 03:35:00
1/2/2020,Thu,9:08:00 AM,2.6,H,2020-01-02 09:08:00,2020-01-02 10:16:00
1/2/2020,Thu,3:13:00 PM,0.52,L,2020-01-02 15:13:00,2020-01-02 15:58:00
1/2/2020,Thu,9:22:00 PM,2.62,H,2020-01-02 21:22:00,2020-01-02 22:30:00
1/3/2020,Fri,3:38:00 AM,0.38,L,2020-01-03 03:38:00,2020-01-03 04:23:00
1/3/2020,Fri,9:57:00 AM,2.61,H,2020-01-03 09:57:00,2020-01-03 11:05:00
1/3/2020,Fri,4:07:00 PM,0.53,L,2020-01-03 16:07:00,2020-01-03 16:52:00
1/3/2020,Fri,10:16:00 PM,2.53,H,2020-01-03 22:16:00,2020-01-03 23:24:00
1/4/2020,Sat,4:27:00 AM,0.44,L,2020-01-04 04:27:00,2020-01-04 05:12:00
1/4/2020,Sat,10:46:00 AM,2.64,H,2020-01-04 10:46:00,2020-01-04 11:54:00
1/4/2020,Sat,5:00:00 PM,0.51,L,2020-01-04 17:00:00,2020-01-04 17:45:00
1/4/2020,Sat,11:10:00 PM,2.48,H,2020-01-04 23:10:00,2020-01-05 00:18:00
1/5/2020,Sun,5:16:00 AM,0.47,L,2020-01-05 05:16:00,2020-01-05 06:01:00
1/5/2020,Sun,11:36:00 AM,2.69,H,2020-01-05 11:36:00,2020-01-05 12:44:00
1/5/2020,Sun,5:55:00 PM,0.44,L,2020-01-05 17:55:00,2020-01-05 18:40:00
1/6/2020,Mon,12:05:00 AM,2.46,H,2020-01-06 00:05:00,2020-01-06 01:13:00
1/6/2020,Mon,6:06:00 AM,0.47,L,2020-01-06 06:06:00,2020-01-06 06:51:00
1/6/2020,Mon,12:25:00 PM,2.78,H,2020-01-06 12:25:00,2020-01-06 13:33:00
1/6/2020,Mon,6:48:00 PM,0.33,L,2020-01-06 18:48:00,2020-01-06 19:33:00
1/7/2020,Tue,12:59:00 AM,2.49,H,2020-01-07 00:59:00,2020-01-07 02:07:00
1/7/2020,Tue,6:56:00 AM,0.43,L,2020-01-07 06:56:00,2020-01-07 07:41:00
1/7/2020,Tue,1:14:00 PM,2.89,H,2020-01-07 13:14:00,2020-01-07 14:22:00
1/7/2020,Tue,7:39:00 PM,0.2,L,2020-01-07 19:39:00,2020-01-07 20:24:00
1/8/2020,Wed,1:50:00 AM,2.56,H,2020-01-08 01:50:00,2020-01-08 02:58:00
1/8/2020,Wed,7:45:00 AM,0.35,L,2020-01-08 07:45:00,2020-01-08 08:30:00
1/8/2020,Wed,2:00:00 PM,3.02,H,2020-01-08 14:00:00,2020-01-08 15:08:00
1/8/2020,Wed,8:26:00 PM,0.04,L,2020-01-08 20:26:00,2020-01-08 21:11:00
1/9/2020,Thu,2:37:00 AM,2.64,H,2020-01-09 02:37:00,2020-01-09 03:45:00
1/9/2020,Thu,8:32:00 AM,0.25,L,2020-01-09 08:32:00,2020-01-09 09:17:00
1/9/2020,Thu,2:44:00 PM,3.16,H,2020-01-09 14:44:00,2020-01-09 15:52:00
1/9/2020,Thu,9:12:00 PM,-0.11,L,2020-01-09 21:12:00,2020-01-09 21:57:00
1/10/2020,Fri,3:23:00 AM,2.73,H,2020-01-10 03:23:00,2020-01-10 04:31:00
1/10/2020,Fri,9:18:00 AM,0.15,L,2020-01-10 09:18:00,2020-01-10 10:03:00
1/10/2020,Fri,3:29:00 PM,3.28,H,2020-01-10 15:29:00,2020-01-10 16:37:00
1/10/2020,Fri,9:58:00 PM,-0.24,L,2020-01-10 21:58:00,2020-01-10 22:43:00
1/11/2020,Sat,4:08:00 AM,2.82,H,2020-01-11 04:08:00,2020-01-11 05:16:00
1/11/2020,Sat,10:04:00 AM,0.05,L,2020-01-11 10:04:00,2020-01-11 10:49:00
1/11/2020,Sat,4:15:00 PM,3.37,H,2020-01-11 16:15:00,2020-01-11 17:23:00
1/11/2020,Sat,10:44:00 PM,-0.34,L,2020-01-11 22:44:00,2020-01-11 23:29:00
1/12/2020,Sun,4:55:00 AM,2.9,H,2020-01-12 04:55:00,2020-01-12 06:03:00
1/12/2020,Sun,10:52:00 AM,-0.03,L,2020-01-12 10:52:00,2020-01-12 11:37:00
1/12/2020,Sun,5:03:00 PM,3.42,H,2020-01-12 17:03:00,2020-01-12 18:11:00
1/12/2020,Sun,11:30:00 PM,-0.4,L,2020-01-12 23:30:00,2020-01-13 00:15:00
1/13/2020,Mon,5:42:00 AM,2.98,H,2020-01-13 05:42:00,2020-01-13 06:50:00
1/13/2020,Mon,11:42:00 AM,-0.09,L,2020-01-13 11:42:00,2020-01-13 12:27:00
1/13/2020,Mon,5:52:00 PM,3.43,H,2020-01-13 17:52:00,2020-01-13 19:00:00
1/14/2020,Tue,12:18:00 AM,-0.41,L,2020-01-14 00:18:00,2020-01-14 01:03:00
1/14/2020,Tue,6:31:00 AM,3.04,H,2020-01-14 06:31:00,2020-01-14 07:39:00
1/14/2020,Tue,12:33:00 PM,-0.1,L,2020-01-14 12:33:00,2020-01-14 13:18:00
1/14/2020,Tue,6:44:00 PM,3.37,H,2020-01-14 18:44:00,2020-01-14 19:52:00
