,Date,Day,Time,Pred(Ft),Pred(cm),High/Low,DateTime (UTC),Subordinate DateTime (Adjusted)
0,1/1/2022,Sat,4:15:00 AM,-0.52,-16,L,2022-01-01 04:15:00,2022-01-01 04:21:00
1,1/1/2022,Sat,11:18:00 AM,4.97,151,H,2022-01-01 11:18:00,2022-01-01 11:27:00
2,1/1/2022,Sat,5:20:00 PM,-0.44,-13,L,2022-01-01 17:20:00,2022-01-01 17:26:00
3,1/1/2022,Sat,11:43:00 PM,3.88,118,H,2022-01-01 23:43:00,2022-01-01 23:52:00
4,1/2/2022,Sun,5:10:00 AM,-0.58,-18,L,2022-01-02 05:10:00,2022-01-02 05:16:00
5,1/2/2022,Sun,12:07:00 PM,5.02,153,H,2022-01-02 12:07:00,2022-01-02 12:16:00
6,1/2/2022,Sun,6:19:00 PM,-0.53,-16,L,2022-01-02 18:19:00,2022-01-02 18:25:00
7,1/3/2022,Mon,12:35:00 AM,3.97,121,H,2022-01-03 00:35:00,2022-01-03 00:44:00
8,1/3/2022,Mon,6:07:00 AM,-0.57,-17,L,2022-01-03 06:07:00,2022-01-03 06:13:00
9,1/3/2022,Mon,12:59:00 PM,4.96,151,H,2022-01-03 12:59:00,2022-01-03 13:08:00
10,1/3/2022,Mon,7:20:00 PM,-0.6,-18,L,2022-01-03 19:20:00,2022-01-03 19:26:00
11,1/4/2022,Tue,1:29:00 AM,4.02,123,H,2022-01-04 01:29:00,2022-01-04 01:38:00
12,1/4/2022,Tue,7:09:00 AM,-0.52,-16,L,2022-01-04 07:09:00,2022-01-04 07:15:00
13,1/4/2022,Tue,1:52:00 PM,4.81,147,H,2022-01-04 13:52:00,2022-01-04 14:01:00
14,1/4/2022,Tue,8:07:00 PM,-0.63,-19,L,2022-01-04 20:07:00,2022-01-04 20:13:00
15,1/5/2022,Wed,2:22:00 AM,4.05,123,H,2022-01-05 02:22:00,2022-01-05 02:31:00
16,1/5/2022,Wed,8:04:00 AM,-0.44,-13,L,2022-01-05 08:04:00,2022-01-05 08:10:00
17,1/5/2022,Wed,2:43:00 PM,4.59,140,H,2022-01-05 14:43:00,2022-01-05 14:52:00
18,1/5/2022,Wed,8:46:00 PM,-0.57,-17,L,2022-01-05 20:46:00,2022-01-05 20:52:00
19,1/6/2022,Thu,3:13:00 AM,4.03,123,H,2022-01-06 03:13:00,2022-01-06 03:22:00
20,1/6/2022,Thu,8:50:00 AM,-0.27,-8,L,2022-01-06 08:50:00,2022-01-06 08:56:00
21,1/6/2022,Thu,3:33:00 PM,4.3,131,H,2022-01-06 15:33:00,2022-01-06 15:42:00
22,1/6/2022,Thu,9:22:00 PM,-0.41,-12,L,2022-01-06 21:22:00,2022-01-06 21:28:00
23,1/7/2022,Fri,4:07:00 AM,3.97,121,H,2022-01-07 04:07:00,2022-01-07 04:16:00
24,1/7/2022,Fri,9:35:00 AM,0.0,0,L,2022-01-07 09:35:00,2022-01-07 09:41:00
25,1/7/2022,Fri,4:27:00 PM,3.97,121,H,2022-01-07 16:27:00,2022-01-07 16:36:00
26,1/7/2022,Fri,10:03:00 PM,-0.18,-5,L,2022-01-07 22:03:00,2022-01-07 22:09:00
27,1/8/2022,Sat,5:02:00 AM,3.9,119,H,2022-01-08 05:02:00,2022-01-08 05:11:00
28,1/8/2022,Sat,10:33:00 AM,0.3,9,L,2022-01-08 10:33:00,2022-01-08 10:39:00
29,1/8/2022,Sat,5:22:00 PM,3.66,112,H,2022-01-08 17:22:00,2022-01-08 17:31:00
30,1/8/2022,Sat,10:58:00 PM,0.07,2,L,2022-01-08 22:58:00,2022-01-08 23:04:00
31,1/9/2022,Sun,5:57:00 AM,3.84,117,H,2022-01-09 05:57:00,2022-01-09 06:06:00
32,1/9/2022,Sun,12:57:00 PM,0.47,14,L,2022-01-09 12:57:00,2022-01-09 13:03:00
33,1/9/2022,Sun,6:15:00 PM,3.39,103,H,2022-01-09 18:15:00,2022-01-09 18:24:00
34,1/10/2022,Mon,12:14:00 AM,0.25,8,L,2022-01-10 00:14:00,2022-01-10 00:20:00
35,1/10/2022,Mon,6:47:00 AM,3.77,115,H,2022-01-10 06:47:00,2022-01-10 06:56:00
36,1/10/2022,Mon,2:15:00 PM,0.48,15,L,2022-01-10 14:15:00,2022-01-10 14:21:00
37,1/10/2022,Mon,7:06:00 PM,3.15,96,H,2022-01-10 19:06:00,2022-01-10 19:15:00
38,1/11/2022,Tue,1:11:00 AM,0.38,12,L,2022-01-11 01:11:00,2022-01-11 01:17:00
39,1/11/2022,Tue,7:39:00 AM,3.69,112,H,2022-01-11 07:39:00,2022-01-11 07:48:00
40,1/11/2022,Tue,3:25:00 PM,0.43,13,L,2022-01-11 15:25:00,2022-01-11 15:31:00
41,1/11/2022,Tue,8:02:00 PM,2.94,90,H,2022-01-11 20:02:00,2022-01-11 20:11:00
42,1/12/2022,Wed,2:02:00 AM,0.48,15,L,2022-01-12 02:02:00,2022-01-12 02:08:00
43,1/12/2022,Wed,8:37:00 AM,3.64,111,H,2022-01-12 08:37:00,2022-01-12 08:46:00
44,1/12/2022,Wed,4:21:00 PM,0.36,11,L,2022-01-12 16:21:00,2022-01-12 16:27:00
