Date,Day,Time,Pred,High/Low
2018/12/01,Sat,04:23,-0.02,L
2018/12/01,Sat,10:46,2.99,H
2018/12/01,Sat,16:53,0.19,L
2018/12/01,Sat,23:08,2.99,H
2018/12/02,Sun,05:23,0.03,L
2018/12/02,Sun,11:47,3.05,H
2018/12/02,Sun,17:57,0.13,L
2018/12/03,Mon,00:13,2.95,H
2018/12/03,Mon,06:22,0.05,L
2018/12/03,Mon,12:46,3.13,H
2018/12/03,Mon,18:59,0.04,L
2018/12/04,Tue,01:16,2.94,H
2018/12/04,Tue,07:18,0.07,L
2018/12/04,Tue,13:40,3.2,H
2018/12/04,Tue,19:56,-0.05,L
2018/12/05,Wed,02:12,2.95,H
2018/12/05,Wed,08:10,0.07,L
2018/12/05,Wed,14:28,3.26,H
2018/12/05,Wed,20:47,-0.12,L
2018/12/06,Thu,03:02,2.95,H
2018/12/06,Thu,08:57,0.09,L
2018/12/06,Thu,15:13,3.27,H
2018/12/06,Thu,21:33,-0.16,L
2018/12/07,Fri,03:48,2.92,H
2018/12/07,Fri,09:42,0.13,L
2018/12/07,Fri,15:55,3.26,H
2018/12/07,Fri,22:17,-0.15,L
2018/12/08,Sat,04:32,2.88,H
2018/12/08,Sat,10:25,0.18,L
2018/12/08,Sat,16:36,3.22,H
2018/12/08,Sat,23:00,-0.12,L
2018/12/09,Sun,05:15,2.83,H
2018/12/09,Sun,11:07,0.25,L
2018/12/09,Sun,17:18,3.16,H
2018/12/09,Sun,23:41,-0.05,L
2018/12/10,Mon,05:57,2.77,H
2018/12/10,Mon,11:49,0.32,L
2018/12/10,Mon,17:59,3.08,H
2018/12/11,Tue,00:23,0.02,L
2018/12/11,Tue,06:38,2.72,H
2018/12/11,Tue,12:32,0.39,L
2018/12/11,Tue,18:41,3.0,H
2018/12/12,Wed,01:05,0.11,L
2018/12/12,Wed,07:21,2.67,H
2018/12/12,Wed,13:16,0.46,L
2018/12/12,Wed,19:26,2.9,H
2018/12/13,Thu,01:49,0.19,L
2018/12/13,Thu,08:06,2.63,H
2018/12/13,Thu,14:04,0.52,L
2018/12/13,Thu,20:13,2.81,H
2018/12/14,Fri,02:35,0.27,L
2018/12/14,Fri,08:54,2.61,H
2018/12/14,Fri,14:54,0.56,L
2018/12/14,Fri,21:03,2.72,H
2018/12/15,Sat,03:24,0.32,L
2018/12/15,Sat,09:43,2.62,H
2018/12/15,Sat,15:47,0.55,L
2018/12/15,Sat,21:55,2.66,H
2018/12/16,Sun,04:13,0.35,L
2018/12/16,Sun,10:31,2.67,H
2018/12/16,Sun,16:40,0.51,L
2018/12/16,Sun,22:48,2.63,H
2018/12/17,Mon,05:02,0.35,L
2018/12/17,Mon,11:20,2.75,H
2018/12/17,Mon,17:33,0.42,L
2018/12/17,Mon,23:42,2.64,H
2018/12/18,Tue,05:51,0.32,L
2018/12/18,Tue,12:09,2.86,H
2018/12/18,Tue,18:27,0.29,L
2018/12/19,Wed,00:35,2.69,H
2018/12/19,Wed,06:41,0.26,L
2018/12/19,Wed,12:57,3.01,H
2018/12/19,Wed,19:19,0.12,L
2018/12/20,Thu,01:27,2.77,H
2018/12/20,Thu,07:31,0.17,L
2018/12/20,Thu,13:44,3.17,H
2018/12/20,Thu,20:09,-0.07,L
2018/12/21,Fri,02:17,2.86,H
2018/12/21,Fri,08:19,0.06,L
2018/12/21,Fri,14:30,3.33,H
2018/12/21,Fri,20:57,-0.25,L
2018/12/22,Sat,03:06,2.95,H
2018/12/22,Sat,09:07,-0.04,L
2018/12/22,Sat,15:17,3.47,H
2018/12/22,Sat,21:46,-0.39,L
2018/12/23,Sun,03:55,3.03,H
2018/12/23,Sun,09:56,-0.12,L
2018/12/23,Sun,16:06,3.56,H
2018/12/23,Sun,22:35,-0.49,L
2018/12/24,Mon,04:45,3.08,H
2018/12/24,Mon,10:46,-0.17,L
2018/12/24,Mon,16:57,3.59,H
2018/12/24,Mon,23:25,-0.52,L
2018/12/25,Tue,05:37,3.11,H
2018/12/25,Tue,11:38,-0.17,L
2018/12/25,Tue,17:49,3.56,H
2018/12/26,Wed,00:16,-0.5,L
2018/12/26,Wed,06:30,3.12,H
2018/12/26,Wed,12:32,-0.14,L
2018/12/26,Wed,18:43,3.47,H
2018/12/27,Thu,01:09,-0.42,L
2018/12/27,Thu,07:25,3.1,H
2018/12/27,Thu,13:28,-0.07,L
2018/12/27,Thu,19:40,3.33,H
2018/12/28,Fri,02:04,-0.31,L
2018/12/28,Fri,08:22,3.07,H
2018/12/28,Fri,14:27,0.01,L
2018/12/28,Fri,20:41,3.16,H
2018/12/29,Sat,03:01,-0.17,L
2018/12/29,Sat,09:22,3.04,H
2018/12/29,Sat,15:30,0.08,L
2018/12/29,Sat,21:44,3.0,H
2018/12/30,Sun,04:00,-0.04,L
2018/12/30,Sun,10:23,3.03,H
2018/12/30,Sun,16:34,0.11,L
2018/12/30,Sun,22:50,2.87,H
2018/12/31,Mon,04:59,0.07,L
2018/12/31,Mon,11:24,3.03,H
2018/12/31,Mon,17:38,0.12,L
2018/12/31,Mon,23:55,2.78,H
