Date,Day,Time,Pred,High/Low
2018/07/01,Sun,05:51,3.07,H
2018/07/01,Sun,12:12,0.12,L
2018/07/01,Sun,18:28,2.76,H
2018/07/02,Mon,00:22,0.44,L
2018/07/02,Mon,06:31,3.03,H
2018/07/02,Mon,12:52,0.15,L
2018/07/02,Mon,19:08,2.76,H
2018/07/03,Tue,01:04,0.47,L
2018/07/03,Tue,07:13,2.97,H
2018/07/03,Tue,13:33,0.2,L
2018/07/03,Tue,19:49,2.77,H
2018/07/04,Wed,01:49,0.49,L
2018/07/04,Wed,07:56,2.91,H
2018/07/04,Wed,14:16,0.24,L
2018/07/04,Wed,20:32,2.78,H
2018/07/05,Thu,02:37,0.49,L
2018/07/05,Thu,08:43,2.85,H
2018/07/05,Thu,15:01,0.28,L
2018/07/05,Thu,21:17,2.82,H
2018/07/06,Fri,03:27,0.46,L
2018/07/06,Fri,09:33,2.8,H
2018/07/06,Fri,15:49,0.3,L
2018/07/06,Fri,22:03,2.89,H
2018/07/07,Sat,04:19,0.4,L
2018/07/07,Sat,10:25,2.78,H
2018/07/07,Sat,16:38,0.3,L
2018/07/07,Sat,22:52,2.98,H
2018/07/08,Sun,05:13,0.3,L
2018/07/08,Sun,11:19,2.78,H
2018/07/08,Sun,17:30,0.28,L
2018/07/08,Sun,23:43,3.1,H
2018/07/09,Mon,06:09,0.17,L
2018/07/09,Mon,12:16,2.81,H
2018/07/09,Mon,18:24,0.22,L
2018/07/10,Tue,00:37,3.25,H
2018/07/10,Tue,07:06,0.01,L
2018/07/10,Tue,13:14,2.89,H
2018/07/10,Tue,19:19,0.14,L
2018/07/11,Wed,01:31,3.4,H
2018/07/11,Wed,08:02,-0.16,L
2018/07/11,Wed,14:10,2.99,H
2018/07/11,Wed,20:14,0.04,L
2018/07/12,Thu,02:25,3.54,H
2018/07/12,Thu,08:56,-0.32,L
2018/07/12,Thu,15:05,3.09,H
2018/07/12,Thu,21:07,-0.06,L
2018/07/13,Fri,03:18,3.65,H
2018/07/13,Fri,09:49,-0.44,L
2018/07/13,Fri,15:59,3.17,H
2018/07/13,Fri,22:01,-0.14,L
2018/07/14,Sat,04:13,3.7,H
2018/07/14,Sat,10:42,-0.5,L
2018/07/14,Sat,16:55,3.24,H
2018/07/14,Sat,22:56,-0.18,L
2018/07/15,Sun,05:08,3.69,H
2018/07/15,Sun,11:34,-0.5,L
2018/07/15,Sun,17:50,3.28,H
2018/07/15,Sun,23:50,-0.17,L
2018/07/16,Mon,06:04,3.61,H
2018/07/16,Mon,12:27,-0.44,L
2018/07/16,Mon,18:44,3.29,H
2018/07/17,Tue,00:46,-0.12,L
2018/07/17,Tue,07:00,3.49,H
2018/07/17,Tue,13:20,-0.33,L
2018/07/17,Tue,19:39,3.26,H
2018/07/18,Wed,01:42,-0.04,L
2018/07/18,Wed,07:57,3.32,H
2018/07/18,Wed,14:14,-0.17,L
2018/07/18,Wed,20:35,3.21,H
2018/07/19,Thu,02:42,0.06,L
2018/07/19,Thu,08:57,3.13,H
2018/07/19,Thu,15:09,-0.01,L
2018/07/19,Thu,21:32,3.15,H
2018/07/20,Fri,03:42,0.14,L
2018/07/20,Fri,09:58,2.96,H
2018/07/20,Fri,16:06,0.15,L
2018/07/20,Fri,22:29,3.09,H
2018/07/21,Sat,04:43,0.21,L
2018/07/21,Sat,10:59,2.82,H
2018/07/21,Sat,17:02,0.29,L
2018/07/21,Sat,23:25,3.05,H
2018/07/22,Sun,05:44,0.25,L
2018/07/22,Sun,12:01,2.73,H
2018/07/22,Sun,17:58,0.39,L
2018/07/23,Mon,00:21,3.02,H
2018/07/23,Mon,06:44,0.26,L
2018/07/23,Mon,13:01,2.68,H
2018/07/23,Mon,18:53,0.45,L
2018/07/24,Tue,01:15,3.02,H
2018/07/24,Tue,07:40,0.23,L
2018/07/24,Tue,13:55,2.67,H
2018/07/24,Tue,19:44,0.46,L
2018/07/25,Wed,02:03,3.04,H
2018/07/25,Wed,08:28,0.2,L
2018/07/25,Wed,14:42,2.69,H
2018/07/25,Wed,20:31,0.44,L
2018/07/26,Thu,02:47,3.06,H
2018/07/26,Thu,09:11,0.16,L
2018/07/26,Thu,15:25,2.72,H
2018/07/26,Thu,21:14,0.41,L
2018/07/27,Fri,03:28,3.08,H
2018/07/27,Fri,09:51,0.13,L
2018/07/27,Fri,16:05,2.75,H
2018/07/27,Fri,21:55,0.39,L
2018/07/28,Sat,04:08,3.1,H
2018/07/28,Sat,10:29,0.11,L
2018/07/28,Sat,16:44,2.78,H
2018/07/28,Sat,22:35,0.36,L
2018/07/29,Sun,04:47,3.1,H
2018/07/29,Sun,11:06,0.1,L
2018/07/29,Sun,17:22,2.81,H
2018/07/29,Sun,23:15,0.35,L
2018/07/30,Mon,05:26,3.08,H
2018/07/30,Mon,11:44,0.1,L
2018/07/30,Mon,17:59,2.83,H
2018/07/30,Mon,23:55,0.34,L
2018/07/31,Tue,06:05,3.05,H
2018/07/31,Tue,12:22,0.11,L
2018/07/31,Tue,18:36,2.85,H
