Date,Day,Time,Pred,High/Low
2019/04/01,Mon,01:27,2.59,H
2019/04/01,Mon,07:21,0.48,L
2019/04/01,Mon,13:39,2.8,H
2019/04/01,Mon,19:56,0.3,L
2019/04/02,Tue,02:12,2.69,H
2019/04/02,Tue,08:09,0.37,L
2019/04/02,Tue,14:25,2.87,H
2019/04/02,Tue,20:37,0.23,L
2019/04/03,Wed,02:51,2.79,H
2019/04/03,Wed,08:51,0.26,L
2019/04/03,Wed,15:05,2.93,H
2019/04/03,Wed,21:14,0.17,L
2019/04/04,Thu,03:28,2.89,H
2019/04/04,Thu,09:31,0.15,L
2019/04/04,Thu,15:44,2.97,H
2019/04/04,Thu,21:51,0.12,L
2019/04/05,Fri,04:03,2.96,H
2019/04/05,Fri,10:09,0.07,L
2019/04/05,Fri,16:21,2.99,H
2019/04/05,Fri,22:27,0.1,L
2019/04/06,Sat,04:37,3.02,H
2019/04/06,Sat,10:48,0.01,L
2019/04/06,Sat,16:59,2.98,H
2019/04/06,Sat,23:03,0.1,L
2019/04/07,Sun,05:12,3.07,H
2019/04/07,Sun,11:27,-0.02,L
2019/04/07,Sun,17:37,2.96,H
2019/04/07,Sun,23:41,0.13,L
2019/04/08,Mon,05:49,3.1,H
2019/04/08,Mon,12:07,-0.03,L
2019/04/08,Mon,18:17,2.91,H
2019/04/09,Tue,00:21,0.17,L
2019/04/09,Tue,06:27,3.11,H
2019/04/09,Tue,12:50,-0.02,L
2019/04/09,Tue,19:00,2.85,H
2019/04/10,Wed,01:03,0.23,L
2019/04/10,Wed,07:10,3.1,H
2019/04/10,Wed,13:37,0.02,L
2019/04/10,Wed,19:47,2.78,H
2019/04/11,Thu,01:50,0.3,L
2019/04/11,Thu,07:58,3.08,H
2019/04/11,Thu,14:29,0.07,L
2019/04/11,Thu,20:39,2.71,H
2019/04/12,Fri,02:44,0.35,L
2019/04/12,Fri,08:52,3.04,H
2019/04/12,Fri,15:26,0.1,L
2019/04/12,Fri,21:38,2.69,H
2019/04/13,Sat,03:44,0.37,L
2019/04/13,Sat,09:53,3.03,H
2019/04/13,Sat,16:27,0.1,L
2019/04/13,Sat,22:41,2.71,H
2019/04/14,Sun,04:46,0.34,L
2019/04/14,Sun,10:58,3.04,H
2019/04/14,Sun,17:29,0.06,L
2019/04/14,Sun,23:44,2.81,H
2019/04/15,Mon,05:51,0.24,L
2019/04/15,Mon,12:04,3.1,H
2019/04/15,Mon,18:30,-0.02,L
2019/04/16,Tue,00:47,2.96,H
2019/04/16,Tue,06:54,0.09,L
2019/04/16,Tue,13:09,3.19,H
2019/04/16,Tue,19:29,-0.13,L
2019/04/17,Wed,01:45,3.14,H
2019/04/17,Wed,07:54,-0.1,L
2019/04/17,Wed,14:08,3.29,H
2019/04/17,Wed,20:23,-0.23,L
2019/04/18,Thu,02:38,3.32,H
2019/04/18,Thu,08:49,-0.27,L
2019/04/18,Thu,15:03,3.36,H
2019/04/18,Thu,21:14,-0.28,L
2019/04/19,Fri,03:27,3.44,H
2019/04/19,Fri,09:41,-0.39,L
2019/04/19,Fri,15:55,3.37,H
2019/04/19,Fri,22:03,-0.28,L
2019/04/20,Sat,04:15,3.5,H
2019/04/20,Sat,10:31,-0.44,L
2019/04/20,Sat,16:46,3.33,H
2019/04/20,Sat,22:50,-0.21,L
2019/04/21,Sun,05:02,3.49,H
2019/04/21,Sun,11:20,-0.41,L
2019/04/21,Sun,17:36,3.23,H
2019/04/21,Sun,23:37,-0.09,L
2019/04/22,Mon,05:49,3.42,H
2019/04/22,Mon,12:09,-0.31,L
2019/04/22,Mon,18:25,3.1,H
2019/04/23,Tue,00:24,0.06,L
2019/04/23,Tue,06:35,3.3,H
2019/04/23,Tue,12:57,-0.16,L
2019/04/23,Tue,19:14,2.95,H
2019/04/24,Wed,01:12,0.24,L
2019/04/24,Wed,07:23,3.15,H
2019/04/24,Wed,13:47,0.01,L
2019/04/24,Wed,20:06,2.79,H
2019/04/25,Thu,02:02,0.4,L
2019/04/25,Thu,08:14,2.99,H
2019/04/25,Thu,14:40,0.18,L
2019/04/25,Thu,21:00,2.66,H
2019/04/26,Fri,02:56,0.54,L
2019/04/26,Fri,09:09,2.85,H
2019/04/26,Fri,15:36,0.32,L
2019/04/26,Fri,21:56,2.58,H
2019/04/27,Sat,03:53,0.62,L
2019/04/27,Sat,10:06,2.75,H
2019/04/27,Sat,16:32,0.41,L
2019/04/27,Sat,22:53,2.55,H
2019/04/28,Sun,04:50,0.65,L
2019/04/28,Sun,11:05,2.7,H
2019/04/28,Sun,17:27,0.45,L
2019/04/28,Sun,23:49,2.58,H
2019/04/29,Mon,05:47,0.62,L
2019/04/29,Mon,12:03,2.7,H
2019/04/29,Mon,18:20,0.44,L
2019/04/30,Tue,00:41,2.66,H
2019/04/30,Tue,06:42,0.54,L
2019/04/30,Tue,12:57,2.74,H
2019/04/30,Tue,19:09,0.4,L
