Date,Day,Time,Pred,High/Low
2019/02/01,Fri,01:37,2.57,H
2019/02/01,Fri,07:26,0.36,L
2019/02/01,Fri,13:48,2.94,H
2019/02/01,Fri,20:14,0.1,L
2019/02/02,Sat,02:28,2.6,H
2019/02/02,Sat,08:16,0.33,L
2019/02/02,Sat,14:35,2.97,H
2019/02/02,Sat,20:59,0.05,L
2019/02/03,Sun,03:13,2.64,H
2019/02/03,Sun,09:01,0.29,L
2019/02/03,Sun,15:17,3.01,H
2019/02/03,Sun,21:40,0.02,L
2019/02/04,Mon,03:53,2.67,H
2019/02/04,Mon,09:42,0.25,L
2019/02/04,Mon,15:57,3.03,H
2019/02/04,Mon,22:17,-0.01,L
2019/02/05,Tue,04:31,2.71,H
2019/02/05,Tue,10:22,0.22,L
2019/02/05,Tue,16:35,3.03,H
2019/02/05,Tue,22:54,-0.01,L
2019/02/06,Wed,05:07,2.73,H
2019/02/06,Wed,11:01,0.2,L
2019/02/06,Wed,17:13,3.02,H
2019/02/06,Wed,23:30,-0.01,L
2019/02/07,Thu,05:43,2.75,H
2019/02/07,Thu,11:40,0.19,L
2019/02/07,Thu,17:51,2.98,H
2019/02/08,Fri,00:06,0.02,L
2019/02/08,Fri,06:19,2.77,H
2019/02/08,Fri,12:19,0.2,L
2019/02/08,Fri,18:29,2.92,H
2019/02/09,Sat,00:43,0.06,L
2019/02/09,Sat,06:55,2.77,H
2019/02/09,Sat,13:00,0.23,L
2019/02/09,Sat,19:08,2.85,H
2019/02/10,Sun,01:22,0.13,L
2019/02/10,Sun,07:33,2.77,H
2019/02/10,Sun,13:43,0.25,L
2019/02/10,Sun,19:50,2.76,H
2019/02/11,Mon,02:03,0.2,L
2019/02/11,Mon,08:14,2.77,H
2019/02/11,Mon,14:29,0.28,L
2019/02/11,Mon,20:36,2.66,H
2019/02/12,Tue,02:48,0.27,L
2019/02/12,Tue,08:59,2.79,H
2019/02/12,Tue,15:21,0.28,L
2019/02/12,Tue,21:27,2.58,H
2019/02/13,Wed,03:38,0.32,L
2019/02/13,Wed,09:49,2.82,H
2019/02/13,Wed,16:16,0.26,L
2019/02/13,Wed,22:23,2.54,H
2019/02/14,Thu,04:32,0.34,L
2019/02/14,Thu,10:44,2.88,H
2019/02/14,Thu,17:15,0.2,L
2019/02/14,Thu,23:23,2.54,H
2019/02/15,Fri,05:29,0.31,L
2019/02/15,Fri,11:43,2.98,H
2019/02/15,Fri,18:16,0.08,L
2019/02/16,Sat,00:26,2.6,H
2019/02/16,Sat,06:29,0.22,L
2019/02/16,Sat,12:43,3.12,H
2019/02/16,Sat,19:16,-0.08,L
2019/02/17,Sun,01:27,2.74,H
2019/02/17,Sun,07:29,0.08,L
2019/02/17,Sun,13:43,3.29,H
2019/02/17,Sun,20:13,-0.27,L
2019/02/18,Mon,02:24,2.91,H
2019/02/18,Mon,08:26,-0.1,L
2019/02/18,Mon,14:39,3.45,H
2019/02/18,Mon,21:07,-0.44,L
2019/02/19,Tue,03:17,3.08,H
2019/02/19,Tue,09:20,-0.27,L
2019/02/19,Tue,15:34,3.56,H
2019/02/19,Tue,21:58,-0.56,L
2019/02/20,Wed,04:10,3.22,H
2019/02/20,Wed,10:14,-0.4,L
2019/02/20,Wed,16:27,3.6,H
2019/02/20,Wed,22:48,-0.61,L
2019/02/21,Thu,05:01,3.32,H
2019/02/21,Thu,11:07,-0.46,L
2019/02/21,Thu,17:21,3.58,H
2019/02/21,Thu,23:38,-0.58,L
2019/02/22,Fri,05:52,3.37,H
2019/02/22,Fri,11:59,-0.45,L
2019/02/22,Fri,18:14,3.47,H
2019/02/23,Sat,00:27,-0.48,L
2019/02/23,Sat,06:42,3.35,H
2019/02/23,Sat,12:52,-0.37,L
2019/02/23,Sat,19:07,3.3,H
2019/02/24,Sun,01:17,-0.31,L
2019/02/24,Sun,07:33,3.27,H
2019/02/24,Sun,13:46,-0.24,L
2019/02/24,Sun,20:01,3.09,H
2019/02/25,Mon,02:09,-0.1,L
2019/02/25,Mon,08:26,3.15,H
2019/02/25,Mon,14:43,-0.08,L
2019/02/25,Mon,20:59,2.87,H
2019/02/26,Tue,03:04,0.11,L
2019/02/26,Tue,09:22,3.01,H
2019/02/26,Tue,15:43,0.08,L
2019/02/26,Tue,22:01,2.69,H
2019/02/27,Wed,04:01,0.29,L
2019/02/27,Wed,10:21,2.89,H
2019/02/27,Wed,16:45,0.2,L
2019/02/27,Wed,23:04,2.55,H
2019/02/28,Thu,05:00,0.42,L
2019/02/28,Thu,11:22,2.81,H
2019/02/28,Thu,17:49,0.27,L
