Date,Day,Time,Pred,High/Low
2019/05/01,Wed,01:28,2.76,H
2019/05/01,Wed,07:32,0.42,L
2019/05/01,Wed,13:46,2.8,H
2019/05/01,Wed,19:54,0.34,L
2019/05/02,Thu,02:10,2.88,H
2019/05/02,Thu,08:17,0.28,L
2019/05/02,Thu,14:30,2.86,H
2019/05/02,Thu,20:34,0.27,L
2019/05/03,Fri,02:48,2.99,H
2019/05/03,Fri,08:59,0.16,L
2019/05/03,Fri,15:11,2.91,H
2019/05/03,Fri,21:13,0.22,L
2019/05/04,Sat,03:25,3.08,H
2019/05/04,Sat,09:40,0.05,L
2019/05/04,Sat,15:51,2.94,H
2019/05/04,Sat,21:52,0.19,L
2019/05/05,Sun,04:02,3.16,H
2019/05/05,Sun,10:20,-0.04,L
2019/05/05,Sun,16:31,2.96,H
2019/05/05,Sun,22:32,0.17,L
2019/05/06,Mon,04:40,3.22,H
2019/05/06,Mon,11:02,-0.1,L
2019/05/06,Mon,17:13,2.95,H
2019/05/06,Mon,23:13,0.17,L
2019/05/07,Tue,05:20,3.26,H
2019/05/07,Tue,11:45,-0.13,L
2019/05/07,Tue,17:56,2.93,H
2019/05/07,Tue,23:56,0.19,L
2019/05/08,Wed,06:03,3.28,H
2019/05/08,Wed,12:30,-0.13,L
2019/05/08,Wed,18:42,2.9,H
2019/05/09,Thu,00:42,0.23,L
2019/05/09,Thu,06:49,3.26,H
2019/05/09,Thu,13:19,-0.09,L
2019/05/09,Thu,19:31,2.87,H
2019/05/10,Fri,01:32,0.28,L
2019/05/10,Fri,07:40,3.22,H
2019/05/10,Fri,14:12,-0.04,L
2019/05/10,Fri,20:26,2.84,H
2019/05/11,Sat,02:28,0.32,L
2019/05/11,Sat,08:37,3.16,H
2019/05/11,Sat,15:09,0.01,L
2019/05/11,Sat,21:25,2.84,H
2019/05/12,Sun,03:29,0.33,L
2019/05/12,Sun,09:39,3.1,H
2019/05/12,Sun,16:09,0.03,L
2019/05/12,Sun,22:26,2.89,H
2019/05/13,Mon,04:32,0.29,L
2019/05/13,Mon,10:44,3.07,H
2019/05/13,Mon,17:09,0.04,L
2019/05/13,Mon,23:27,2.98,H
2019/05/14,Tue,05:36,0.21,L
2019/05/14,Tue,11:49,3.07,H
2019/05/14,Tue,18:08,0.02,L
2019/05/15,Wed,00:28,3.11,H
2019/05/15,Wed,06:39,0.08,L
2019/05/15,Wed,12:53,3.1,H
2019/05/15,Wed,19:06,-0.02,L
2019/05/16,Thu,01:25,3.25,H
2019/05/16,Thu,07:38,-0.07,L
2019/05/16,Thu,13:53,3.15,H
2019/05/16,Thu,20:01,-0.05,L
2019/05/17,Fri,02:17,3.37,H
2019/05/17,Fri,08:34,-0.2,L
2019/05/17,Fri,14:48,3.18,H
2019/05/17,Fri,20:51,-0.06,L
2019/05/18,Sat,03:06,3.44,H
2019/05/18,Sat,09:25,-0.28,L
2019/05/18,Sat,15:39,3.17,H
2019/05/18,Sat,21:40,-0.03,L
2019/05/19,Sun,03:52,3.46,H
2019/05/19,Sun,10:14,-0.3,L
2019/05/19,Sun,16:29,3.13,H
2019/05/19,Sun,22:26,0.03,L
2019/05/20,Mon,04:38,3.43,H
2019/05/20,Mon,11:01,-0.27,L
2019/05/20,Mon,17:18,3.06,H
2019/05/20,Mon,23:13,0.13,L
2019/05/21,Tue,05:24,3.35,H
2019/05/21,Tue,11:48,-0.18,L
2019/05/21,Tue,18:05,2.96,H
2019/05/21,Tue,23:58,0.24,L
2019/05/22,Wed,06:09,3.25,H
2019/05/22,Wed,12:33,-0.06,L
2019/05/22,Wed,18:51,2.87,H
2019/05/23,Thu,00:44,0.36,L
2019/05/23,Thu,06:55,3.12,H
2019/05/23,Thu,13:20,0.07,L
2019/05/23,Thu,19:38,2.77,H
2019/05/24,Fri,01:32,0.48,L
2019/05/24,Fri,07:43,3.0,H
2019/05/24,Fri,14:08,0.21,L
2019/05/24,Fri,20:27,2.69,H
2019/05/25,Sat,02:23,0.57,L
2019/05/25,Sat,08:33,2.88,H
2019/05/25,Sat,14:58,0.32,L
2019/05/25,Sat,21:19,2.64,H
2019/05/26,Sun,03:16,0.63,L
2019/05/26,Sun,09:27,2.78,H
2019/05/26,Sun,15:50,0.4,L
2019/05/26,Sun,22:10,2.64,H
2019/05/27,Mon,04:11,0.65,L
2019/05/27,Mon,10:21,2.71,H
2019/05/27,Mon,16:40,0.45,L
2019/05/27,Mon,23:01,2.67,H
2019/05/28,Tue,05:05,0.62,L
2019/05/28,Tue,11:16,2.68,H
2019/05/28,Tue,17:30,0.46,L
2019/05/28,Tue,23:51,2.73,H
2019/05/29,Wed,05:59,0.55,L
2019/05/29,Wed,12:10,2.69,H
2019/05/29,Wed,18:19,0.45,L
2019/05/30,Thu,00:39,2.82,H
2019/05/30,Thu,06:50,0.44,L
2019/05/30,Thu,13:02,2.72,H
2019/05/30,Thu,19:06,0.41,L
2019/05/31,Fri,01:24,2.94,H
2019/05/31,Fri,07:39,0.31,L
2019/05/31,Fri,13:50,2.77,H
2019/05/31,Fri,19:52,0.36,L
