Date,Day,Time,Pred,High/Low
2019/11/01,Fri,00:35,-0.25,L
2019/11/01,Fri,06:52,3.03,H
2019/11/01,Fri,12:49,0.17,L
2019/11/01,Fri,19:02,3.28,H
2019/11/02,Sat,01:27,-0.08,L
2019/11/02,Sat,07:46,2.87,H
2019/11/02,Sat,13:41,0.34,L
2019/11/02,Sat,19:55,3.11,H
2019/11/03,Sun,02:21,0.09,L
2019/11/03,Sun,08:42,2.74,H
2019/11/03,Sun,14:37,0.49,L
2019/11/03,Sun,20:51,2.95,H
2019/11/04,Mon,03:18,0.24,L
2019/11/04,Mon,09:41,2.65,H
2019/11/04,Mon,15:35,0.59,L
2019/11/04,Mon,21:50,2.83,H
2019/11/05,Tue,04:16,0.34,L
2019/11/05,Tue,10:39,2.62,H
2019/11/05,Tue,16:34,0.62,L
2019/11/05,Tue,22:50,2.76,H
2019/11/06,Wed,05:12,0.4,L
2019/11/06,Wed,11:35,2.64,H
2019/11/06,Wed,17:32,0.6,L
2019/11/06,Wed,23:48,2.74,H
2019/11/07,Thu,06:05,0.41,L
2019/11/07,Thu,12:27,2.71,H
2019/11/07,Thu,18:28,0.52,L
2019/11/08,Fri,00:42,2.76,H
2019/11/08,Fri,06:54,0.38,L
2019/11/08,Fri,13:14,2.8,H
2019/11/08,Fri,19:19,0.42,L
2019/11/09,Sat,01:32,2.8,H
2019/11/09,Sat,07:38,0.34,L
2019/11/09,Sat,13:56,2.91,H
2019/11/09,Sat,20:04,0.3,L
2019/11/10,Sun,02:16,2.84,H
2019/11/10,Sun,08:19,0.29,L
2019/11/10,Sun,14:34,3.0,H
2019/11/10,Sun,20:46,0.18,L
2019/11/11,Mon,02:56,2.88,H
2019/11/11,Mon,08:57,0.25,L
2019/11/11,Mon,15:10,3.08,H
2019/11/11,Mon,21:25,0.09,L
2019/11/12,Tue,03:36,2.89,H
2019/11/12,Tue,09:35,0.23,L
2019/11/12,Tue,15:46,3.14,H
2019/11/12,Tue,22:05,0.02,L
2019/11/13,Wed,04:15,2.89,H
2019/11/13,Wed,10:14,0.23,L
2019/11/13,Wed,16:23,3.18,H
2019/11/13,Wed,22:45,-0.03,L
2019/11/14,Thu,04:55,2.87,H
2019/11/14,Thu,10:53,0.24,L
2019/11/14,Thu,17:01,3.2,H
2019/11/14,Thu,23:26,-0.05,L
2019/11/15,Fri,05:37,2.84,H
2019/11/15,Fri,11:35,0.26,L
2019/11/15,Fri,17:42,3.2,H
2019/11/16,Sat,00:09,-0.05,L
2019/11/16,Sat,06:20,2.81,H
2019/11/16,Sat,12:18,0.29,L
2019/11/16,Sat,18:25,3.19,H
2019/11/17,Sun,00:55,-0.03,L
2019/11/17,Sun,07:07,2.78,H
2019/11/17,Sun,13:06,0.33,L
2019/11/17,Sun,19:13,3.16,H
2019/11/18,Mon,01:45,0.01,L
2019/11/18,Mon,07:58,2.76,H
2019/11/18,Mon,13:59,0.36,L
2019/11/18,Mon,20:07,3.11,H
2019/11/19,Tue,02:39,0.04,L
2019/11/19,Tue,08:54,2.77,H
2019/11/19,Tue,14:57,0.37,L
2019/11/19,Tue,21:06,3.06,H
2019/11/20,Wed,03:37,0.05,L
2019/11/20,Wed,09:53,2.82,H
2019/11/20,Wed,16:00,0.33,L
2019/11/20,Wed,22:09,3.03,H
2019/11/21,Thu,04:36,0.04,L
2019/11/21,Thu,10:54,2.92,H
2019/11/21,Thu,17:03,0.24,L
2019/11/21,Thu,23:13,3.03,H
2019/11/22,Fri,05:35,0.01,L
2019/11/22,Fri,11:53,3.06,H
2019/11/22,Fri,18:05,0.1,L
2019/11/23,Sat,00:18,3.06,H
2019/11/23,Sat,06:33,-0.04,L
2019/11/23,Sat,12:51,3.21,H
2019/11/23,Sat,19:06,-0.06,L
2019/11/24,Sun,01:19,3.11,H
2019/11/24,Sun,07:29,-0.09,L
2019/11/24,Sun,13:45,3.37,H
2019/11/24,Sun,20:03,-0.22,L
2019/11/25,Mon,02:16,3.16,H
2019/11/25,Mon,08:22,-0.13,L
2019/11/25,Mon,14:36,3.48,H
2019/11/25,Mon,20:57,-0.35,L
2019/11/26,Tue,03:10,3.17,H
2019/11/26,Tue,09:12,-0.13,L
2019/11/26,Tue,15:25,3.53,H
2019/11/26,Tue,21:48,-0.41,L
2019/11/27,Wed,04:01,3.15,H
2019/11/27,Wed,10:00,-0.09,L
2019/11/27,Wed,16:13,3.52,H
2019/11/27,Wed,22:37,-0.4,L
2019/11/28,Thu,04:52,3.09,H
2019/11/28,Thu,10:48,-0.01,L
2019/11/28,Thu,17:00,3.45,H
2019/11/28,Thu,23:25,-0.33,L
2019/11/29,Fri,05:42,3.0,H
2019/11/29,Fri,11:36,0.1,L
2019/11/29,Fri,17:48,3.34,H
2019/11/30,Sat,00:13,-0.21,L
2019/11/30,Sat,06:30,2.9,H
2019/11/30,Sat,12:24,0.23,L
2019/11/30,Sat,18:36,3.2,H
