Date,Day,Time,Pred,High/Low
2020/01/01,Wed,02:03,0.2,L
2020/01/01,Wed,08:21,2.62,H
2020/01/01,Wed,14:21,0.48,L
2020/01/01,Wed,20:30,2.73,H
2020/01/02,Thu,02:50,0.3,L
2020/01/02,Thu,09:08,2.6,H
2020/01/02,Thu,15:13,0.52,L
2020/01/02,Thu,21:22,2.62,H
2020/01/03,Fri,03:38,0.38,L
2020/01/03,Fri,09:57,2.61,H
2020/01/03,Fri,16:07,0.53,L
2020/01/03,Fri,22:16,2.53,H
2020/01/04,Sat,04:27,0.44,L
2020/01/04,Sat,10:46,2.64,H
2020/01/04,Sat,17:00,0.51,L
2020/01/04,Sat,23:10,2.48,H
2020/01/05,Sun,05:16,0.47,L
2020/01/05,Sun,11:36,2.69,H
2020/01/05,Sun,17:55,0.44,L
2020/01/06,Mon,00:05,2.46,H
2020/01/06,Mon,06:06,0.47,L
2020/01/06,Mon,12:25,2.78,H
2020/01/06,Mon,18:48,0.33,L
2020/01/07,Tue,00:59,2.49,H
2020/01/07,Tue,06:56,0.43,L
2020/01/07,Tue,13:14,2.89,H
2020/01/07,Tue,19:39,0.2,L
2020/01/08,Wed,01:50,2.56,H
2020/01/08,Wed,07:45,0.35,L
2020/01/08,Wed,14:00,3.02,H
2020/01/08,Wed,20:26,0.04,L
2020/01/09,Thu,02:37,2.64,H
2020/01/09,Thu,08:32,0.25,L
2020/01/09,Thu,14:44,3.16,H
2020/01/09,Thu,21:12,-0.11,L
2020/01/10,Fri,03:23,2.73,H
2020/01/10,Fri,09:18,0.15,L
2020/01/10,Fri,15:29,3.28,H
2020/01/10,Fri,21:58,-0.24,L
2020/01/11,Sat,04:08,2.82,H
2020/01/11,Sat,10:04,0.05,L
2020/01/11,Sat,16:15,3.37,H
2020/01/11,Sat,22:44,-0.34,L
2020/01/12,Sun,04:55,2.9,H
2020/01/12,Sun,10:52,-0.03,L
2020/01/12,Sun,17:03,3.42,H
2020/01/12,Sun,23:30,-0.4,L
2020/01/13,Mon,05:42,2.98,H
2020/01/13,Mon,11:42,-0.09,L
2020/01/13,Mon,17:52,3.43,H
2020/01/14,Tue,00:18,-0.41,L
2020/01/14,Tue,06:31,3.04,H
2020/01/14,Tue,12:33,-0.1,L
2020/01/14,Tue,18:44,3.37,H
2020/01/15,Wed,01:07,-0.37,L
2020/01/15,Wed,07:21,3.07,H
2020/01/15,Wed,13:26,-0.09,L
2020/01/15,Wed,19:37,3.26,H
2020/01/16,Thu,01:59,-0.29,L
2020/01/16,Thu,08:14,3.09,H
2020/01/16,Thu,14:23,-0.05,L
2020/01/16,Thu,20:34,3.11,H
2020/01/17,Fri,02:53,-0.17,L
2020/01/17,Fri,09:10,3.09,H
2020/01/17,Fri,15:24,-0.01,L
2020/01/17,Fri,21:35,2.96,H
2020/01/18,Sat,03:50,-0.05,L
2020/01/18,Sat,10:09,3.08,H
2020/01/18,Sat,16:27,0.02,L
2020/01/18,Sat,22:39,2.82,H
2020/01/19,Sun,04:48,0.06,L
2020/01/19,Sun,11:08,3.08,H
2020/01/19,Sun,17:30,0.03,L
2020/01/19,Sun,23:45,2.73,H
2020/01/20,Mon,05:47,0.15,L
2020/01/20,Mon,12:09,3.08,H
2020/01/20,Mon,18:34,0.0,L
2020/01/21,Tue,00:51,2.69,H
2020/01/21,Tue,06:47,0.2,L
2020/01/21,Tue,13:09,3.11,H
2020/01/21,Tue,19:36,-0.04,L
2020/01/22,Wed,01:53,2.7,H
2020/01/22,Wed,07:45,0.2,L
2020/01/22,Wed,14:05,3.14,H
2020/01/22,Wed,20:31,-0.1,L
2020/01/23,Thu,02:47,2.73,H
2020/01/23,Thu,08:37,0.19,L
2020/01/23,Thu,14:55,3.16,H
2020/01/23,Thu,21:21,-0.13,L
2020/01/24,Fri,03:36,2.75,H
2020/01/24,Fri,09:25,0.17,L
2020/01/24,Fri,15:41,3.16,H
2020/01/24,Fri,22:06,-0.14,L
2020/01/25,Sat,04:21,2.76,H
2020/01/25,Sat,10:11,0.16,L
2020/01/25,Sat,16:25,3.14,H
2020/01/25,Sat,22:48,-0.12,L
2020/01/26,Sun,05:03,2.76,H
2020/01/26,Sun,10:54,0.17,L
2020/01/26,Sun,17:07,3.1,H
2020/01/26,Sun,23:28,-0.08,L
2020/01/27,Mon,05:43,2.75,H
2020/01/27,Mon,11:36,0.19,L
2020/01/27,Mon,17:48,3.04,H
2020/01/28,Tue,00:07,-0.02,L
2020/01/28,Tue,06:21,2.74,H
2020/01/28,Tue,12:18,0.23,L
2020/01/28,Tue,18:29,2.96,H
2020/01/29,Wed,00:46,0.06,L
2020/01/29,Wed,07:00,2.73,H
2020/01/29,Wed,13:00,0.28,L
2020/01/29,Wed,19:10,2.85,H
2020/01/30,Thu,01:26,0.15,L
2020/01/30,Thu,07:39,2.7,H
2020/01/30,Thu,13:45,0.34,L
2020/01/30,Thu,19:54,2.73,H
2020/01/31,Fri,02:07,0.25,L
2020/01/31,Fri,08:22,2.68,H
2020/01/31,Fri,14:32,0.39,L
2020/01/31,Fri,20:40,2.61,H
