Date,Day,Time,Pred,High/Low
2020/03/01,Sun,02:11,0.36,L
2020/03/01,Sun,08:22,2.75,H
2020/03/01,Sun,14:42,0.33,L
2020/03/01,Sun,20:52,2.52,H
2020/03/02,Mon,02:57,0.46,L
2020/03/02,Mon,09:08,2.72,H
2020/03/02,Mon,15:34,0.37,L
2020/03/02,Mon,21:44,2.43,H
2020/03/03,Tue,03:48,0.52,L
2020/03/03,Tue,10:00,2.72,H
2020/03/03,Tue,16:30,0.37,L
2020/03/03,Tue,22:40,2.39,H
2020/03/04,Wed,04:42,0.53,L
2020/03/04,Wed,10:55,2.76,H
2020/03/04,Wed,17:28,0.32,L
2020/03/04,Wed,23:40,2.42,H
2020/03/05,Thu,05:40,0.48,L
2020/03/05,Thu,11:54,2.86,H
2020/03/05,Thu,18:27,0.2,L
2020/03/06,Fri,00:40,2.52,H
2020/03/06,Fri,06:39,0.36,L
2020/03/06,Fri,12:54,3.01,H
2020/03/06,Fri,19:24,0.04,L
2020/03/07,Sat,01:36,2.69,H
2020/03/07,Sat,07:37,0.17,L
2020/03/07,Sat,13:50,3.19,H
2020/03/07,Sat,20:18,-0.16,L
2020/03/08,Sun,02:28,2.89,H
2020/03/08,Sun,08:31,-0.04,L
2020/03/08,Sun,14:44,3.36,H
2020/03/08,Sun,21:08,-0.34,L
2020/03/09,Mon,03:18,3.1,H
2020/03/09,Mon,09:23,-0.25,L
2020/03/09,Mon,15:35,3.49,H
2020/03/09,Mon,21:56,-0.47,L
2020/03/10,Tue,04:06,3.29,H
2020/03/10,Tue,10:14,-0.42,L
2020/03/10,Tue,16:27,3.55,H
2020/03/10,Tue,22:44,-0.53,L
2020/03/11,Wed,04:55,3.42,H
2020/03/11,Wed,11:06,-0.52,L
2020/03/11,Wed,17:18,3.53,H
2020/03/11,Wed,23:32,-0.52,L
2020/03/12,Thu,05:44,3.48,H
2020/03/12,Thu,11:57,-0.53,L
2020/03/12,Thu,18:10,3.44,H
2020/03/13,Fri,00:21,-0.42,L
2020/03/13,Fri,06:33,3.48,H
2020/03/13,Fri,12:49,-0.47,L
2020/03/13,Fri,19:03,3.28,H
2020/03/14,Sat,01:11,-0.26,L
2020/03/14,Sat,07:24,3.39,H
2020/03/14,Sat,13:44,-0.33,L
2020/03/14,Sat,19:59,3.08,H
2020/03/15,Sun,02:04,-0.06,L
2020/03/15,Sun,08:19,3.25,H
2020/03/15,Sun,14:42,-0.15,L
2020/03/15,Sun,20:59,2.87,H
2020/03/16,Mon,03:01,0.15,L
2020/03/16,Mon,09:18,3.1,H
2020/03/16,Mon,15:44,0.01,L
2020/03/16,Mon,22:03,2.7,H
2020/03/17,Tue,04:02,0.32,L
2020/03/17,Tue,10:21,2.96,H
2020/03/17,Tue,16:49,0.15,L
2020/03/17,Tue,23:11,2.59,H
2020/03/18,Wed,05:05,0.43,L
2020/03/18,Wed,11:27,2.87,H
2020/03/18,Wed,17:56,0.22,L
2020/03/19,Thu,00:19,2.56,H
2020/03/19,Thu,06:10,0.47,L
2020/03/19,Thu,12:34,2.84,H
2020/03/19,Thu,19:01,0.23,L
2020/03/20,Fri,01:22,2.6,H
2020/03/20,Fri,07:12,0.43,L
2020/03/20,Fri,13:34,2.87,H
2020/03/20,Fri,19:57,0.2,L
2020/03/21,Sat,02:14,2.67,H
2020/03/21,Sat,08:06,0.35,L
2020/03/21,Sat,14:25,2.91,H
2020/03/21,Sat,20:42,0.16,L
2020/03/22,Sun,02:57,2.75,H
2020/03/22,Sun,08:52,0.26,L
2020/03/22,Sun,15:08,2.95,H
2020/03/22,Sun,21:21,0.12,L
2020/03/23,Mon,03:35,2.82,H
2020/03/23,Mon,09:33,0.18,L
2020/03/23,Mon,15:47,2.98,H
2020/03/23,Mon,21:57,0.11,L
2020/03/24,Tue,04:09,2.88,H
2020/03/24,Tue,10:11,0.12,L
2020/03/24,Tue,16:24,2.98,H
2020/03/24,Tue,22:31,0.11,L
2020/03/25,Wed,04:43,2.92,H
2020/03/25,Wed,10:49,0.09,L
2020/03/25,Wed,17:01,2.95,H
2020/03/25,Wed,23:06,0.13,L
2020/03/26,Thu,05:17,2.95,H
2020/03/26,Thu,11:26,0.08,L
2020/03/26,Thu,17:38,2.91,H
2020/03/26,Thu,23:41,0.18,L
2020/03/27,Fri,05:51,2.95,H
2020/03/27,Fri,12:04,0.1,L
2020/03/27,Fri,18:15,2.84,H
2020/03/28,Sat,00:18,0.25,L
2020/03/28,Sat,06:26,2.93,H
2020/03/28,Sat,12:43,0.14,L
2020/03/28,Sat,18:54,2.75,H
2020/03/29,Sun,00:56,0.33,L
2020/03/29,Sun,07:03,2.9,H
2020/03/29,Sun,13:24,0.19,L
2020/03/29,Sun,19:35,2.66,H
2020/03/30,Mon,01:36,0.42,L
2020/03/30,Mon,07:44,2.86,H
2020/03/30,Mon,14:10,0.25,L
2020/03/30,Mon,20:21,2.57,H
2020/03/31,Tue,02:22,0.49,L
2020/03/31,Tue,08:31,2.83,H
2020/03/31,Tue,15:01,0.3,L
2020/03/31,Tue,21:12,2.5,H
