Date,Day,Time,Pred,High/Low
2020/09/01,Tue,03:04,3.16,H
2020/09/01,Tue,09:24,0.05,L
2020/09/01,Tue,15:39,2.88,H
2020/09/01,Tue,21:33,0.24,L
2020/09/02,Wed,03:48,3.15,H
2020/09/02,Wed,10:05,0.05,L
2020/09/02,Wed,16:19,2.92,H
2020/09/02,Wed,22:16,0.21,L
2020/09/03,Thu,04:30,3.13,H
2020/09/03,Thu,10:43,0.08,L
2020/09/03,Thu,16:57,2.94,H
2020/09/03,Thu,22:57,0.2,L
2020/09/04,Fri,05:10,3.08,H
2020/09/04,Fri,11:21,0.13,L
2020/09/04,Fri,17:33,2.95,H
2020/09/04,Fri,23:37,0.21,L
2020/09/05,Sat,05:49,3.01,H
2020/09/05,Sat,11:58,0.2,L
2020/09/05,Sat,18:10,2.94,H
2020/09/06,Sun,00:18,0.24,L
2020/09/06,Sun,06:28,2.92,H
2020/09/06,Sun,12:35,0.28,L
2020/09/06,Sun,18:47,2.92,H
2020/09/07,Mon,00:59,0.29,L
2020/09/07,Mon,07:09,2.82,H
2020/09/07,Mon,13:15,0.38,L
2020/09/07,Mon,19:26,2.89,H
2020/09/08,Tue,01:42,0.35,L
2020/09/08,Tue,07:53,2.71,H
2020/09/08,Tue,13:56,0.48,L
2020/09/08,Tue,20:08,2.84,H
2020/09/09,Wed,02:29,0.41,L
2020/09/09,Wed,08:40,2.6,H
2020/09/09,Wed,14:42,0.57,L
2020/09/09,Wed,20:54,2.8,H
2020/09/10,Thu,03:20,0.46,L
2020/09/10,Thu,09:31,2.51,H
2020/09/10,Thu,15:32,0.64,L
2020/09/10,Thu,21:44,2.79,H
2020/09/11,Fri,04:13,0.48,L
2020/09/11,Fri,10:26,2.47,H
2020/09/11,Fri,16:25,0.66,L
2020/09/11,Fri,22:38,2.81,H
2020/09/12,Sat,05:09,0.44,L
2020/09/12,Sat,11:22,2.48,H
2020/09/12,Sat,17:20,0.63,L
2020/09/12,Sat,23:34,2.88,H
2020/09/13,Sun,06:05,0.36,L
2020/09/13,Sun,12:19,2.56,H
2020/09/13,Sun,18:17,0.53,L
2020/09/14,Mon,00:31,2.99,H
2020/09/14,Mon,07:01,0.22,L
2020/09/14,Mon,13:14,2.7,H
2020/09/14,Mon,19:13,0.37,L
2020/09/15,Tue,01:26,3.15,H
2020/09/15,Tue,07:53,0.05,L
2020/09/15,Tue,14:05,2.89,H
2020/09/15,Tue,20:07,0.17,L
2020/09/16,Wed,02:19,3.31,H
2020/09/16,Wed,08:42,-0.12,L
2020/09/16,Wed,14:52,3.1,H
2020/09/16,Wed,20:58,-0.05,L
2020/09/17,Thu,03:09,3.44,H
2020/09/17,Thu,09:29,-0.26,L
2020/09/17,Thu,15:39,3.29,H
2020/09/17,Thu,21:48,-0.23,L
2020/09/18,Fri,03:59,3.52,H
2020/09/18,Fri,10:17,-0.35,L
2020/09/18,Fri,16:27,3.44,H
2020/09/18,Fri,22:39,-0.36,L
2020/09/19,Sat,04:50,3.53,H
2020/09/19,Sat,11:04,-0.37,L
2020/09/19,Sat,17:15,3.54,H
2020/09/19,Sat,23:30,-0.42,L
2020/09/20,Sun,05:42,3.47,H
2020/09/20,Sun,11:53,-0.31,L
2020/09/20,Sun,18:05,3.57,H
2020/09/21,Mon,00:22,-0.4,L
2020/09/21,Mon,06:36,3.35,H
2020/09/21,Mon,12:43,-0.2,L
2020/09/21,Mon,18:56,3.52,H
2020/09/22,Tue,01:16,-0.31,L
2020/09/22,Tue,07:31,3.19,H
2020/09/22,Tue,13:35,-0.03,L
2020/09/22,Tue,19:50,3.42,H
2020/09/23,Wed,02:14,-0.17,L
2020/09/23,Wed,08:30,3.01,H
2020/09/23,Wed,14:32,0.15,L
2020/09/23,Wed,20:48,3.28,H
2020/09/24,Thu,03:15,-0.02,L
2020/09/24,Thu,09:34,2.86,H
2020/09/24,Thu,15:33,0.31,L
2020/09/24,Thu,21:51,3.15,H
2020/09/25,Fri,04:19,0.1,L
2020/09/25,Fri,10:41,2.75,H
2020/09/25,Fri,16:36,0.42,L
2020/09/25,Fri,22:57,3.05,H
2020/09/26,Sat,05:24,0.18,L
2020/09/26,Sat,11:48,2.72,H
2020/09/26,Sat,17:40,0.46,L
2020/09/27,Sun,00:03,3.0,H
2020/09/27,Sun,06:29,0.21,L
2020/09/27,Sun,12:52,2.74,H
2020/09/27,Sun,18:44,0.44,L
2020/09/28,Mon,01:05,3.0,H
2020/09/28,Mon,07:28,0.2,L
2020/09/28,Mon,13:47,2.81,H
2020/09/28,Mon,19:41,0.38,L
2020/09/29,Tue,02:00,3.02,H
2020/09/29,Tue,08:17,0.17,L
2020/09/29,Tue,14:34,2.88,H
2020/09/29,Tue,20:30,0.3,L
2020/09/30,Wed,02:46,3.04,H
2020/09/30,Wed,08:59,0.16,L
2020/09/30,Wed,15:14,2.94,H
2020/09/30,Wed,21:14,0.23,L
