Date,Day,Time,Pred,High/Low
2021/08/01,Sun,04:09,0.46,L
2021/08/01,Sun,10:20,2.59,H
2021/08/01,Sun,16:22,0.56,L
2021/08/01,Sun,22:41,2.81,H
2021/08/02,Mon,05:04,0.49,L
2021/08/02,Mon,11:16,2.5,H
2021/08/02,Mon,17:13,0.63,L
2021/08/02,Mon,23:33,2.8,H
2021/08/03,Tue,05:59,0.48,L
2021/08/03,Tue,12:12,2.47,H
2021/08/03,Tue,18:05,0.66,L
2021/08/04,Wed,00:25,2.82,H
2021/08/04,Wed,06:54,0.44,L
2021/08/04,Wed,13:08,2.48,H
2021/08/04,Wed,18:57,0.65,L
2021/08/05,Thu,01:17,2.88,H
2021/08/05,Thu,07:45,0.37,L
2021/08/05,Thu,13:59,2.53,H
2021/08/05,Thu,19:47,0.59,L
2021/08/06,Fri,02:04,2.96,H
2021/08/06,Fri,08:31,0.28,L
2021/08/06,Fri,14:45,2.6,H
2021/08/06,Fri,20:33,0.51,L
2021/08/07,Sat,02:48,3.04,H
2021/08/07,Sat,09:14,0.18,L
2021/08/07,Sat,15:27,2.67,H
2021/08/07,Sat,21:17,0.42,L
2021/08/08,Sun,03:31,3.12,H
2021/08/08,Sun,09:55,0.08,L
2021/08/08,Sun,16:08,2.76,H
2021/08/08,Sun,22:00,0.33,L
2021/08/09,Mon,04:12,3.19,H
2021/08/09,Mon,10:35,0.0,L
2021/08/09,Mon,16:48,2.85,H
2021/08/09,Mon,22:43,0.24,L
2021/08/10,Tue,04:54,3.23,H
2021/08/10,Tue,11:16,-0.06,L
2021/08/10,Tue,17:28,2.95,H
2021/08/10,Tue,23:27,0.15,L
2021/08/11,Wed,05:37,3.25,H
2021/08/11,Wed,11:57,-0.09,L
2021/08/11,Wed,18:09,3.04,H
2021/08/12,Thu,00:12,0.09,L
2021/08/12,Thu,06:22,3.23,H
2021/08/12,Thu,12:39,-0.09,L
2021/08/12,Thu,18:51,3.12,H
2021/08/13,Fri,01:00,0.05,L
2021/08/13,Fri,07:08,3.17,H
2021/08/13,Fri,13:24,-0.05,L
2021/08/13,Fri,19:36,3.18,H
2021/08/14,Sat,01:50,0.03,L
2021/08/14,Sat,07:58,3.08,H
2021/08/14,Sat,14:12,0.02,L
2021/08/14,Sat,20:24,3.21,H
2021/08/15,Sun,02:45,0.04,L
2021/08/15,Sun,08:53,2.97,H
2021/08/15,Sun,15:04,0.11,L
2021/08/15,Sun,21:18,3.23,H
2021/08/16,Mon,03:44,0.06,L
2021/08/16,Mon,09:53,2.86,H
2021/08/16,Mon,16:01,0.2,L
2021/08/16,Mon,22:15,3.22,H
2021/08/17,Tue,04:45,0.07,L
2021/08/17,Tue,10:55,2.78,H
2021/08/17,Tue,17:00,0.26,L
2021/08/17,Tue,23:16,3.23,H
2021/08/18,Wed,05:48,0.05,L
2021/08/18,Wed,12:01,2.75,H
2021/08/18,Wed,18:02,0.29,L
2021/08/19,Thu,00:19,3.25,H
2021/08/19,Thu,06:51,0.01,L
2021/08/19,Thu,13:07,2.78,H
2021/08/19,Thu,19:04,0.27,L
2021/08/20,Fri,01:22,3.29,H
2021/08/20,Fri,07:53,-0.06,L
2021/08/20,Fri,14:08,2.85,H
2021/08/20,Fri,20:04,0.2,L
2021/08/21,Sat,02:21,3.34,H
2021/08/21,Sat,08:48,-0.12,L
2021/08/21,Sat,15:04,2.94,H
2021/08/21,Sat,20:59,0.13,L
2021/08/22,Sun,03:15,3.37,H
2021/08/22,Sun,09:39,-0.16,L
2021/08/22,Sun,15:55,3.0,H
2021/08/22,Sun,21:51,0.07,L
2021/08/23,Mon,04:06,3.35,H
2021/08/23,Mon,10:27,-0.15,L
2021/08/23,Mon,16:42,3.05,H
2021/08/23,Mon,22:40,0.05,L
2021/08/24,Tue,04:55,3.3,H
2021/08/24,Tue,11:12,-0.1,L
2021/08/24,Tue,17:27,3.06,H
2021/08/24,Tue,23:28,0.07,L
2021/08/25,Wed,05:42,3.21,H
2021/08/25,Wed,11:55,-0.01,L
2021/08/25,Wed,18:09,3.05,H
2021/08/26,Thu,00:13,0.11,L
2021/08/26,Thu,06:27,3.09,H
2021/08/26,Thu,12:36,0.12,L
2021/08/26,Thu,18:51,3.01,H
2021/08/27,Fri,00:59,0.19,L
2021/08/27,Fri,07:11,2.95,H
2021/08/27,Fri,13:19,0.26,L
2021/08/27,Fri,19:32,2.95,H
2021/08/28,Sat,01:46,0.28,L
2021/08/28,Sat,07:58,2.79,H
2021/08/28,Sat,14:02,0.4,L
2021/08/28,Sat,20:16,2.88,H
2021/08/29,Sun,02:35,0.38,L
2021/08/29,Sun,08:47,2.65,H
2021/08/29,Sun,14:49,0.54,L
2021/08/29,Sun,21:04,2.81,H
2021/08/30,Mon,03:27,0.46,L
2021/08/30,Mon,09:40,2.53,H
2021/08/30,Mon,15:39,0.64,L
2021/08/30,Mon,21:55,2.76,H
2021/08/31,Tue,04:21,0.51,L
2021/08/31,Tue,10:35,2.45,H
2021/08/31,Tue,16:31,0.71,L
2021/08/31,Tue,22:48,2.74,H
