Date,Day,Time,Pred,High/Low
2021/06/01,Tue,02:20,0.33,L
2021/06/01,Tue,08:36,3.14,H
2021/06/01,Tue,15:01,0.06,L
2021/06/01,Tue,21:25,2.85,H
2021/06/02,Wed,03:22,0.42,L
2021/06/02,Wed,09:38,2.98,H
2021/06/02,Wed,16:00,0.2,L
2021/06/02,Wed,22:25,2.83,H
2021/06/03,Thu,04:25,0.47,L
2021/06/03,Thu,10:40,2.85,H
2021/06/03,Thu,16:56,0.3,L
2021/06/03,Thu,23:21,2.83,H
2021/06/04,Fri,05:26,0.47,L
2021/06/04,Fri,11:41,2.76,H
2021/06/04,Fri,17:51,0.38,L
2021/06/05,Sat,00:15,2.86,H
2021/06/05,Sat,06:26,0.43,L
2021/06/05,Sat,12:39,2.72,H
2021/06/05,Sat,18:42,0.43,L
2021/06/06,Sun,01:04,2.91,H
2021/06/06,Sun,07:20,0.36,L
2021/06/06,Sun,13:33,2.7,H
2021/06/06,Sun,19:30,0.46,L
2021/06/07,Mon,01:49,2.96,H
2021/06/07,Mon,08:08,0.29,L
2021/06/07,Mon,14:20,2.7,H
2021/06/07,Mon,20:13,0.47,L
2021/06/08,Tue,02:29,3.01,H
2021/06/08,Tue,08:50,0.22,L
2021/06/08,Tue,15:02,2.71,H
2021/06/08,Tue,20:53,0.47,L
2021/06/09,Wed,03:07,3.05,H
2021/06/09,Wed,09:30,0.17,L
2021/06/09,Wed,15:43,2.71,H
2021/06/09,Wed,21:33,0.47,L
2021/06/10,Thu,03:45,3.07,H
2021/06/10,Thu,10:10,0.14,L
2021/06/10,Thu,16:23,2.71,H
2021/06/10,Thu,22:12,0.48,L
2021/06/11,Fri,04:23,3.08,H
2021/06/11,Fri,10:49,0.13,L
2021/06/11,Fri,17:03,2.7,H
2021/06/11,Fri,22:52,0.49,L
2021/06/12,Sat,05:02,3.07,H
2021/06/12,Sat,11:28,0.12,L
2021/06/12,Sat,17:43,2.69,H
2021/06/12,Sat,23:32,0.5,L
2021/06/13,Sun,05:42,3.06,H
2021/06/13,Sun,12:08,0.13,L
2021/06/13,Sun,18:24,2.68,H
2021/06/14,Mon,00:14,0.51,L
2021/06/14,Mon,06:23,3.05,H
2021/06/14,Mon,12:50,0.14,L
2021/06/14,Mon,19:05,2.68,H
2021/06/15,Tue,00:58,0.52,L
2021/06/15,Tue,07:05,3.03,H
2021/06/15,Tue,13:33,0.15,L
2021/06/15,Tue,19:48,2.71,H
2021/06/16,Wed,01:44,0.51,L
2021/06/16,Wed,07:52,3.0,H
2021/06/16,Wed,14:19,0.16,L
2021/06/16,Wed,20:34,2.76,H
2021/06/17,Thu,02:36,0.47,L
2021/06/17,Thu,08:42,2.98,H
2021/06/17,Thu,15:08,0.16,L
2021/06/17,Thu,21:23,2.85,H
2021/06/18,Fri,03:30,0.4,L
2021/06/18,Fri,09:37,2.96,H
2021/06/18,Fri,15:59,0.15,L
2021/06/18,Fri,22:14,2.96,H
2021/06/19,Sat,04:27,0.3,L
2021/06/19,Sat,10:34,2.94,H
2021/06/19,Sat,16:52,0.14,L
2021/06/19,Sat,23:06,3.1,H
2021/06/20,Sun,05:25,0.17,L
2021/06/20,Sun,11:33,2.94,H
2021/06/20,Sun,17:46,0.12,L
2021/06/21,Mon,00:00,3.25,H
2021/06/21,Mon,06:25,0.02,L
2021/06/21,Mon,12:33,2.97,H
2021/06/21,Mon,18:42,0.08,L
2021/06/22,Tue,00:55,3.4,H
2021/06/22,Tue,07:24,-0.14,L
2021/06/22,Tue,13:33,3.01,H
2021/06/22,Tue,19:38,0.04,L
2021/06/23,Wed,01:50,3.53,H
2021/06/23,Wed,08:20,-0.29,L
2021/06/23,Wed,14:31,3.06,H
2021/06/23,Wed,20:33,0.0,L
2021/06/24,Thu,02:44,3.62,H
2021/06/24,Thu,09:15,-0.39,L
2021/06/24,Thu,15:27,3.09,H
2021/06/24,Thu,21:26,-0.02,L
2021/06/25,Fri,03:38,3.65,H
2021/06/25,Fri,10:09,-0.43,L
2021/06/25,Fri,16:23,3.1,H
2021/06/25,Fri,22:20,-0.01,L
2021/06/26,Sat,04:33,3.62,H
2021/06/26,Sat,11:03,-0.41,L
2021/06/26,Sat,17:19,3.08,H
2021/06/26,Sat,23:14,0.03,L
2021/06/27,Sun,05:28,3.55,H
2021/06/27,Sun,11:55,-0.33,L
2021/06/27,Sun,18:13,3.05,H
2021/06/28,Mon,00:08,0.1,L
2021/06/28,Mon,06:22,3.43,H
2021/06/28,Mon,12:47,-0.22,L
2021/06/28,Mon,19:07,3.0,H
2021/06/29,Tue,01:02,0.2,L
2021/06/29,Tue,07:16,3.27,H
2021/06/29,Tue,13:39,-0.07,L
2021/06/29,Tue,20:00,2.95,H
2021/06/30,Wed,01:57,0.29,L
2021/06/30,Wed,08:11,3.1,H
2021/06/30,Wed,14:31,0.09,L
2021/06/30,Wed,20:54,2.9,H
