Date,Day,Time,Pred,High/Low
1/1/2019,Tue,5:59:00 AM,0.14,L
1/1/2019,Tue,12:23:00 PM,3.05,H
1/1/2019,Tue,6:42:00 PM,0.08,L
1/2/2019,Wed,12:59:00 AM,2.75,H
1/2/2019,Wed,6:56:00 AM,0.2,L
1/2/2019,Wed,1:19:00 PM,3.08,H
1/2/2019,Wed,7:40:00 PM,0.02,L
1/3/2019,Thu,1:56:00 AM,2.73,H
1/3/2019,Thu,7:49:00 AM,0.22,L
1/3/2019,Thu,2:09:00 PM,3.11,H
1/3/2019,Thu,8:32:00 PM,-0.03,L
1/4/2019,Fri,2:46:00 AM,2.73,H
1/4/2019,Fri,8:37:00 AM,0.23,L
1/4/2019,Fri,2:54:00 PM,3.12,H
1/4/2019,Fri,9:17:00 PM,-0.06,L
1/5/2019,Sat,3:32:00 AM,2.73,H
1/5/2019,Sat,9:21:00 AM,0.24,L
1/5/2019,Sat,3:35:00 PM,3.12,H
1/5/2019,Sat,9:59:00 PM,-0.07,L
1/6/2019,Sun,4:13:00 AM,2.73,H
1/6/2019,Sun,10:03:00 AM,0.25,L
1/6/2019,Sun,4:16:00 PM,3.1,H
1/6/2019,Sun,10:39:00 PM,-0.06,L
1/7/2019,Mon,4:54:00 AM,2.71,H
1/7/2019,Mon,10:43:00 AM,0.26,L
1/7/2019,Mon,4:55:00 PM,3.08,H
1/7/2019,Mon,11:18:00 PM,-0.03,L
1/8/2019,Tue,5:33:00 AM,2.7,H
1/8/2019,Tue,11:24:00 AM,0.28,L
1/8/2019,Tue,5:35:00 PM,3.04,H
1/8/2019,Tue,11:57:00 PM,0.01,L
1/9/2019,Wed,6:11:00 AM,2.69,H
1/9/2019,Wed,12:05:00 PM,0.31,L
1/9/2019,Wed,6:15:00 PM,2.98,H
1/10/2019,Thu,12:36:00 AM,0.06,L
1/10/2019,Thu,6:50:00 AM,2.67,H
1/10/2019,Thu,12:46:00 PM,0.35,L
1/10/2019,Thu,6:55:00 PM,2.9,H
1/11/2019,Fri,1:15:00 AM,0.12,L
1/11/2019,Fri,7:30:00 AM,2.66,H
1/11/2019,Fri,1:30:00 PM,0.39,L
1/11/2019,Fri,7:38:00 PM,2.81,H
1/12/2019,Sat,1:57:00 AM,0.19,L
1/12/2019,Sat,8:12:00 AM,2.65,H
1/12/2019,Sat,2:16:00 PM,0.43,L
1/12/2019,Sat,8:24:00 PM,2.72,H
1/13/2019,Sun,2:41:00 AM,0.25,L
1/13/2019,Sun,8:57:00 AM,2.66,H
1/13/2019,Sun,3:06:00 PM,0.44,L
1/13/2019,Sun,9:13:00 PM,2.64,H
1/14/2019,Mon,3:28:00 AM,0.31,L
1/14/2019,Mon,9:43:00 AM,2.69,H
1/14/2019,Mon,3:58:00 PM,0.42,L
1/14/2019,Mon,10:05:00 PM,2.58,H
1/15/2019,Tue,4:17:00 AM,0.34,L
1/15/2019,Tue,10:32:00 AM,2.75,H
1/15/2019,Tue,4:53:00 PM,0.36,L
1/15/2019,Tue,11:00:00 PM,2.55,H
1/16/2019,Wed,5:09:00 AM,0.34,L
1/16/2019,Wed,11:24:00 AM,2.84,H
1/16/2019,Wed,5:49:00 PM,0.25,L
1/16/2019,Wed,11:57:00 PM,2.57,H
1/17/2019,Thu,6:02:00 AM,0.3,L
1/17/2019,Thu,12:17:00 PM,2.98,H
1/17/2019,Thu,6:46:00 PM,0.1,L
1/18/2019,Fri,12:55:00 AM,2.64,H
1/18/2019,Fri,6:58:00 AM,0.21,L
1/18/2019,Fri,1:11:00 PM,3.14,H
1/18/2019,Fri,7:42:00 PM,-0.08,L
1/19/2019,Sat,1:51:00 AM,2.75,H
1/19/2019,Sat,7:52:00 AM,0.08,L
1/19/2019,Sat,2:05:00 PM,3.31,H
1/19/2019,Sat,8:35:00 PM,-0.28,L
1/20/2019,Sun,2:44:00 AM,2.88,H
1/20/2019,Sun,8:45:00 AM,-0.06,L
1/20/2019,Sun,2:57:00 PM,3.47,H
1/20/2019,Sun,9:27:00 PM,-0.44,L
1/21/2019,Mon,3:37:00 AM,3,H
1/21/2019,Mon,9:38:00 AM,-0.18,L
1/21/2019,Mon,3:49:00 PM,3.57,H
1/21/2019,Mon,10:18:00 PM,-0.56,L
1/22/2019,Tue,4:29:00 AM,3.11,H
1/22/2019,Tue,10:30:00 AM,-0.28,L
1/22/2019,Tue,4:42:00 PM,3.62,H
1/22/2019,Tue,11:09:00 PM,-0.61,L
1/23/2019,Wed,5:22:00 AM,3.19,H
1/23/2019,Wed,11:23:00 AM,-0.32,L
1/23/2019,Wed,5:36:00 PM,3.59,H
1/23/2019,Wed,11:59:00 PM,-0.59,L
1/24/2019,Thu,6:14:00 AM,3.23,H
1/24/2019,Thu,12:17:00 PM,-0.31,L
1/24/2019,Thu,6:30:00 PM,3.5,H
1/25/2019,Fri,12:51:00 AM,-0.51,L
1/25/2019,Fri,7:07:00 AM,3.22,H
1/25/2019,Fri,1:12:00 PM,-0.24,L
1/25/2019,Fri,7:25:00 PM,3.34,H
1/26/2019,Sat,1:43:00 AM,-0.36,L
1/26/2019,Sat,8:01:00 AM,3.18,H
1/26/2019,Sat,2:09:00 PM,-0.14,L
1/26/2019,Sat,8:23:00 PM,3.14,H
1/27/2019,Sun,2:37:00 AM,-0.19,L
1/27/2019,Sun,8:57:00 AM,3.11,H
1/27/2019,Sun,3:09:00 PM,-0.03,L
1/27/2019,Sun,9:24:00 PM,2.94,H
1/28/2019,Mon,3:34:00 AM,-0.01,L
1/28/2019,Mon,9:56:00 AM,3.03,H
1/28/2019,Mon,4:11:00 PM,0.07,L
1/28/2019,Mon,10:27:00 PM,2.76,H
1/29/2019,Tue,4:32:00 AM,0.15,L
1/29/2019,Tue,10:55:00 AM,2.97,H
1/29/2019,Tue,5:15:00 PM,0.13,L
1/29/2019,Tue,11:32:00 PM,2.64,H
1/30/2019,Wed,5:31:00 AM,0.28,L
1/30/2019,Wed,11:55:00 AM,2.92,H
1/30/2019,Wed,6:19:00 PM,0.16,L
1/31/2019,Thu,12:37:00 AM,2.58,H
1/31/2019,Thu,6:30:00 AM,0.34,L
1/31/2019,Thu,12:54:00 PM,2.92,H
1/31/2019,Thu,7:20:00 PM,0.14,L
2/1/2019,Fri,1:37:00 AM,2.57,H
2/1/2019,Fri,7:26:00 AM,0.36,L
2/1/2019,Fri,1:48:00 PM,2.94,H
2/1/2019,Fri,8:14:00 PM,0.1,L
2/2/2019,Sat,2:28:00 AM,2.6,H
2/2/2019,Sat,8:16:00 AM,0.33,L
2/2/2019,Sat,2:35:00 PM,2.97,H
2/2/2019,Sat,8:59:00 PM,0.05,L
2/3/2019,Sun,3:13:00 AM,2.64,H
2/3/2019,Sun,9:01:00 AM,0.29,L
2/3/2019,Sun,3:17:00 PM,3.01,H
2/3/2019,Sun,9:40:00 PM,0.02,L
2/4/2019,Mon,3:53:00 AM,2.67,H
2/4/2019,Mon,9:42:00 AM,0.25,L
2/4/2019,Mon,3:57:00 PM,3.03,H
2/4/2019,Mon,10:17:00 PM,-0.01,L
2/5/2019,Tue,4:31:00 AM,2.71,H
2/5/2019,Tue,10:22:00 AM,0.22,L
2/5/2019,Tue,4:35:00 PM,3.03,H
2/5/2019,Tue,10:54:00 PM,-0.01,L
2/6/2019,Wed,5:07:00 AM,2.73,H
2/6/2019,Wed,11:01:00 AM,0.2,L
2/6/2019,Wed,5:13:00 PM,3.02,H
2/6/2019,Wed,11:30:00 PM,-0.01,L
2/7/2019,Thu,5:43:00 AM,2.75,H
2/7/2019,Thu,11:40:00 AM,0.19,L
2/7/2019,Thu,5:51:00 PM,2.98,H
2/8/2019,Fri,12:06:00 AM,0.02,L
2/8/2019,Fri,6:19:00 AM,2.77,H
2/8/2019,Fri,12:19:00 PM,0.2,L
2/8/2019,Fri,6:29:00 PM,2.92,H
2/9/2019,Sat,12:43:00 AM,0.06,L
2/9/2019,Sat,6:55:00 AM,2.77,H
2/9/2019,Sat,1:00:00 PM,0.23,L
2/9/2019,Sat,7:08:00 PM,2.85,H
2/10/2019,Sun,1:22:00 AM,0.13,L
2/10/2019,Sun,7:33:00 AM,2.77,H
2/10/2019,Sun,1:43:00 PM,0.25,L
2/10/2019,Sun,7:50:00 PM,2.76,H
2/11/2019,Mon,2:03:00 AM,0.2,L
2/11/2019,Mon,8:14:00 AM,2.77,H
2/11/2019,Mon,2:29:00 PM,0.28,L
2/11/2019,Mon,8:36:00 PM,2.66,H
2/12/2019,Tue,2:48:00 AM,0.27,L
2/12/2019,Tue,8:59:00 AM,2.79,H
2/12/2019,Tue,3:21:00 PM,0.28,L
2/12/2019,Tue,9:27:00 PM,2.58,H
2/13/2019,Wed,3:38:00 AM,0.32,L
2/13/2019,Wed,9:49:00 AM,2.82,H
2/13/2019,Wed,4:16:00 PM,0.26,L
2/13/2019,Wed,10:23:00 PM,2.54,H
2/14/2019,Thu,4:32:00 AM,0.34,L
2/14/2019,Thu,10:44:00 AM,2.88,H
2/14/2019,Thu,5:15:00 PM,0.2,L
2/14/2019,Thu,11:23:00 PM,2.54,H
2/15/2019,Fri,5:29:00 AM,0.31,L
2/15/2019,Fri,11:43:00 AM,2.98,H
2/15/2019,Fri,6:16:00 PM,0.08,L
2/16/2019,Sat,12:26:00 AM,2.6,H
2/16/2019,Sat,6:29:00 AM,0.22,L
