Date,Day,Time,Pred(Ft),Pred(cm),High/Low
1/1/2023,Sun,5:17:00 AM,0.72,22,L
1/1/2023,Sun,11:42:00 AM,9.74,297,H
1/1/2023,Sun,6:02:00 PM,0.56,17,L
1/2/2023,Mon,12:17:00 AM,8.68,265,H
1/2/2023,Mon,6:14:00 AM,1.03,31,L
1/2/2023,Mon,12:38:00 PM,9.76,297,H
1/2/2023,Mon,7:03:00 PM,0.47,14,L
1/3/2023,Tue,1:17:00 AM,8.55,261,H
1/3/2023,Tue,7:08:00 AM,1.2,37,L
1/3/2023,Tue,1:30:00 PM,9.81,299,H
1/3/2023,Tue,7:58:00 PM,0.33,10,L
1/4/2023,Wed,2:11:00 AM,8.51,259,H
1/4/2023,Wed,7:59:00 AM,1.27,39,L
1/4/2023,Wed,2:18:00 PM,9.87,301,H
1/4/2023,Wed,8:46:00 PM,0.21,6,L
1/5/2023,Thu,2:58:00 AM,8.52,260,H
1/5/2023,Thu,8:44:00 AM,1.26,38,L
1/5/2023,Thu,3:01:00 PM,9.91,302,H
1/5/2023,Thu,9:29:00 PM,0.14,4,L
1/6/2023,Fri,3:41:00 AM,8.53,260,H
1/6/2023,Fri,9:27:00 AM,1.23,37,L
1/6/2023,Fri,3:41:00 PM,9.93,303,H
1/6/2023,Fri,10:08:00 PM,0.11,3,L
1/7/2023,Sat,4:21:00 AM,8.55,261,H
1/7/2023,Sat,10:07:00 AM,1.19,36,L
1/7/2023,Sat,4:21:00 PM,9.93,303,H
1/7/2023,Sat,10:47:00 PM,0.11,3,L
1/8/2023,Sun,5:00:00 AM,8.56,261,H
1/8/2023,Sun,10:47:00 AM,1.17,36,L
1/8/2023,Sun,5:00:00 PM,9.88,301,H
1/8/2023,Sun,11:25:00 PM,0.15,5,L
1/9/2023,Mon,5:38:00 AM,8.58,262,H
1/9/2023,Mon,11:27:00 AM,1.18,36,L
1/9/2023,Mon,5:39:00 PM,9.78,298,H
1/10/2023,Tue,12:02:00 AM,0.22,7,L
1/10/2023,Tue,6:15:00 AM,8.6,262,H
1/10/2023,Tue,12:08:00 PM,1.22,37,L
1/10/2023,Tue,6:18:00 PM,9.62,293,H
1/11/2023,Wed,12:40:00 AM,0.34,10,L
1/11/2023,Wed,6:53:00 AM,8.62,263,H
1/11/2023,Wed,12:49:00 PM,1.28,39,L
1/11/2023,Wed,6:58:00 PM,9.4,287,H
1/12/2023,Thu,1:18:00 AM,0.5,15,L
