Date,Day,Time,Pred
8/1/2022,Mon,12:00:00 AM,0.36
8/1/2022,Mon,12:01:00 AM,0.36
8/1/2022,Mon,12:02:00 AM,0.36
8/1/2022,Mon,12:03:00 AM,0.36
8/1/2022,Mon,12:04:00 AM,0.36
8/1/2022,Mon,12:05:00 AM,0.36
8/1/2022,Mon,12:06:00 AM,0.36
8/1/2022,Mon,12:07:00 AM,0.36
8/1/2022,Mon,12:08:00 AM,0.36
8/1/2022,Mon,12:09:00 AM,0.36
8/1/2022,Mon,12:10:00 AM,0.37
8/1/2022,Mon,12:11:00 AM,0.37
8/1/2022,Mon,12:12:00 AM,0.37
8/1/2022,Mon,12:13:00 AM,0.37
8/1/2022,Mon,12:14:00 AM,0.37
8/1/2022,Mon,12:15:00 AM,0.37
8/1/2022,Mon,12:16:00 AM,0.38
8/1/2022,Mon,12:17:00 AM,0.38
8/1/2022,Mon,12:18:00 AM,0.38
8/1/2022,Mon,12:19:00 AM,0.38
8/1/2022,Mon,12:20:00 AM,0.38
8/1/2022,Mon,12:21:00 AM,0.39
8/1/2022,Mon,12:22:00 AM,0.39
8/1/2022,Mon,12:23:00 AM,0.39
8/1/2022,Mon,12:24:00 AM,0.4
8/1/2022,Mon,12:25:00 AM,0.4
8/1/2022,Mon,12:26:00 AM,0.4
8/1/2022,Mon,12:27:00 AM,0.4
8/1/2022,Mon,12:28:00 AM,0.41
8/1/2022,Mon,12:29:00 AM,0.41
8/1/2022,Mon,12:30:00 AM,0.41
8/1/2022,Mon,12:31:00 AM,0.42
8/1/2022,Mon,12:32:00 AM,0.42
8/1/2022,Mon,12:33:00 AM,0.42
8/1/2022,Mon,12:34:00 AM,0.43
8/1/2022,Mon,12:35:00 AM,0.43
8/1/2022,Mon,12:36:00 AM,0.44
8/1/2022,Mon,12:37:00 AM,0.44
8/1/2022,Mon,12:38:00 AM,0.45
8/1/2022,Mon,12:39:00 AM,0.45
8/1/2022,Mon,12:40:00 AM,0.46
8/1/2022,Mon,12:41:00 AM,0.46
8/1/2022,Mon,12:42:00 AM,0.47
8/1/2022,Mon,12:43:00 AM,0.47
8/1/2022,Mon,12:44:00 AM,0.47
8/1/2022,Mon,12:45:00 AM,0.48
8/1/2022,Mon,12:46:00 AM,0.48
8/1/2022,Mon,12:47:00 AM,0.49
8/1/2022,Mon,12:48:00 AM,0.5
8/1/2022,Mon,12:49:00 AM,0.5
8/1/2022,Mon,12:50:00 AM,0.51
8/1/2022,Mon,12:51:00 AM,0.51
8/1/2022,Mon,12:52:00 AM,0.52
8/1/2022,Mon,12:53:00 AM,0.53
8/1/2022,Mon,12:54:00 AM,0.53
8/1/2022,Mon,12:55:00 AM,0.54
8/1/2022,Mon,12:56:00 AM,0.54
8/1/2022,Mon,12:57:00 AM,0.55
8/1/2022,Mon,12:58:00 AM,0.56
8/1/2022,Mon,12:59:00 AM,0.56
8/1/2022,Mon,1:00:00 AM,0.57
8/1/2022,Mon,1:01:00 AM,0.58
8/1/2022,Mon,1:02:00 AM,0.58
8/1/2022,Mon,1:03:00 AM,0.59
8/1/2022,Mon,1:04:00 AM,0.6
8/1/2022,Mon,1:05:00 AM,0.6
8/1/2022,Mon,1:06:00 AM,0.61
8/1/2022,Mon,1:07:00 AM,0.62
8/1/2022,Mon,1:08:00 AM,0.62
8/1/2022,Mon,1:09:00 AM,0.63
8/1/2022,Mon,1:10:00 AM,0.64
8/1/2022,Mon,1:11:00 AM,0.65
8/1/2022,Mon,1:12:00 AM,0.66
8/1/2022,Mon,1:13:00 AM,0.66
8/1/2022,Mon,1:14:00 AM,0.67
8/1/2022,Mon,1:15:00 AM,0.68
8/1/2022,Mon,1:16:00 AM,0.69
8/1/2022,Mon,1:17:00 AM,0.69
8/1/2022,Mon,1:18:00 AM,0.7
