Date,Day,Time,Pred
2/1/2020,Sat,12:00:00 AM,1.38
2/1/2020,Sat,12:01:00 AM,1.37
2/1/2020,Sat,12:02:00 AM,1.36
2/1/2020,Sat,12:03:00 AM,1.36
2/1/2020,Sat,12:04:00 AM,1.35
2/1/2020,Sat,12:05:00 AM,1.34
2/1/2020,Sat,12:06:00 AM,1.33
2/1/2020,Sat,12:07:00 AM,1.32
2/1/2020,Sat,12:08:00 AM,1.31
2/1/2020,Sat,12:09:00 AM,1.3
2/1/2020,Sat,12:10:00 AM,1.29
2/1/2020,Sat,12:11:00 AM,1.29
2/1/2020,Sat,12:12:00 AM,1.28
2/1/2020,Sat,12:13:00 AM,1.27
2/1/2020,Sat,12:14:00 AM,1.26
2/1/2020,Sat,12:15:00 AM,1.25
2/1/2020,Sat,12:16:00 AM,1.24
2/1/2020,Sat,12:17:00 AM,1.23
2/1/2020,Sat,12:18:00 AM,1.23
2/1/2020,Sat,12:19:00 AM,1.22
2/1/2020,Sat,12:20:00 AM,1.21
2/1/2020,Sat,12:21:00 AM,1.2
2/1/2020,Sat,12:22:00 AM,1.19
2/1/2020,Sat,12:23:00 AM,1.18
2/1/2020,Sat,12:24:00 AM,1.17
2/1/2020,Sat,12:25:00 AM,1.16
2/1/2020,Sat,12:26:00 AM,1.16
2/1/2020,Sat,12:27:00 AM,1.15
2/1/2020,Sat,12:28:00 AM,1.14
2/1/2020,Sat,12:29:00 AM,1.13
2/1/2020,Sat,12:30:00 AM,1.12
2/1/2020,Sat,12:31:00 AM,1.11
2/1/2020,Sat,12:32:00 AM,1.1
2/1/2020,Sat,12:33:00 AM,1.1
2/1/2020,Sat,12:34:00 AM,1.09
2/1/2020,Sat,12:35:00 AM,1.08
2/1/2020,Sat,12:36:00 AM,1.07
2/1/2020,Sat,12:37:00 AM,1.06
2/1/2020,Sat,12:38:00 AM,1.05
2/1/2020,Sat,12:39:00 AM,1.04
2/1/2020,Sat,12:40:00 AM,1.04
2/1/2020,Sat,12:41:00 AM,1.03
2/1/2020,Sat,12:42:00 AM,1.02
2/1/2020,Sat,12:43:00 AM,1.01
2/1/2020,Sat,12:44:00 AM,1
2/1/2020,Sat,12:45:00 AM,1
2/1/2020,Sat,12:46:00 AM,0.99
2/1/2020,Sat,12:47:00 AM,0.98
2/1/2020,Sat,12:48:00 AM,0.97
2/1/2020,Sat,12:49:00 AM,0.96
2/1/2020,Sat,12:50:00 AM,0.95
2/1/2020,Sat,12:51:00 AM,0.95
2/1/2020,Sat,12:52:00 AM,0.94
2/1/2020,Sat,12:53:00 AM,0.93
2/1/2020,Sat,12:54:00 AM,0.92
2/1/2020,Sat,12:55:00 AM,0.91
2/1/2020,Sat,12:56:00 AM,0.91
2/1/2020,Sat,12:57:00 AM,0.9
2/1/2020,Sat,12:58:00 AM,0.89
2/1/2020,Sat,12:59:00 AM,0.88
2/1/2020,Sat,1:00:00 AM,0.88
2/1/2020,Sat,1:01:00 AM,0.87
2/1/2020,Sat,1:02:00 AM,0.86
2/1/2020,Sat,1:03:00 AM,0.85
2/1/2020,Sat,1:04:00 AM,0.84
2/1/2020,Sat,1:05:00 AM,0.84
2/1/2020,Sat,1:06:00 AM,0.83
2/1/2020,Sat,1:07:00 AM,0.82
2/1/2020,Sat,1:08:00 AM,0.81
2/1/2020,Sat,1:09:00 AM,0.81
2/1/2020,Sat,1:10:00 AM,0.8
2/1/2020,Sat,1:11:00 AM,0.79
2/1/2020,Sat,1:12:00 AM,0.78
2/1/2020,Sat,1:13:00 AM,0.78
2/1/2020,Sat,1:14:00 AM,0.77
2/1/2020,Sat,1:15:00 AM,0.76
2/1/2020,Sat,1:16:00 AM,0.75
2/1/2020,Sat,1:17:00 AM,0.75
2/1/2020,Sat,1:18:00 AM,0.74
2/1/2020,Sat,1:19:00 AM,0.73
2/1/2020,Sat,1:20:00 AM,0.72
2/1/2020,Sat,1:21:00 AM,0.72
2/1/2020,Sat,1:22:00 AM,0.71
2/1/2020,Sat,1:23:00 AM,0.7
2/1/2020,Sat,1:24:00 AM,0.7
2/1/2020,Sat,1:25:00 AM,0.69
2/1/2020,Sat,1:26:00 AM,0.68
2/1/2020,Sat,1:27:00 AM,0.68
2/1/2020,Sat,1:28:00 AM,0.67
2/1/2020,Sat,1:29:00 AM,0.66
2/1/2020,Sat,1:30:00 AM,0.66
2/1/2020,Sat,1:31:00 AM,0.65
2/1/2020,Sat,1:32:00 AM,0.64
2/1/2020,Sat,1:33:00 AM,0.64
2/1/2020,Sat,1:34:00 AM,0.63
2/1/2020,Sat,1:35:00 AM,0.62
2/1/2020,Sat,1:36:00 AM,0.62
2/1/2020,Sat,1:37:00 AM,0.61
2/1/2020,Sat,1:38:00 AM,0.6
2/1/2020,Sat,1:39:00 AM,0.6
2/1/2020,Sat,1:40:00 AM,0.59
2/1/2020,Sat,1:41:00 AM,0.59
2/1/2020,Sat,1:42:00 AM,0.58
2/1/2020,Sat,1:43:00 AM,0.57
2/1/2020,Sat,1:44:00 AM,0.57
2/1/2020,Sat,1:45:00 AM,0.56
2/1/2020,Sat,1:46:00 AM,0.56
2/1/2020,Sat,1:47:00 AM,0.55
2/1/2020,Sat,1:48:00 AM,0.55
2/1/2020,Sat,1:49:00 AM,0.54
2/1/2020,Sat,1:50:00 AM,0.53
2/1/2020,Sat,1:51:00 AM,0.53
2/1/2020,Sat,1:52:00 AM,0.52
2/1/2020,Sat,1:53:00 AM,0.52
2/1/2020,Sat,1:54:00 AM,0.51
2/1/2020,Sat,1:55:00 AM,0.51
2/1/2020,Sat,1:56:00 AM,0.5
2/1/2020,Sat,1:57:00 AM,0.5
2/1/2020,Sat,1:58:00 AM,0.49
2/1/2020,Sat,1:59:00 AM,0.49
2/1/2020,Sat,2:00:00 AM,0.48
2/1/2020,Sat,2:01:00 AM,0.48
2/1/2020,Sat,2:02:00 AM,0.47
