Date,Day,Time,Pred
1/1/2020,Wed,12:00:00 AM,0.93
1/1/2020,Wed,12:01:00 AM,0.92
1/1/2020,Wed,12:02:00 AM,0.91
1/1/2020,Wed,12:03:00 AM,0.9
1/1/2020,Wed,12:04:00 AM,0.89
1/1/2020,Wed,12:05:00 AM,0.88
1/1/2020,Wed,12:06:00 AM,0.87
1/1/2020,Wed,12:07:00 AM,0.86
1/1/2020,Wed,12:08:00 AM,0.85
1/1/2020,Wed,12:09:00 AM,0.84
1/1/2020,Wed,12:10:00 AM,0.83
1/1/2020,Wed,12:11:00 AM,0.82
1/1/2020,Wed,12:12:00 AM,0.81
1/1/2020,Wed,12:13:00 AM,0.8
1/1/2020,Wed,12:14:00 AM,0.79
1/1/2020,Wed,12:15:00 AM,0.78
1/1/2020,Wed,12:16:00 AM,0.77
1/1/2020,Wed,12:17:00 AM,0.77
1/1/2020,Wed,12:18:00 AM,0.76
1/1/2020,Wed,12:19:00 AM,0.75
1/1/2020,Wed,12:20:00 AM,0.74
1/1/2020,Wed,12:21:00 AM,0.73
1/1/2020,Wed,12:22:00 AM,0.72
1/1/2020,Wed,12:23:00 AM,0.71
1/1/2020,Wed,12:24:00 AM,0.7
1/1/2020,Wed,12:25:00 AM,0.69
1/1/2020,Wed,12:26:00 AM,0.68
1/1/2020,Wed,12:27:00 AM,0.67
1/1/2020,Wed,12:28:00 AM,0.67
1/1/2020,Wed,12:29:00 AM,0.66
1/1/2020,Wed,12:30:00 AM,0.65
1/1/2020,Wed,12:31:00 AM,0.64
1/1/2020,Wed,12:32:00 AM,0.63
1/1/2020,Wed,12:33:00 AM,0.62
1/1/2020,Wed,12:34:00 AM,0.61
1/1/2020,Wed,12:35:00 AM,0.6
1/1/2020,Wed,12:36:00 AM,0.6
1/1/2020,Wed,12:37:00 AM,0.59
1/1/2020,Wed,12:38:00 AM,0.58
1/1/2020,Wed,12:39:00 AM,0.57
1/1/2020,Wed,12:40:00 AM,0.56
1/1/2020,Wed,12:41:00 AM,0.56
1/1/2020,Wed,12:42:00 AM,0.55
1/1/2020,Wed,12:43:00 AM,0.54
1/1/2020,Wed,12:44:00 AM,0.53
1/1/2020,Wed,12:45:00 AM,0.52
1/1/2020,Wed,12:46:00 AM,0.52
1/1/2020,Wed,12:47:00 AM,0.51
1/1/2020,Wed,12:48:00 AM,0.5
1/1/2020,Wed,12:49:00 AM,0.49
1/1/2020,Wed,12:50:00 AM,0.48
1/1/2020,Wed,12:51:00 AM,0.48
1/1/2020,Wed,12:52:00 AM,0.47
1/1/2020,Wed,12:53:00 AM,0.46
1/1/2020,Wed,12:54:00 AM,0.46
1/1/2020,Wed,12:55:00 AM,0.45
1/1/2020,Wed,12:56:00 AM,0.44
1/1/2020,Wed,12:57:00 AM,0.43
1/1/2020,Wed,12:58:00 AM,0.43
1/1/2020,Wed,12:59:00 AM,0.42
1/1/2020,Wed,1:00:00 AM,0.41
1/1/2020,Wed,1:01:00 AM,0.41
1/1/2020,Wed,1:02:00 AM,0.4
1/1/2020,Wed,1:03:00 AM,0.4
1/1/2020,Wed,1:04:00 AM,0.39
1/1/2020,Wed,1:05:00 AM,0.38
1/1/2020,Wed,1:06:00 AM,0.38
1/1/2020,Wed,1:07:00 AM,0.37
1/1/2020,Wed,1:08:00 AM,0.36
1/1/2020,Wed,1:09:00 AM,0.36
1/1/2020,Wed,1:10:00 AM,0.35
1/1/2020,Wed,1:11:00 AM,0.35
1/1/2020,Wed,1:12:00 AM,0.34
1/1/2020,Wed,1:13:00 AM,0.34
1/1/2020,Wed,1:14:00 AM,0.33
1/1/2020,Wed,1:15:00 AM,0.33
1/1/2020,Wed,1:16:00 AM,0.32
1/1/2020,Wed,1:17:00 AM,0.32
1/1/2020,Wed,1:18:00 AM,0.31
1/1/2020,Wed,1:19:00 AM,0.31
1/1/2020,Wed,1:20:00 AM,0.3
1/1/2020,Wed,1:21:00 AM,0.3
1/1/2020,Wed,1:22:00 AM,0.29
1/1/2020,Wed,1:23:00 AM,0.29
1/1/2020,Wed,1:24:00 AM,0.28
1/1/2020,Wed,1:25:00 AM,0.28
1/1/2020,Wed,1:26:00 AM,0.28
1/1/2020,Wed,1:27:00 AM,0.27
1/1/2020,Wed,1:28:00 AM,0.27
1/1/2020,Wed,1:29:00 AM,0.26
1/1/2020,Wed,1:30:00 AM,0.26
1/1/2020,Wed,1:31:00 AM,0.26
1/1/2020,Wed,1:32:00 AM,0.25
1/1/2020,Wed,1:33:00 AM,0.25
1/1/2020,Wed,1:34:00 AM,0.25
1/1/2020,Wed,1:35:00 AM,0.24
1/1/2020,Wed,1:36:00 AM,0.24
1/1/2020,Wed,1:37:00 AM,0.24
1/1/2020,Wed,1:38:00 AM,0.23
1/1/2020,Wed,1:39:00 AM,0.23
1/1/2020,Wed,1:40:00 AM,0.23
1/1/2020,Wed,1:41:00 AM,0.23
1/1/2020,Wed,1:42:00 AM,0.22
1/1/2020,Wed,1:43:00 AM,0.22
1/1/2020,Wed,1:44:00 AM,0.22
1/1/2020,Wed,1:45:00 AM,0.22
1/1/2020,Wed,1:46:00 AM,0.21
1/1/2020,Wed,1:47:00 AM,0.21
1/1/2020,Wed,1:48:00 AM,0.21
1/1/2020,Wed,1:49:00 AM,0.21
1/1/2020,Wed,1:50:00 AM,0.21
1/1/2020,Wed,1:51:00 AM,0.21
1/1/2020,Wed,1:52:00 AM,0.2
1/1/2020,Wed,1:53:00 AM,0.2
1/1/2020,Wed,1:54:00 AM,0.2
1/1/2020,Wed,1:55:00 AM,0.2
1/1/2020,Wed,1:56:00 AM,0.2
1/1/2020,Wed,1:57:00 AM,0.2
1/1/2020,Wed,1:58:00 AM,0.2
1/1/2020,Wed,1:59:00 AM,0.2
1/1/2020,Wed,2:00:00 AM,0.2
1/1/2020,Wed,2:01:00 AM,0.2
1/1/2020,Wed,2:02:00 AM,0.2
1/1/2020,Wed,2:03:00 AM,0.2
1/1/2020,Wed,2:04:00 AM,0.2
1/1/2020,Wed,2:05:00 AM,0.2
1/1/2020,Wed,2:06:00 AM,0.2
1/1/2020,Wed,2:07:00 AM,0.2
1/1/2020,Wed,2:08:00 AM,0.2
1/1/2020,Wed,2:09:00 AM,0.2
1/1/2020,Wed,2:10:00 AM,0.2
1/1/2020,Wed,2:11:00 AM,0.2
1/1/2020,Wed,2:12:00 AM,0.2
1/1/2020,Wed,2:13:00 AM,0.2
1/1/2020,Wed,2:14:00 AM,0.2
1/1/2020,Wed,2:15:00 AM,0.21
1/1/2020,Wed,2:16:00 AM,0.21
1/1/2020,Wed,2:17:00 AM,0.21
1/1/2020,Wed,2:18:00 AM,0.21
1/1/2020,Wed,2:19:00 AM,0.21
1/1/2020,Wed,2:20:00 AM,0.21
1/1/2020,Wed,2:21:00 AM,0.22
1/1/2020,Wed,2:22:00 AM,0.22
1/1/2020,Wed,2:23:00 AM,0.22
1/1/2020,Wed,2:24:00 AM,0.22
1/1/2020,Wed,2:25:00 AM,0.22
1/1/2020,Wed,2:26:00 AM,0.23
1/1/2020,Wed,2:27:00 AM,0.23
1/1/2020,Wed,2:28:00 AM,0.23
1/1/2020,Wed,2:29:00 AM,0.23
1/1/2020,Wed,2:30:00 AM,0.24
1/1/2020,Wed,2:31:00 AM,0.24
1/1/2020,Wed,2:32:00 AM,0.24
1/1/2020,Wed,2:33:00 AM,0.24
1/1/2020,Wed,2:34:00 AM,0.25
1/1/2020,Wed,2:35:00 AM,0.25
1/1/2020,Wed,2:36:00 AM,0.26
1/1/2020,Wed,2:37:00 AM,0.26
1/1/2020,Wed,2:38:00 AM,0.26
1/1/2020,Wed,2:39:00 AM,0.27
1/1/2020,Wed,2:40:00 AM,0.27
1/1/2020,Wed,2:41:00 AM,0.27
1/1/2020,Wed,2:42:00 AM,0.28
1/1/2020,Wed,2:43:00 AM,0.28
1/1/2020,Wed,2:44:00 AM,0.28
1/1/2020,Wed,2:45:00 AM,0.29
1/1/2020,Wed,2:46:00 AM,0.29
1/1/2020,Wed,2:47:00 AM,0.3
1/1/2020,Wed,2:48:00 AM,0.3
1/1/2020,Wed,2:49:00 AM,0.3
1/1/2020,Wed,2:50:00 AM,0.31
1/1/2020,Wed,2:51:00 AM,0.31
1/1/2020,Wed,2:52:00 AM,0.32
1/1/2020,Wed,2:53:00 AM,0.32
1/1/2020,Wed,2:54:00 AM,0.33
1/1/2020,Wed,2:55:00 AM,0.33
1/1/2020,Wed,2:56:00 AM,0.34
1/1/2020,Wed,2:57:00 AM,0.34
1/1/2020,Wed,2:58:00 AM,0.35
1/1/2020,Wed,2:59:00 AM,0.35
1/1/2020,Wed,3:00:00 AM,0.36
1/1/2020,Wed,3:01:00 AM,0.36
1/1/2020,Wed,3:02:00 AM,0.37
1/1/2020,Wed,3:03:00 AM,0.37
1/1/2020,Wed,3:04:00 AM,0.38
1/1/2020,Wed,3:05:00 AM,0.38
1/1/2020,Wed,3:06:00 AM,0.39
1/1/2020,Wed,3:07:00 AM,0.39
1/1/2020,Wed,3:08:00 AM,0.4
1/1/2020,Wed,3:09:00 AM,0.4
1/1/2020,Wed,3:10:00 AM,0.41
1/1/2020,Wed,3:11:00 AM,0.42
1/1/2020,Wed,3:12:00 AM,0.42
1/1/2020,Wed,3:13:00 AM,0.43
1/1/2020,Wed,3:14:00 AM,0.43
1/1/2020,Wed,3:15:00 AM,0.44
1/1/2020,Wed,3:16:00 AM,0.45
1/1/2020,Wed,3:17:00 AM,0.45
1/1/2020,Wed,3:18:00 AM,0.46
