Date,Day,Time,Pred
7/1/2022,Fri,12:00:00 AM,0.67
7/1/2022,Fri,12:01:00 AM,0.67
7/1/2022,Fri,12:02:00 AM,0.68
7/1/2022,Fri,12:03:00 AM,0.68
7/1/2022,Fri,12:04:00 AM,0.69
7/1/2022,Fri,12:05:00 AM,0.7
7/1/2022,Fri,12:06:00 AM,0.7
7/1/2022,Fri,12:07:00 AM,0.71
7/1/2022,Fri,12:08:00 AM,0.71
7/1/2022,Fri,12:09:00 AM,0.72
7/1/2022,Fri,12:10:00 AM,0.73
7/1/2022,Fri,12:11:00 AM,0.73
7/1/2022,Fri,12:12:00 AM,0.74
7/1/2022,Fri,12:13:00 AM,0.74
7/1/2022,Fri,12:14:00 AM,0.75
7/1/2022,Fri,12:15:00 AM,0.76
7/1/2022,Fri,12:16:00 AM,0.77
7/1/2022,Fri,12:17:00 AM,0.77
7/1/2022,Fri,12:18:00 AM,0.78
7/1/2022,Fri,12:19:00 AM,0.79
7/1/2022,Fri,12:20:00 AM,0.79
7/1/2022,Fri,12:21:00 AM,0.8
7/1/2022,Fri,12:22:00 AM,0.81
7/1/2022,Fri,12:23:00 AM,0.81
7/1/2022,Fri,12:24:00 AM,0.82
7/1/2022,Fri,12:25:00 AM,0.83
7/1/2022,Fri,12:26:00 AM,0.83
7/1/2022,Fri,12:27:00 AM,0.84
7/1/2022,Fri,12:28:00 AM,0.85
7/1/2022,Fri,12:29:00 AM,0.85
7/1/2022,Fri,12:30:00 AM,0.86
7/1/2022,Fri,12:31:00 AM,0.87
7/1/2022,Fri,12:32:00 AM,0.88
7/1/2022,Fri,12:33:00 AM,0.89
7/1/2022,Fri,12:34:00 AM,0.89
7/1/2022,Fri,12:35:00 AM,0.9
7/1/2022,Fri,12:36:00 AM,0.91
7/1/2022,Fri,12:37:00 AM,0.92
7/1/2022,Fri,12:38:00 AM,0.92
7/1/2022,Fri,12:39:00 AM,0.93
7/1/2022,Fri,12:40:00 AM,0.94
7/1/2022,Fri,12:41:00 AM,0.95
7/1/2022,Fri,12:42:00 AM,0.95
7/1/2022,Fri,12:43:00 AM,0.96
7/1/2022,Fri,12:44:00 AM,0.97
7/1/2022,Fri,12:45:00 AM,0.98
7/1/2022,Fri,12:46:00 AM,0.99
7/1/2022,Fri,12:47:00 AM,0.99
7/1/2022,Fri,12:48:00 AM,1
7/1/2022,Fri,12:49:00 AM,1.01
7/1/2022,Fri,12:50:00 AM,1.02
7/1/2022,Fri,12:51:00 AM,1.03
7/1/2022,Fri,12:52:00 AM,1.04
7/1/2022,Fri,12:53:00 AM,1.04
7/1/2022,Fri,12:54:00 AM,1.05
7/1/2022,Fri,12:55:00 AM,1.06
7/1/2022,Fri,12:56:00 AM,1.07
7/1/2022,Fri,12:57:00 AM,1.08
7/1/2022,Fri,12:58:00 AM,1.09
7/1/2022,Fri,12:59:00 AM,1.09
7/1/2022,Fri,1:00:00 AM,1.1
7/1/2022,Fri,1:01:00 AM,1.11
7/1/2022,Fri,1:02:00 AM,1.12
7/1/2022,Fri,1:03:00 AM,1.13
7/1/2022,Fri,1:04:00 AM,1.14
7/1/2022,Fri,1:05:00 AM,1.15
7/1/2022,Fri,1:06:00 AM,1.16
7/1/2022,Fri,1:07:00 AM,1.16
7/1/2022,Fri,1:08:00 AM,1.17
7/1/2022,Fri,1:09:00 AM,1.18
7/1/2022,Fri,1:10:00 AM,1.19
7/1/2022,Fri,1:11:00 AM,1.2
7/1/2022,Fri,1:12:00 AM,1.21
7/1/2022,Fri,1:13:00 AM,1.22
7/1/2022,Fri,1:14:00 AM,1.23
7/1/2022,Fri,1:15:00 AM,1.23
7/1/2022,Fri,1:16:00 AM,1.24
7/1/2022,Fri,1:17:00 AM,1.25
7/1/2022,Fri,1:18:00 AM,1.26
7/1/2022,Fri,1:19:00 AM,1.27
7/1/2022,Fri,1:20:00 AM,1.28
7/1/2022,Fri,1:21:00 AM,1.29
7/1/2022,Fri,1:22:00 AM,1.3
7/1/2022,Fri,1:23:00 AM,1.31
7/1/2022,Fri,1:24:00 AM,1.32
7/1/2022,Fri,1:25:00 AM,1.32
7/1/2022,Fri,1:26:00 AM,1.33
7/1/2022,Fri,1:27:00 AM,1.34
7/1/2022,Fri,1:28:00 AM,1.35
7/1/2022,Fri,1:29:00 AM,1.36
7/1/2022,Fri,1:30:00 AM,1.37
7/1/2022,Fri,1:31:00 AM,1.38
7/1/2022,Fri,1:32:00 AM,1.39
7/1/2022,Fri,1:33:00 AM,1.4
7/1/2022,Fri,1:34:00 AM,1.41
7/1/2022,Fri,1:35:00 AM,1.42
7/1/2022,Fri,1:36:00 AM,1.43
7/1/2022,Fri,1:37:00 AM,1.44
7/1/2022,Fri,1:38:00 AM,1.45
7/1/2022,Fri,1:39:00 AM,1.46
7/1/2022,Fri,1:40:00 AM,1.47
7/1/2022,Fri,1:41:00 AM,1.48
7/1/2022,Fri,1:42:00 AM,1.48
7/1/2022,Fri,1:43:00 AM,1.5
7/1/2022,Fri,1:44:00 AM,1.5
7/1/2022,Fri,1:45:00 AM,1.51
7/1/2022,Fri,1:46:00 AM,1.52
7/1/2022,Fri,1:47:00 AM,1.53
7/1/2022,Fri,1:48:00 AM,1.54
7/1/2022,Fri,1:49:00 AM,1.55
7/1/2022,Fri,1:50:00 AM,1.56
7/1/2022,Fri,1:51:00 AM,1.57
