Date,Day,Time,Pred
6/1/2023,Thu,12:00:00 AM,2.69
6/1/2023,Thu,12:01:00 AM,2.7
6/1/2023,Thu,12:02:00 AM,2.71
6/1/2023,Thu,12:03:00 AM,2.71
6/1/2023,Thu,12:04:00 AM,2.72
6/1/2023,Thu,12:05:00 AM,2.73
6/1/2023,Thu,12:06:00 AM,2.73
6/1/2023,Thu,12:07:00 AM,2.74
6/1/2023,Thu,12:08:00 AM,2.75
6/1/2023,Thu,12:09:00 AM,2.75
6/1/2023,Thu,12:10:00 AM,2.76
6/1/2023,Thu,12:11:00 AM,2.77
6/1/2023,Thu,12:12:00 AM,2.77
6/1/2023,Thu,12:13:00 AM,2.78
6/1/2023,Thu,12:14:00 AM,2.78
6/1/2023,Thu,12:15:00 AM,2.79
6/1/2023,Thu,12:16:00 AM,2.79
6/1/2023,Thu,12:17:00 AM,2.8
6/1/2023,Thu,12:18:00 AM,2.81
6/1/2023,Thu,12:19:00 AM,2.81
6/1/2023,Thu,12:20:00 AM,2.82
6/1/2023,Thu,12:21:00 AM,2.82
6/1/2023,Thu,12:22:00 AM,2.83
6/1/2023,Thu,12:23:00 AM,2.83
6/1/2023,Thu,12:24:00 AM,2.84
6/1/2023,Thu,12:25:00 AM,2.84
6/1/2023,Thu,12:26:00 AM,2.85
6/1/2023,Thu,12:27:00 AM,2.85
6/1/2023,Thu,12:28:00 AM,2.86
6/1/2023,Thu,12:29:00 AM,2.86
6/1/2023,Thu,12:30:00 AM,2.87
6/1/2023,Thu,12:31:00 AM,2.87
6/1/2023,Thu,12:32:00 AM,2.88
6/1/2023,Thu,12:33:00 AM,2.88
6/1/2023,Thu,12:34:00 AM,2.89
6/1/2023,Thu,12:35:00 AM,2.89
6/1/2023,Thu,12:36:00 AM,2.89
6/1/2023,Thu,12:37:00 AM,2.9
6/1/2023,Thu,12:38:00 AM,2.9
6/1/2023,Thu,12:39:00 AM,2.91
6/1/2023,Thu,12:40:00 AM,2.91
6/1/2023,Thu,12:41:00 AM,2.91
6/1/2023,Thu,12:42:00 AM,2.92
6/1/2023,Thu,12:43:00 AM,2.92
6/1/2023,Thu,12:44:00 AM,2.92
6/1/2023,Thu,12:45:00 AM,2.93
6/1/2023,Thu,12:46:00 AM,2.93
6/1/2023,Thu,12:47:00 AM,2.93
6/1/2023,Thu,12:48:00 AM,2.94
6/1/2023,Thu,12:49:00 AM,2.94
6/1/2023,Thu,12:50:00 AM,2.94
6/1/2023,Thu,12:51:00 AM,2.94
6/1/2023,Thu,12:52:00 AM,2.95
6/1/2023,Thu,12:53:00 AM,2.95
6/1/2023,Thu,12:54:00 AM,2.95
6/1/2023,Thu,12:55:00 AM,2.96
6/1/2023,Thu,12:56:00 AM,2.96
6/1/2023,Thu,12:57:00 AM,2.96
6/1/2023,Thu,12:58:00 AM,2.96
6/1/2023,Thu,12:59:00 AM,2.96
6/1/2023,Thu,1:00:00 AM,2.96
6/1/2023,Thu,1:01:00 AM,2.97
6/1/2023,Thu,1:02:00 AM,2.97
6/1/2023,Thu,1:03:00 AM,2.97
6/1/2023,Thu,1:04:00 AM,2.97
6/1/2023,Thu,1:05:00 AM,2.97
6/1/2023,Thu,1:06:00 AM,2.97
6/1/2023,Thu,1:07:00 AM,2.98
6/1/2023,Thu,1:08:00 AM,2.98
6/1/2023,Thu,1:09:00 AM,2.98
6/1/2023,Thu,1:10:00 AM,2.98
6/1/2023,Thu,1:11:00 AM,2.98
6/1/2023,Thu,1:12:00 AM,2.98
6/1/2023,Thu,1:13:00 AM,2.98
6/1/2023,Thu,1:14:00 AM,2.98
6/1/2023,Thu,1:15:00 AM,2.98
6/1/2023,Thu,1:16:00 AM,2.98
6/1/2023,Thu,1:17:00 AM,2.98
6/1/2023,Thu,1:18:00 AM,2.98
6/1/2023,Thu,1:19:00 AM,2.98
6/1/2023,Thu,1:20:00 AM,2.98
6/1/2023,Thu,1:21:00 AM,2.98
6/1/2023,Thu,1:22:00 AM,2.98
6/1/2023,Thu,1:23:00 AM,2.98
6/1/2023,Thu,1:24:00 AM,2.98
6/1/2023,Thu,1:25:00 AM,2.98
6/1/2023,Thu,1:26:00 AM,2.98
6/1/2023,Thu,1:27:00 AM,2.98
6/1/2023,Thu,1:28:00 AM,2.98
6/1/2023,Thu,1:29:00 AM,2.98
6/1/2023,Thu,1:30:00 AM,2.98
6/1/2023,Thu,1:31:00 AM,2.98
6/1/2023,Thu,1:32:00 AM,2.97
6/1/2023,Thu,1:33:00 AM,2.97
6/1/2023,Thu,1:34:00 AM,2.97
6/1/2023,Thu,1:35:00 AM,2.97
6/1/2023,Thu,1:36:00 AM,2.97
6/1/2023,Thu,1:37:00 AM,2.97
6/1/2023,Thu,1:38:00 AM,2.96
6/1/2023,Thu,1:39:00 AM,2.96
6/1/2023,Thu,1:40:00 AM,2.96
6/1/2023,Thu,1:41:00 AM,2.96
6/1/2023,Thu,1:42:00 AM,2.96
6/1/2023,Thu,1:43:00 AM,2.96
6/1/2023,Thu,1:44:00 AM,2.95
6/1/2023,Thu,1:45:00 AM,2.95
6/1/2023,Thu,1:46:00 AM,2.95
6/1/2023,Thu,1:47:00 AM,2.94
6/1/2023,Thu,1:48:00 AM,2.94
6/1/2023,Thu,1:49:00 AM,2.94
6/1/2023,Thu,1:50:00 AM,2.94
6/1/2023,Thu,1:51:00 AM,2.93
6/1/2023,Thu,1:52:00 AM,2.93
6/1/2023,Thu,1:53:00 AM,2.93
6/1/2023,Thu,1:54:00 AM,2.92
6/1/2023,Thu,1:55:00 AM,2.92
6/1/2023,Thu,1:56:00 AM,2.92
6/1/2023,Thu,1:57:00 AM,2.92
6/1/2023,Thu,1:58:00 AM,2.91
6/1/2023,Thu,1:59:00 AM,2.91
6/1/2023,Thu,2:00:00 AM,2.91
6/1/2023,Thu,2:01:00 AM,2.9
6/1/2023,Thu,2:02:00 AM,2.9
6/1/2023,Thu,2:03:00 AM,2.89
6/1/2023,Thu,2:04:00 AM,2.89
6/1/2023,Thu,2:05:00 AM,2.88
6/1/2023,Thu,2:06:00 AM,2.88
6/1/2023,Thu,2:07:00 AM,2.88
6/1/2023,Thu,2:08:00 AM,2.87
6/1/2023,Thu,2:09:00 AM,2.87
