Date,Day,Time,Pred,High/Low
8/1/2021,Sun,12:28:00 AM,0.31,L
8/1/2021,Sun,6:38:00 AM,0.86,H
8/1/2021,Sun,11:51:00 AM,0.22,L
8/1/2021,Sun,7:11:00 PM,1,H
8/2/2021,Mon,1:42:00 AM,0.3,L
8/2/2021,Mon,7:29:00 AM,0.82,H
8/2/2021,Mon,12:48:00 PM,0.23,L
8/2/2021,Mon,8:04:00 PM,0.98,H
8/3/2021,Tue,2:39:00 AM,0.28,L
8/3/2021,Tue,8:27:00 AM,0.81,H
8/3/2021,Tue,1:47:00 PM,0.22,L
8/3/2021,Tue,9:02:00 PM,0.98,H
8/4/2021,Wed,3:26:00 AM,0.24,L
8/4/2021,Wed,9:26:00 AM,0.83,H
8/4/2021,Wed,2:42:00 PM,0.19,L
8/4/2021,Wed,9:56:00 PM,1.01,H
8/5/2021,Thu,4:09:00 AM,0.2,L
8/5/2021,Thu,10:17:00 AM,0.89,H
8/5/2021,Thu,3:32:00 PM,0.15,L
8/5/2021,Thu,10:40:00 PM,1.06,H
8/6/2021,Fri,4:50:00 AM,0.15,L
8/6/2021,Fri,11:01:00 AM,0.95,H
8/6/2021,Fri,4:19:00 PM,0.1,L
8/6/2021,Fri,11:20:00 PM,1.12,H
8/7/2021,Sat,5:31:00 AM,0.1,L
8/7/2021,Sat,11:42:00 AM,1.02,H
8/7/2021,Sat,5:04:00 PM,0.06,L
8/7/2021,Sat,11:58:00 PM,1.18,H
8/8/2021,Sun,6:11:00 AM,0.06,L
8/8/2021,Sun,12:23:00 PM,1.08,H
8/8/2021,Sun,5:49:00 PM,0.03,L
8/9/2021,Mon,12:37:00 AM,1.22,H
8/9/2021,Mon,6:47:00 AM,0.03,L
8/9/2021,Mon,1:04:00 PM,1.13,H
8/9/2021,Mon,6:33:00 PM,0.01,L
8/10/2021,Tue,1:18:00 AM,1.24,H
8/10/2021,Tue,7:20:00 AM,0,L
8/10/2021,Tue,1:47:00 PM,1.17,H
8/10/2021,Tue,7:18:00 PM,0.01,L
8/11/2021,Wed,2:01:00 AM,1.24,H
8/11/2021,Wed,7:52:00 AM,-0.01,L
8/11/2021,Wed,2:32:00 PM,1.2,H
8/11/2021,Wed,8:01:00 PM,0.02,L
8/12/2021,Thu,2:47:00 AM,1.21,H
8/12/2021,Thu,8:25:00 AM,-0.02,L
8/12/2021,Thu,3:19:00 PM,1.22,H
8/12/2021,Thu,8:46:00 PM,0.04,L
8/13/2021,Fri,3:36:00 AM,1.17,H
8/13/2021,Fri,9:02:00 AM,0,L
8/13/2021,Fri,4:10:00 PM,1.24,H
8/13/2021,Fri,9:35:00 PM,0.09,L
8/14/2021,Sat,4:29:00 AM,1.12,H
8/14/2021,Sat,9:44:00 AM,0.03,L
8/14/2021,Sat,5:04:00 PM,1.25,H
8/14/2021,Sat,10:34:00 PM,0.15,L
8/15/2021,Sun,5:25:00 AM,1.06,H
8/15/2021,Sun,10:35:00 AM,0.07,L
8/15/2021,Sun,5:59:00 PM,1.25,H
8/15/2021,Sun,11:54:00 PM,0.19,L
8/16/2021,Mon,6:23:00 AM,1.02,H
8/16/2021,Mon,11:37:00 AM,0.11,L
8/16/2021,Mon,6:59:00 PM,1.25,H
8/17/2021,Tue,1:41:00 AM,0.2,L
8/17/2021,Tue,7:26:00 AM,1,H
8/17/2021,Tue,12:49:00 PM,0.13,L
8/17/2021,Tue,8:04:00 PM,1.25,H
8/18/2021,Wed,2:58:00 AM,0.16,L
8/18/2021,Wed,8:34:00 AM,1.02,H
8/18/2021,Wed,2:05:00 PM,0.12,L
8/18/2021,Wed,9:13:00 PM,1.28,H
8/19/2021,Thu,3:55:00 AM,0.12,L
8/19/2021,Thu,9:40:00 AM,1.07,H
8/19/2021,Thu,3:13:00 PM,0.09,L
8/19/2021,Thu,10:15:00 PM,1.33,H
8/20/2021,Fri,4:45:00 AM,0.09,L
8/20/2021,Fri,10:40:00 AM,1.15,H
8/20/2021,Fri,4:11:00 PM,0.05,L
8/20/2021,Fri,11:10:00 PM,1.37,H
8/21/2021,Sat,5:29:00 AM,0.06,L
8/21/2021,Sat,11:32:00 AM,1.23,H
8/21/2021,Sat,5:04:00 PM,0.03,L
8/22/2021,Sun,12:00:00 AM,1.39,H
8/22/2021,Sun,6:10:00 AM,0.04,L
8/22/2021,Sun,12:21:00 PM,1.28,H
8/22/2021,Sun,5:55:00 PM,0.01,L
8/23/2021,Mon,12:46:00 AM,1.38,H
8/23/2021,Mon,6:44:00 AM,0.03,L
8/23/2021,Mon,1:08:00 PM,1.3,H
