Date,Day,Time,Pred,High/Low
12/1/2021,Wed,2:49:00 AM,-0.04,L
12/1/2021,Wed,9:38:00 AM,1.24,H
12/1/2021,Wed,3:42:00 PM,-0.04,L
12/1/2021,Wed,10:01:00 PM,1.07,H
12/2/2021,Thu,3:35:00 AM,-0.12,L
12/2/2021,Thu,10:32:00 AM,1.36,H
12/2/2021,Thu,4:33:00 PM,-0.11,L
12/2/2021,Thu,10:56:00 PM,1.14,H
12/3/2021,Fri,4:21:00 AM,-0.17,L
12/3/2021,Fri,11:24:00 AM,1.45,H
12/3/2021,Fri,5:24:00 PM,-0.15,L
12/3/2021,Fri,11:48:00 PM,1.19,H
12/4/2021,Sat,5:09:00 AM,-0.2,L
12/4/2021,Sat,12:15:00 PM,1.5,H
12/4/2021,Sat,6:18:00 PM,-0.16,L
12/5/2021,Sun,12:40:00 AM,1.21,H
12/5/2021,Sun,6:00:00 AM,-0.2,L
12/5/2021,Sun,1:07:00 PM,1.5,H
12/5/2021,Sun,7:12:00 PM,-0.15,L
12/6/2021,Mon,1:33:00 AM,1.21,H
12/6/2021,Mon,6:53:00 AM,-0.17,L
12/6/2021,Mon,2:00:00 PM,1.45,H
12/6/2021,Mon,8:04:00 PM,-0.11,L
12/7/2021,Tue,2:27:00 AM,1.18,H
12/7/2021,Tue,7:46:00 AM,-0.12,L
12/7/2021,Tue,2:55:00 PM,1.37,H
12/7/2021,Tue,8:56:00 PM,-0.04,L
12/8/2021,Wed,3:24:00 AM,1.14,H
12/8/2021,Wed,8:39:00 AM,-0.04,L
12/8/2021,Wed,3:53:00 PM,1.27,H
12/8/2021,Wed,9:51:00 PM,0.03,L
12/9/2021,Thu,4:22:00 AM,1.1,H
12/9/2021,Thu,9:36:00 AM,0.06,L
12/9/2021,Thu,4:51:00 PM,1.17,H
12/9/2021,Thu,11:06:00 PM,0.09,L
12/10/2021,Fri,5:22:00 AM,1.07,H
12/10/2021,Fri,10:54:00 AM,0.15,L
12/10/2021,Fri,5:48:00 PM,1.08,H
12/11/2021,Sat,12:28:00 AM,0.12,L
12/11/2021,Sat,6:20:00 AM,1.05,H
12/11/2021,Sat,1:04:00 PM,0.18,L
12/11/2021,Sat,6:45:00 PM,1,H
12/12/2021,Sun,1:26:00 AM,0.13,L
12/12/2021,Sun,7:19:00 AM,1.04,H
12/12/2021,Sun,2:15:00 PM,0.18,L
12/12/2021,Sun,7:42:00 PM,0.94,H
12/13/2021,Mon,2:06:00 AM,0.13,L
12/13/2021,Mon,8:19:00 AM,1.04,H
12/13/2021,Mon,3:06:00 PM,0.16,L
12/13/2021,Mon,8:41:00 PM,0.9,H
12/14/2021,Tue,2:34:00 AM,0.12,L
12/14/2021,Tue,9:16:00 AM,1.05,H
12/14/2021,Tue,3:44:00 PM,0.14,L
12/14/2021,Tue,9:36:00 PM,0.89,H
12/15/2021,Wed,3:02:00 AM,0.09,L
12/15/2021,Wed,10:07:00 AM,1.08,H
12/15/2021,Wed,4:17:00 PM,0.11,L
12/15/2021,Wed,10:25:00 PM,0.9,H
12/16/2021,Thu,3:35:00 AM,0.06,L
12/16/2021,Thu,10:51:00 AM,1.1,H
12/16/2021,Thu,4:48:00 PM,0.08,L
12/16/2021,Thu,11:08:00 PM,0.91,H
12/17/2021,Fri,4:11:00 AM,0.03,L
12/17/2021,Fri,11:30:00 AM,1.11,H
12/17/2021,Fri,5:23:00 PM,0.04,L
12/17/2021,Fri,11:47:00 PM,0.93,H
12/18/2021,Sat,4:50:00 AM,0.01,L
12/18/2021,Sat,12:06:00 PM,1.1,H
12/18/2021,Sat,6:01:00 PM,0.02,L
12/19/2021,Sun,12:25:00 AM,0.94,H
12/19/2021,Sun,5:31:00 AM,-0.01,L
12/19/2021,Sun,12:41:00 PM,1.09,H
12/19/2021,Sun,6:40:00 PM,0.01,L
12/20/2021,Mon,1:02:00 AM,0.93,H
12/20/2021,Mon,6:13:00 AM,-0.01,L
12/20/2021,Mon,1:15:00 PM,1.07,H
12/20/2021,Mon,7:19:00 PM,0.01,L
12/21/2021,Tue,1:40:00 AM,0.92,H
12/21/2021,Tue,6:55:00 AM,0,L
12/21/2021,Tue,1:50:00 PM,1.04,H
12/21/2021,Tue,7:54:00 PM,0.03,L
12/22/2021,Wed,2:19:00 AM,0.89,H
12/22/2021,Wed,7:35:00 AM,0.01,L
12/22/2021,Wed,2:27:00 PM,1.01,H
12/22/2021,Wed,8:27:00 PM,0.04,L
12/23/2021,Thu,3:00:00 AM,0.87,H
12/23/2021,Thu,8:14:00 AM,0.04,L
12/23/2021,Thu,3:08:00 PM,0.98,H
12/23/2021,Thu,8:59:00 PM,0.06,L
12/24/2021,Fri,3:45:00 AM,0.86,H
12/24/2021,Fri,8:55:00 AM,0.07,L
12/24/2021,Fri,3:54:00 PM,0.96,H
12/24/2021,Fri,9:35:00 PM,0.07,L
12/25/2021,Sat,4:33:00 AM,0.88,H
12/25/2021,Sat,9:40:00 AM,0.1,L
12/25/2021,Sat,4:43:00 PM,0.94,H
12/25/2021,Sat,10:17:00 PM,0.07,L
12/26/2021,Sun,5:23:00 AM,0.91,H
12/26/2021,Sun,10:37:00 AM,0.12,L
12/26/2021,Sun,5:35:00 PM,0.92,H
12/26/2021,Sun,11:09:00 PM,0.06,L
12/27/2021,Mon,6:14:00 AM,0.96,H
12/27/2021,Mon,11:49:00 AM,0.13,L
12/27/2021,Mon,6:29:00 PM,0.91,H
12/28/2021,Tue,12:09:00 AM,0.04,L
12/28/2021,Tue,7:09:00 AM,1.03,H
12/28/2021,Tue,1:10:00 PM,0.1,L
12/28/2021,Tue,7:28:00 PM,0.91,H
12/29/2021,Wed,1:11:00 AM,-0.01,L
12/29/2021,Wed,8:09:00 AM,1.11,H
12/29/2021,Wed,2:24:00 PM,0.04,L
12/29/2021,Wed,8:34:00 PM,0.93,H
12/30/2021,Thu,2:10:00 AM,-0.06,L
12/30/2021,Thu,9:12:00 AM,1.2,H
12/30/2021,Thu,3:26:00 PM,-0.03,L
12/30/2021,Thu,9:39:00 PM,0.98,H
12/31/2021,Fri,3:06:00 AM,-0.12,L
12/31/2021,Fri,10:12:00 AM,1.3,H
12/31/2021,Fri,4:22:00 PM,-0.1,L
12/31/2021,Fri,10:38:00 PM,1.05,H
