Date,Day,Time,Pred,High/Low
2/1/2021,Mon,2:54:00 AM,1.11,H
2/1/2021,Mon,8:21:00 AM,-0.14,L
2/1/2021,Mon,3:12:00 PM,1.13,H
2/1/2021,Mon,8:47:00 PM,-0.14,L
2/2/2021,Tue,3:45:00 AM,1.12,H
2/2/2021,Tue,9:08:00 AM,-0.09,L
2/2/2021,Tue,4:04:00 PM,1.07,H
2/2/2021,Tue,9:27:00 PM,-0.11,L
2/3/2021,Wed,4:38:00 AM,1.13,H
2/3/2021,Wed,10:02:00 AM,-0.02,L
2/3/2021,Wed,4:59:00 PM,1.01,H
2/3/2021,Wed,10:14:00 PM,-0.07,L
2/4/2021,Thu,5:34:00 AM,1.12,H
2/4/2021,Thu,11:09:00 AM,0.05,L
2/4/2021,Thu,5:56:00 PM,0.95,H
2/4/2021,Thu,11:10:00 PM,-0.02,L
2/5/2021,Fri,6:32:00 AM,1.12,H
2/5/2021,Fri,12:51:00 PM,0.09,L
2/5/2021,Fri,6:57:00 PM,0.9,H
2/6/2021,Sat,12:19:00 AM,0.02,L
2/6/2021,Sat,7:35:00 AM,1.11,H
2/6/2021,Sat,2:33:00 PM,0.07,L
2/6/2021,Sat,8:04:00 PM,0.88,H
2/7/2021,Sun,1:36:00 AM,0.03,L
2/7/2021,Sun,8:45:00 AM,1.12,H
2/7/2021,Sun,3:38:00 PM,0.04,L
2/7/2021,Sun,9:13:00 PM,0.91,H
2/8/2021,Mon,2:50:00 AM,0.01,L
2/8/2021,Mon,9:51:00 AM,1.16,H
2/8/2021,Mon,4:31:00 PM,0,L
2/8/2021,Mon,10:16:00 PM,0.97,H
2/9/2021,Tue,3:51:00 AM,-0.03,L
2/9/2021,Tue,10:49:00 AM,1.2,H
2/9/2021,Tue,5:18:00 PM,-0.03,L
2/9/2021,Tue,11:10:00 PM,1.04,H
2/10/2021,Wed,4:43:00 AM,-0.07,L
2/10/2021,Wed,11:40:00 AM,1.23,H
2/10/2021,Wed,6:00:00 PM,-0.05,L
2/10/2021,Wed,11:59:00 PM,1.1,H
2/11/2021,Thu,5:32:00 AM,-0.09,L
2/11/2021,Thu,12:27:00 PM,1.24,H
2/11/2021,Thu,6:35:00 PM,-0.06,L
2/12/2021,Fri,12:45:00 AM,1.13,H
2/12/2021,Fri,6:18:00 AM,-0.1,L
2/12/2021,Fri,1:10:00 PM,1.22,H
2/12/2021,Fri,7:04:00 PM,-0.07,L
2/13/2021,Sat,1:29:00 AM,1.14,H
2/13/2021,Sat,7:00:00 AM,-0.1,L
2/13/2021,Sat,1:52:00 PM,1.17,H
2/13/2021,Sat,7:31:00 PM,-0.08,L
2/14/2021,Sun,2:12:00 AM,1.11,H
2/14/2021,Sun,7:40:00 AM,-0.08,L
2/14/2021,Sun,2:33:00 PM,1.09,H
2/14/2021,Sun,8:00:00 PM,-0.07,L
2/15/2021,Mon,2:54:00 AM,1.06,H
2/15/2021,Mon,8:18:00 AM,-0.04,L
2/15/2021,Mon,3:13:00 PM,1,H
2/15/2021,Mon,8:31:00 PM,-0.04,L
2/16/2021,Tue,3:35:00 AM,1.01,H
2/16/2021,Tue,8:57:00 AM,0.01,L
