Date,Day,Time,Pred,High/Low
6/1/2021,Tue,5:20:00 AM,1.16,H
6/1/2021,Tue,11:48:00 AM,0.15,L
6/1/2021,Tue,5:51:00 PM,1.09,H
6/1/2021,Tue,11:48:00 PM,0.23,L
6/2/2021,Wed,6:16:00 AM,1.07,H
6/2/2021,Wed,12:54:00 PM,0.18,L
6/2/2021,Wed,6:48:00 PM,1.07,H
6/3/2021,Thu,1:32:00 AM,0.25,L
6/3/2021,Thu,7:11:00 AM,1,H
6/3/2021,Thu,1:39:00 PM,0.19,L
6/3/2021,Thu,7:45:00 PM,1.07,H
6/4/2021,Fri,2:30:00 AM,0.24,L
6/4/2021,Fri,8:07:00 AM,0.95,H
6/4/2021,Fri,2:10:00 PM,0.18,L
6/4/2021,Fri,8:42:00 PM,1.07,H
6/5/2021,Sat,3:12:00 AM,0.22,L
6/5/2021,Sat,9:04:00 AM,0.92,H
6/5/2021,Sat,2:38:00 PM,0.16,L
6/5/2021,Sat,9:36:00 PM,1.1,H
6/6/2021,Sun,3:47:00 AM,0.19,L
6/6/2021,Sun,9:55:00 AM,0.92,H
6/6/2021,Sun,3:10:00 PM,0.14,L
6/6/2021,Sun,10:22:00 PM,1.12,H
6/7/2021,Mon,4:20:00 AM,0.15,L
6/7/2021,Mon,10:41:00 AM,0.93,H
6/7/2021,Mon,3:46:00 PM,0.11,L
6/7/2021,Mon,11:03:00 PM,1.15,H
6/8/2021,Tue,4:56:00 AM,0.11,L
6/8/2021,Tue,11:21:00 AM,0.95,H
6/8/2021,Tue,4:24:00 PM,0.09,L
6/8/2021,Tue,11:39:00 PM,1.16,H
6/9/2021,Wed,5:35:00 AM,0.09,L
6/9/2021,Wed,12:00:00 PM,0.96,H
6/9/2021,Wed,5:04:00 PM,0.07,L
6/10/2021,Thu,12:14:00 AM,1.16,H
6/10/2021,Thu,6:16:00 AM,0.07,L
6/10/2021,Thu,12:38:00 PM,0.97,H
6/10/2021,Thu,5:45:00 PM,0.07,L
6/11/2021,Fri,12:49:00 AM,1.15,H
6/11/2021,Fri,6:57:00 AM,0.06,L
6/11/2021,Fri,1:16:00 PM,0.97,H
6/11/2021,Fri,6:27:00 PM,0.07,L
6/12/2021,Sat,1:24:00 AM,1.13,H
6/12/2021,Sat,7:35:00 AM,0.07,L
6/12/2021,Sat,1:55:00 PM,0.96,H
6/12/2021,Sat,7:09:00 PM,0.09,L
6/13/2021,Sun,2:02:00 AM,1.11,H
6/13/2021,Sun,8:10:00 AM,0.09,L
6/13/2021,Sun,2:37:00 PM,0.95,H
