Date,Day,Time,Pred,High/Low
11/1/2021,Mon,2:57:00 AM,0.09,L
11/1/2021,Mon,9:16:00 AM,1.09,H
11/1/2021,Mon,3:13:00 PM,0.07,L
11/1/2021,Mon,9:36:00 PM,1.08,H
11/2/2021,Tue,3:33:00 AM,0,L
11/2/2021,Tue,10:08:00 AM,1.22,H
11/2/2021,Tue,4:02:00 PM,-0.02,L
11/2/2021,Tue,10:28:00 PM,1.16,H
11/3/2021,Wed,4:11:00 AM,-0.08,L
11/3/2021,Wed,10:57:00 AM,1.35,H
11/3/2021,Wed,4:49:00 PM,-0.09,L
11/3/2021,Wed,11:18:00 PM,1.22,H
11/4/2021,Thu,4:51:00 AM,-0.14,L
11/4/2021,Thu,11:45:00 AM,1.46,H
11/4/2021,Thu,5:39:00 PM,-0.13,L
11/5/2021,Fri,12:07:00 AM,1.26,H
11/5/2021,Fri,5:34:00 AM,-0.17,L
11/5/2021,Fri,12:33:00 PM,1.52,H
11/5/2021,Fri,6:29:00 PM,-0.15,L
11/6/2021,Sat,12:57:00 AM,1.26,H
11/6/2021,Sat,6:20:00 AM,-0.17,L
11/6/2021,Sat,1:23:00 PM,1.52,H
11/6/2021,Sat,7:21:00 PM,-0.12,L
11/7/2021,Sun,1:49:00 AM,1.23,H
11/7/2021,Sun,7:08:00 AM,-0.14,L
11/7/2021,Sun,2:15:00 PM,1.48,H
11/7/2021,Sun,8:12:00 PM,-0.07,L
11/8/2021,Mon,2:43:00 AM,1.19,H
11/8/2021,Mon,7:57:00 AM,-0.08,L
11/8/2021,Mon,3:11:00 PM,1.4,H
11/8/2021,Mon,9:04:00 PM,0.01,L
11/9/2021,Tue,3:40:00 AM,1.14,H
11/9/2021,Tue,8:48:00 AM,0.01,L
11/9/2021,Tue,4:10:00 PM,1.31,H
11/9/2021,Tue,10:10:00 PM,0.1,L
11/10/2021,Wed,4:41:00 AM,1.09,H
11/10/2021,Wed,9:46:00 AM,0.11,L
11/10/2021,Wed,5:12:00 PM,1.22,H
11/11/2021,Thu,12:03:00 AM,0.15,L
11/11/2021,Thu,5:43:00 AM,1.07,H
11/11/2021,Thu,11:08:00 AM,0.19,L
11/11/2021,Thu,6:14:00 PM,1.15,H
11/12/2021,Fri,1:22:00 AM,0.16,L
11/12/2021,Fri,6:45:00 AM,1.06,H
11/12/2021,Fri,1:34:00 PM,0.21,L
11/12/2021,Fri,7:15:00 PM,1.09,H
11/13/2021,Sat,2:19:00 AM,0.14,L
11/13/2021,Sat,7:48:00 AM,1.07,H
11/13/2021,Sat,2:42:00 PM,0.18,L
11/13/2021,Sat,8:17:00 PM,1.05,H
11/14/2021,Sun,3:01:00 AM,0.13,L
11/14/2021,Sun,8:50:00 AM,1.1,H
11/14/2021,Sun,3:30:00 PM,0.15,L
11/14/2021,Sun,9:16:00 PM,1.04,H
11/15/2021,Mon,3:29:00 AM,0.11,L
11/15/2021,Mon,9:45:00 AM,1.15,H
11/15/2021,Mon,4:08:00 PM,0.13,L
11/15/2021,Mon,10:07:00 PM,1.04,H
11/16/2021,Tue,3:49:00 AM,0.09,L
11/16/2021,Tue,10:33:00 AM,1.19,H
11/16/2021,Tue,4:39:00 PM,0.1,L
11/16/2021,Tue,10:52:00 PM,1.04,H
11/17/2021,Wed,4:12:00 AM,0.06,L
11/17/2021,Wed,11:15:00 AM,1.22,H
11/17/2021,Wed,5:09:00 PM,0.07,L
11/17/2021,Wed,11:33:00 PM,1.04,H
11/18/2021,Thu,4:41:00 AM,0.04,L
11/18/2021,Thu,11:54:00 AM,1.22,H
11/18/2021,Thu,5:41:00 PM,0.05,L
11/19/2021,Fri,12:12:00 AM,1.03,H
11/19/2021,Fri,5:16:00 AM,0.02,L
11/19/2021,Fri,12:30:00 PM,1.2,H
11/19/2021,Fri,6:17:00 PM,0.04,L
11/20/2021,Sat,12:49:00 AM,1.01,H
11/20/2021,Sat,5:54:00 AM,0.02,L
11/20/2021,Sat,1:04:00 PM,1.17,H
11/20/2021,Sat,6:55:00 PM,0.04,L
11/21/2021,Sun,1:27:00 AM,0.98,H
11/21/2021,Sun,6:34:00 AM,0.03,L
11/21/2021,Sun,1:38:00 PM,1.12,H
11/21/2021,Sun,7:33:00 PM,0.06,L
11/22/2021,Mon,2:05:00 AM,0.94,H
11/22/2021,Mon,7:14:00 AM,0.05,L
11/22/2021,Mon,2:13:00 PM,1.06,H
11/22/2021,Mon,8:09:00 PM,0.09,L
11/23/2021,Tue,2:44:00 AM,0.89,H
11/23/2021,Tue,7:53:00 AM,0.09,L
11/23/2021,Tue,2:51:00 PM,1.01,H
11/23/2021,Tue,8:46:00 PM,0.13,L
11/24/2021,Wed,3:27:00 AM,0.85,H
11/24/2021,Wed,8:33:00 AM,0.12,L
11/24/2021,Wed,3:34:00 PM,0.96,H
11/24/2021,Wed,9:24:00 PM,0.17,L
11/25/2021,Thu,4:14:00 AM,0.83,H
