Date,Day,Time,Pred,High/Low
9/1/2021,Wed,2:06:00 AM,0.31,L
9/1/2021,Wed,7:41:00 AM,0.81,H
9/1/2021,Wed,1:11:00 PM,0.27,L
9/1/2021,Wed,8:10:00 PM,0.93,H
9/2/2021,Thu,3:00:00 AM,0.27,L
9/2/2021,Thu,8:43:00 AM,0.83,H
9/2/2021,Thu,2:16:00 PM,0.23,L
9/2/2021,Thu,9:13:00 PM,0.97,H
9/3/2021,Fri,3:43:00 AM,0.22,L
9/3/2021,Fri,9:40:00 AM,0.9,H
9/3/2021,Fri,3:11:00 PM,0.17,L
9/3/2021,Fri,10:04:00 PM,1.04,H
9/4/2021,Sat,4:22:00 AM,0.15,L
9/4/2021,Sat,10:28:00 AM,0.99,H
9/4/2021,Sat,3:59:00 PM,0.1,L
9/4/2021,Sat,10:48:00 PM,1.12,H
9/5/2021,Sun,4:58:00 AM,0.09,L
9/5/2021,Sun,11:12:00 AM,1.09,H
9/5/2021,Sun,4:44:00 PM,0.04,L
9/5/2021,Sun,11:29:00 PM,1.2,H
9/6/2021,Mon,5:33:00 AM,0.03,L
9/6/2021,Mon,11:54:00 AM,1.18,H
9/6/2021,Mon,5:29:00 PM,-0.01,L
9/7/2021,Tue,12:10:00 AM,1.26,H
9/7/2021,Tue,6:07:00 AM,-0.02,L
9/7/2021,Tue,12:36:00 PM,1.26,H
9/7/2021,Tue,6:15:00 PM,-0.04,L
9/8/2021,Wed,12:53:00 AM,1.29,H
9/8/2021,Wed,6:42:00 AM,-0.06,L
9/8/2021,Wed,1:20:00 PM,1.32,H
9/8/2021,Wed,7:01:00 PM,-0.06,L
9/9/2021,Thu,1:38:00 AM,1.29,H
9/9/2021,Thu,7:18:00 AM,-0.08,L
9/9/2021,Thu,2:06:00 PM,1.35,H
9/9/2021,Thu,7:47:00 PM,-0.04,L
9/10/2021,Fri,2:25:00 AM,1.25,H
9/10/2021,Fri,7:56:00 AM,-0.07,L
9/10/2021,Fri,2:55:00 PM,1.36,H
9/10/2021,Fri,8:33:00 PM,0,L
9/11/2021,Sat,3:17:00 AM,1.19,H
9/11/2021,Sat,8:36:00 AM,-0.04,L
9/11/2021,Sat,3:47:00 PM,1.34,H
9/11/2021,Sat,9:22:00 PM,0.07,L
9/12/2021,Sun,4:12:00 AM,1.13,H
9/12/2021,Sun,9:20:00 AM,0.02,L
9/12/2021,Sun,4:43:00 PM,1.31,H
9/12/2021,Sun,10:21:00 PM,0.15,L
9/13/2021,Mon,5:10:00 AM,1.07,H
9/13/2021,Mon,10:12:00 AM,0.1,L
9/13/2021,Mon,5:43:00 PM,1.27,H
9/14/2021,Tue,12:01:00 AM,0.21,L
9/14/2021,Tue,6:11:00 AM,1.03,H
9/14/2021,Tue,11:18:00 AM,0.17,L
9/14/2021,Tue,6:45:00 PM,1.23,H
9/15/2021,Wed,1:56:00 AM,0.21,L
9/15/2021,Wed,7:14:00 AM,1.02,H
9/15/2021,Wed,12:46:00 PM,0.2,L
9/15/2021,Wed,7:52:00 PM,1.21,H
9/16/2021,Thu,3:01:00 AM,0.18,L
9/16/2021,Thu,8:22:00 AM,1.04,H
9/16/2021,Thu,2:26:00 PM,0.18,L
9/16/2021,Thu,9:01:00 PM,1.22,H
9/17/2021,Fri,3:52:00 AM,0.15,L
9/17/2021,Fri,9:28:00 AM,1.1,H
9/17/2021,Fri,3:32:00 PM,0.13,L
9/17/2021,Fri,10:03:00 PM,1.26,H
9/18/2021,Sat,4:33:00 AM,0.11,L
9/18/2021,Sat,10:26:00 AM,1.18,H
9/18/2021,Sat,4:21:00 PM,0.09,L
