Date,Day,Time,Pred(Ft),Pred(cm),High/Low
1/1/2023,Sun,1:29:00 AM,0.26,8,L
1/1/2023,Sun,8:13:00 AM,3.53,108,H
1/1/2023,Sun,3:12:00 PM,0.39,12,L
1/1/2023,Sun,8:35:00 PM,2.83,86,H
1/2/2023,Mon,2:13:00 AM,0.27,8,L
1/2/2023,Mon,9:15:00 AM,3.52,107,H
1/2/2023,Mon,3:59:00 PM,0.34,10,L
1/2/2023,Mon,9:36:00 PM,2.81,86,H
1/3/2023,Tue,2:54:00 AM,0.25,8,L
1/3/2023,Tue,10:10:00 AM,3.54,108,H
1/3/2023,Tue,4:37:00 PM,0.3,9,L
1/3/2023,Tue,10:29:00 PM,2.87,87,H
1/4/2023,Wed,3:35:00 AM,0.19,6,L
1/4/2023,Wed,10:58:00 AM,3.56,109,H
1/4/2023,Wed,5:10:00 PM,0.24,7,L
1/4/2023,Wed,11:15:00 PM,2.95,90,H
1/5/2023,Thu,4:16:00 AM,0.1,3,L
1/5/2023,Thu,11:42:00 AM,3.57,109,H
1/5/2023,Thu,5:44:00 PM,0.18,5,L
1/5/2023,Thu,11:58:00 PM,3.03,92,H
1/6/2023,Fri,4:59:00 AM,0.02,1,L
1/6/2023,Fri,12:21:00 PM,3.55,108,H
1/6/2023,Fri,6:19:00 PM,0.11,3,L
1/7/2023,Sat,12:38:00 AM,3.06,93,H
1/7/2023,Sat,5:43:00 AM,-0.04,-1,L
1/7/2023,Sat,12:59:00 PM,3.5,107,H
1/7/2023,Sat,6:55:00 PM,0.06,2,L
1/8/2023,Sun,1:17:00 AM,3.05,93,H
1/8/2023,Sun,6:28:00 AM,-0.08,-2,L
1/8/2023,Sun,1:34:00 PM,3.41,104,H
1/8/2023,Sun,7:30:00 PM,0.04,1,L
1/9/2023,Mon,1:54:00 AM,3,91,H
1/9/2023,Mon,7:11:00 AM,-0.07,-2,L
1/9/2023,Mon,2:08:00 PM,3.29,100,H
1/9/2023,Mon,8:03:00 PM,0.05,2,L
1/10/2023,Tue,2:32:00 AM,2.94,90,H
1/10/2023,Tue,7:51:00 AM,-0.01,0,L
1/10/2023,Tue,2:42:00 PM,3.16,96,H
1/10/2023,Tue,8:33:00 PM,0.08,2,L
1/11/2023,Wed,3:11:00 AM,2.87,87,H
1/11/2023,Wed,8:30:00 AM,0.09,3,L
1/11/2023,Wed,3:19:00 PM,3.01,92,H
1/11/2023,Wed,9:03:00 PM,0.12,4,L
1/12/2023,Thu,3:52:00 AM,2.84,87,H
1/12/2023,Thu,9:10:00 AM,0.22,7,L
1/12/2023,Thu,3:59:00 PM,2.86,87,H
1/12/2023,Thu,9:34:00 PM,0.16,5,L
1/13/2023,Fri,4:34:00 AM,2.85,87,H
1/13/2023,Fri,9:54:00 AM,0.35,11,L
1/13/2023,Fri,4:43:00 PM,2.73,83,H
1/13/2023,Fri,10:11:00 PM,0.18,5,L
1/14/2023,Sat,5:19:00 AM,2.92,89,H
1/14/2023,Sat,10:47:00 AM,0.45,14,L
1/14/2023,Sat,5:31:00 PM,2.63,80,H
1/14/2023,Sat,10:56:00 PM,0.19,6,L
1/15/2023,Sun,6:07:00 AM,3.03,92,H
1/15/2023,Sun,11:55:00 AM,0.49,15,L
1/15/2023,Sun,6:23:00 PM,2.57,78,H
1/15/2023,Sun,11:53:00 PM,0.17,5,L
1/16/2023,Mon,6:59:00 AM,3.16,96,H
1/16/2023,Mon,1:15:00 PM,0.42,13,L
1/16/2023,Mon,7:22:00 PM,2.56,78,H
1/17/2023,Tue,12:56:00 AM,0.09,3,L
1/17/2023,Tue,8:00:00 AM,3.34,102,H
1/17/2023,Tue,2:30:00 PM,0.24,7,L
1/17/2023,Tue,8:30:00 PM,2.65,81,H
1/18/2023,Wed,2:01:00 AM,-0.07,-2,L
1/18/2023,Wed,9:07:00 AM,3.59,109,H
1/18/2023,Wed,3:31:00 PM,0.01,0,L
1/18/2023,Wed,9:37:00 PM,2.88,88,H
1/19/2023,Thu,3:03:00 AM,-0.28,-9,L
1/19/2023,Thu,10:10:00 AM,3.91,119,H
1/19/2023,Thu,4:26:00 PM,-0.21,-6,L
1/19/2023,Thu,10:37:00 PM,3.2,98,H
1/20/2023,Fri,4:01:00 AM,-0.5,-15,L
1/20/2023,Fri,11:07:00 AM,4.23,129,H
1/20/2023,Fri,5:19:00 PM,-0.4,-12,L
1/20/2023,Fri,11:32:00 PM,3.53,108,H
1/21/2023,Sat,4:58:00 AM,-0.68,-21,L
1/21/2023,Sat,12:01:00 PM,4.47,136,H
1/21/2023,Sat,6:12:00 PM,-0.55,-17,L
1/22/2023,Sun,12:25:00 AM,3.81,116,H
