Date,Day,Time,Pred(Ft),Pred(cm),High/Low
1/1/2022,Sat,4:15:00 AM,-0.52,-16,L
1/1/2022,Sat,11:18:00 AM,4.97,151,H
1/1/2022,Sat,5:20:00 PM,-0.44,-13,L
1/1/2022,Sat,11:43:00 PM,3.88,118,H
1/2/2022,Sun,5:10:00 AM,-0.58,-18,L
1/2/2022,Sun,12:07:00 PM,5.02,153,H
1/2/2022,Sun,6:19:00 PM,-0.53,-16,L
1/3/2022,Mon,12:35:00 AM,3.97,121,H
1/3/2022,Mon,6:07:00 AM,-0.57,-17,L
1/3/2022,Mon,12:59:00 PM,4.96,151,H
1/3/2022,Mon,7:20:00 PM,-0.6,-18,L
1/4/2022,Tue,1:29:00 AM,4.02,123,H
1/4/2022,Tue,7:09:00 AM,-0.52,-16,L
1/4/2022,Tue,1:52:00 PM,4.81,147,H
1/4/2022,Tue,8:07:00 PM,-0.63,-19,L
1/5/2022,Wed,2:22:00 AM,4.05,123,H
1/5/2022,Wed,8:04:00 AM,-0.44,-13,L
1/5/2022,Wed,2:43:00 PM,4.59,140,H
1/5/2022,Wed,8:46:00 PM,-0.57,-17,L
1/6/2022,Thu,3:13:00 AM,4.03,123,H
1/6/2022,Thu,8:50:00 AM,-0.27,-8,L
1/6/2022,Thu,3:33:00 PM,4.3,131,H
1/6/2022,Thu,9:22:00 PM,-0.41,-12,L
1/7/2022,Fri,4:07:00 AM,3.97,121,H
1/7/2022,Fri,9:35:00 AM,0,0,L
1/7/2022,Fri,4:27:00 PM,3.97,121,H
1/7/2022,Fri,10:03:00 PM,-0.18,-5,L
1/8/2022,Sat,5:02:00 AM,3.9,119,H
1/8/2022,Sat,10:33:00 AM,0.3,9,L
1/8/2022,Sat,5:22:00 PM,3.66,112,H
1/8/2022,Sat,10:58:00 PM,0.07,2,L
1/9/2022,Sun,5:57:00 AM,3.84,117,H
1/9/2022,Sun,12:57:00 PM,0.47,14,L
1/9/2022,Sun,6:15:00 PM,3.39,103,H
1/10/2022,Mon,12:14:00 AM,0.25,8,L
1/10/2022,Mon,6:47:00 AM,3.77,115,H
1/10/2022,Mon,2:15:00 PM,0.48,15,L
1/10/2022,Mon,7:06:00 PM,3.15,96,H
1/11/2022,Tue,1:11:00 AM,0.38,12,L
1/11/2022,Tue,7:39:00 AM,3.69,112,H
1/11/2022,Tue,3:25:00 PM,0.43,13,L
1/11/2022,Tue,8:02:00 PM,2.94,90,H
1/12/2022,Wed,2:02:00 AM,0.48,15,L
1/12/2022,Wed,8:37:00 AM,3.64,111,H
1/12/2022,Wed,4:21:00 PM,0.36,11,L
1/12/2022,Wed,9:05:00 PM,2.86,87,H
1/13/2022,Thu,3:56:00 AM,0.52,16,L
1/13/2022,Thu,9:36:00 AM,3.69,112,H
1/13/2022,Thu,5:08:00 PM,0.32,10,L
1/13/2022,Thu,10:01:00 PM,2.9,88,H
1/14/2022,Fri,4:03:00 AM,0.53,16,L
1/14/2022,Fri,10:24:00 AM,3.8,116,H
1/14/2022,Fri,5:53:00 PM,0.3,9,L
1/14/2022,Fri,10:46:00 PM,2.98,91,H
1/15/2022,Sat,4:08:00 AM,0.48,15,L
1/15/2022,Sat,11:05:00 AM,3.9,119,H
1/15/2022,Sat,6:38:00 PM,0.3,9,L
1/15/2022,Sat,11:26:00 PM,3.06,93,H
1/16/2022,Sun,4:37:00 AM,0.4,12,L
1/16/2022,Sun,11:43:00 AM,3.96,121,H
1/16/2022,Sun,7:14:00 PM,0.3,9,L
1/17/2022,Mon,12:05:00 AM,3.12,95,H
1/17/2022,Mon,5:11:00 AM,0.3,9,L
1/17/2022,Mon,12:21:00 PM,3.98,121,H
1/17/2022,Mon,6:19:00 PM,0.24,7,L
1/18/2022,Tue,12:45:00 AM,3.19,97,H
1/18/2022,Tue,5:51:00 AM,0.18,5,L
1/18/2022,Tue,1:02:00 PM,3.98,121,H
1/18/2022,Tue,6:47:00 PM,0.08,2,L
1/19/2022,Wed,1:27:00 AM,3.27,100,H
1/19/2022,Wed,6:35:00 AM,0.06,2,L
1/19/2022,Wed,1:43:00 PM,3.96,121,H
1/19/2022,Wed,7:21:00 PM,-0.11,-3,L
1/20/2022,Thu,2:09:00 AM,3.39,103,H
1/20/2022,Thu,7:21:00 AM,-0.09,-3,L
1/20/2022,Thu,2:23:00 PM,3.92,119,H
1/20/2022,Thu,7:56:00 PM,-0.3,-9,L
1/21/2022,Fri,2:50:00 AM,3.52,107,H
1/21/2022,Fri,8:05:00 AM,-0.21,-6,L
1/21/2022,Fri,3:05:00 PM,3.83,117,H
1/21/2022,Fri,8:32:00 PM,-0.45,-14,L
1/22/2022,Sat,3:33:00 AM,3.64,111,H
1/22/2022,Sat,8:47:00 AM,-0.26,-8,L
1/22/2022,Sat,3:49:00 PM,3.7,113,H
1/22/2022,Sat,9:09:00 PM,-0.52,-16,L
1/23/2022,Sun,4:21:00 AM,3.75,114,H
1/23/2022,Sun,9:31:00 AM,-0.21,-6,L
1/23/2022,Sun,4:40:00 PM,3.54,108,H
1/23/2022,Sun,9:51:00 PM,-0.49,-15,L
1/24/2022,Mon,5:15:00 AM,3.87,118,H
1/24/2022,Mon,10:25:00 AM,-0.07,-2,L
1/24/2022,Mon,5:35:00 PM,3.4,104,H
1/24/2022,Mon,10:43:00 PM,-0.39,-12,L
1/25/2022,Tue,6:09:00 AM,3.98,121,H
1/25/2022,Tue,11:33:00 AM,0.06,2,L
1/25/2022,Tue,6:30:00 PM,3.28,100,H
1/25/2022,Tue,11:46:00 PM,-0.3,-9,L
1/26/2022,Wed,7:03:00 AM,4.07,124,H
1/26/2022,Wed,12:43:00 PM,0.1,3,L
1/26/2022,Wed,7:27:00 PM,3.19,97,H
1/27/2022,Thu,12:49:00 AM,-0.26,-8,L
1/27/2022,Thu,8:04:00 AM,4.14,126,H
1/27/2022,Thu,1:51:00 PM,0.08,2,L
1/27/2022,Thu,8:34:00 PM,3.17,97,H
1/28/2022,Fri,1:51:00 AM,-0.24,-7,L
