Year Day,Temperature C,SalinityConst,pHConstSal,Battery Voltage,DateStr,TimeStr,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated)
191.7917,24.4,35.0,7.9216,11.58,2020-07-09,19:00:00,2020-07-10 19:00:02,11.65237,7/10/2020 19:00,29.8,2036.08
191.8333,24.74,35.0,7.9336,11.66,2020-07-09,19:59:59,2020-07-10 19:59:57,11.65237,7/10/2020 20:00,29.8,2036.08
191.875,24.74,35.0,7.9452,11.7,2020-07-09,20:59:59,2020-07-10 21:00:00,11.65237,7/10/2020 21:00,29.8,2036.08
191.9167,24.87,35.0,7.9387,11.72,2020-07-09,21:59:59,2020-07-10 22:00:02,11.65237,7/10/2020 22:00,29.8,2036.08
191.9583,24.92,35.0,7.9414,11.73,2020-07-09,22:59:59,2020-07-10 22:59:57,11.65237,7/10/2020 23:00,29.7,2030.62
192.0,24.95,35.0,7.8858,11.74,2020-07-09,23:59:59,2020-07-11 00:00:00,11.65237,7/11/2020 0:00,29.8,2036.08
192.0417,25.26,35.0,7.7628,11.74,2020-07-10,00:59:59,2020-07-11 01:00:02,11.65237,7/11/2020 1:00,30.0,2047.0
192.1667,23.91,35.0,7.8611,11.74,2020-07-10,03:59:59,2020-07-11 04:00:02,11.65237,7/11/2020 4:00,28.9,1986.94
192.2083,23.45,35.0,7.86,11.74,2020-07-10,04:59:59,2020-07-11 04:59:57,11.65237,7/11/2020 5:00,28.9,1986.94
192.25,23.5,35.0,7.8395,11.73,2020-07-10,05:59:59,2020-07-11 06:00:00,11.65237,7/11/2020 6:00,29.0,1992.4
192.2917,23.75,35.0,7.8384,11.73,2020-07-10,06:59:59,2020-07-11 07:00:02,11.65237,7/11/2020 7:00,29.2,2003.32
192.3333,23.86,35.0,7.8161,11.73,2020-07-10,07:59:59,2020-07-11 07:59:57,11.65237,7/11/2020 8:00,29.5,2019.7
192.375,23.68,35.0,7.8445,11.73,2020-07-10,08:59:59,2020-07-11 09:00:00,11.65237,7/11/2020 9:00,30.0,2047.0
192.4167,23.6,35.0,7.8278,11.73,2020-07-10,09:59:59,2020-07-11 10:00:02,11.65237,7/11/2020 10:00,30.0,2047.0
192.4583,23.7,35.0,7.7998,11.73,2020-07-10,10:59:59,2020-07-11 10:59:57,11.65237,7/11/2020 11:00,30.1,2052.46
192.5,23.75,35.0,7.7393,11.73,2020-07-10,11:59:59,2020-07-11 12:00:00,11.65237,7/11/2020 12:00,30.1,2052.46
192.5417,23.83,35.0,7.6098,11.73,2020-07-10,12:59:59,2020-07-11 13:00:02,11.65237,7/11/2020 13:00,30.1,2052.46
192.6667,24.27,35.0,7.6692,11.73,2020-07-10,15:59:59,2020-07-11 16:00:02,11.65237,7/11/2020 16:00,29.9,2041.54
192.7083,24.3,35.0,7.9146,11.73,2020-07-10,16:59:59,2020-07-11 16:59:57,11.65237,7/11/2020 17:00,29.8,2036.08
192.75,24.45,35.0,7.9596,11.73,2020-07-10,17:59:59,2020-07-11 18:00:00,11.65237,7/11/2020 18:00,30.0,2047.0
192.7917,24.48,35.0,7.964,11.72,2020-07-10,18:59:59,2020-07-11 19:00:02,11.65237,7/11/2020 19:00,30.0,2047.0
192.8333,24.58,35.0,7.9583,11.72,2020-07-10,19:59:59,2020-07-11 19:59:57,11.65237,7/11/2020 20:00,29.9,2041.54
192.875,24.48,35.0,7.9435,11.72,2020-07-10,20:59:59,2020-07-11 21:00:00,11.65237,7/11/2020 21:00,29.9,2041.54
192.9167,24.35,35.0,7.9176,11.72,2020-07-10,21:59:59,2020-07-11 22:00:02,11.65237,7/11/2020 22:00,29.9,2041.54
192.9583,24.37,35.0,8.0126,11.72,2020-07-10,22:59:59,2020-07-11 22:59:57,11.65237,7/11/2020 23:00,30.0,2047.0
193.0,24.48,35.0,7.9232,11.71,2020-07-10,23:59:59,2020-07-12 00:00:00,11.65237,7/12/2020 0:00,30.0,2047.0
193.0417,24.48,35.0,7.8802,11.71,2020-07-11,00:59:59,2020-07-12 01:00:02,11.65237,7/12/2020 1:00,30.0,2047.0
193.0833,24.53,35.0,7.7774,11.7,2020-07-11,01:59:59,2020-07-12 01:59:57,11.65237,7/12/2020 2:00,30.0,2047.0
193.125,24.63,35.0,7.5694,11.7,2020-07-11,02:59:59,2020-07-12 03:00:00,11.65237,7/12/2020 3:00,30.0,2047.0
193.1667,24.61,35.0,7.5178,11.7,2020-07-11,03:59:59,2020-07-12 04:00:02,11.65237,7/12/2020 4:00,30.0,2047.0
