Time (America/New_York),Battery,Air Temperature,Relative Humidity,Rel. Barometric Pressure,Wind Speed,Max Wind Sp,Wind Direction,Wet Bulb Temperature,Precip Type,Rain Intensity,Total Rain,Interval Rain,Solar Rad,Heading,Temperature,pH,Sp Cond,Depth,Chlorophyll,DO,DOSat,pH mV,Internal Bat,DateTime (UTC),Conductivity,Salinity
06-15-2018 10:30:00,13.1,12.9,79.0,1013.9,2.1,4.6,43.0,11.0,60.0,0.0,0.1,0.0,238.0,185.0,12.2,7.82,47270.0,0.59,4.7,8.63,97.1,-49.5,0.1,2018-06-15 14:30:00,35168.88,30.17
06-15-2018 10:45:00,13.2,13.2,77.0,1014.1,0.7,2.9,59.0,11.0,0.0,0.0,0.1,0.0,337.0,180.0,12.4,7.8,47150.0,0.7,4.2,8.64,97.6,-48.1,0.1,2018-06-15 14:45:00,35268.2,30.103
06-15-2018 11:00:00,13.4,12.9,78.0,1014.3,1.6,2.9,58.0,10.8,0.0,0.0,0.1,0.0,233.0,184.0,12.39,7.8,47110.0,0.75,5.5,8.66,97.8,-48.2,0.0,2018-06-15 15:00:00,35228.858,30.074
06-15-2018 11:15:00,13.5,13.0,80.0,1014.4,1.6,3.3,65.0,11.1,0.0,0.0,0.1,0.0,257.0,185.0,12.35,7.8,47130.0,0.77,4.9,8.64,97.5,-48.3,0.0,2018-06-15 15:15:00,35206.11,30.085
06-15-2018 11:30:00,14.6,12.8,81.0,1014.5,2.3,3.8,87.0,11.0,0.0,0.0,0.1,0.0,430.0,191.0,12.62,7.8,47070.0,0.71,3.7,8.66,98.2,-48.4,0.0,2018-06-15 15:30:00,35415.468,30.067
06-15-2018 11:45:00,14.5,12.7,81.0,1014.5,3.1,4.2,84.0,10.9,0.0,0.0,0.1,0.0,530.0,200.0,12.62,7.81,47050.0,0.73,3.3,8.68,98.4,-48.5,0.0,2018-06-15 15:45:00,35400.42,30.052
06-15-2018 12:00:00,14.5,12.8,79.0,1014.5,2.9,3.9,82.0,10.9,0.0,0.0,0.1,0.0,514.0,199.0,12.6,7.8,47150.0,0.74,3.5,8.69,98.6,-48.4,0.0,2018-06-15 16:00:00,35456.8,30.121
06-15-2018 12:15:00,14.5,13.0,79.0,1014.5,3.1,4.5,78.0,11.1,0.0,0.0,0.1,0.0,668.0,196.0,12.51,7.81,47110.0,0.7,3.3,8.67,98.2,-48.5,0.0,2018-06-15 16:15:00,35341.922,30.085
06-15-2018 12:30:00,14.5,12.9,81.0,1014.4,3.6,5.1,99.0,11.1,0.0,0.0,0.1,0.0,727.0,195.0,12.48,7.81,47140.0,0.66,3.2,8.68,98.2,-48.7,0.0,2018-06-15 16:30:00,35336.144,30.104
06-15-2018 12:45:00,14.6,12.9,81.0,1014.4,3.2,4.8,87.0,11.1,0.0,0.0,0.1,0.0,634.0,194.0,12.36,7.81,47090.0,0.75,3.1,8.67,97.9,-48.5,0.0,2018-06-15 16:45:00,35185.648,30.057
06-15-2018 13:00:00,14.6,13.0,80.0,1014.3,3.2,4.8,85.0,11.1,0.0,0.0,0.1,0.0,530.0,201.0,12.19,7.8,47140.0,0.78,3.4,8.68,97.6,-48.2,0.0,2018-06-15 17:00:00,35062.732,30.077
06-15-2018 13:15:00,14.6,12.9,80.0,1014.1,3.8,5.6,82.0,11.0,0.0,0.0,0.1,0.0,526.0,209.0,12.29,7.8,47170.0,0.72,3.6,8.73,98.4,-48.4,0.0,2018-06-15 17:15:00,35179.386,30.107
06-15-2018 13:30:00,14.6,12.9,80.0,1014.1,3.0,4.3,78.0,11.0,0.0,0.0,0.1,0.0,306.0,208.0,12.25,7.81,47300.0,0.69,5.2,8.77,98.8,-48.5,0.0,2018-06-15 17:30:00,35238.5,30.196
06-15-2018 13:45:00,14.6,12.8,82.0,1014.1,2.8,4.3,90.0,11.2,0.0,0.1,0.1,0.0,281.0,239.0,12.34,7.81,47170.0,0.73,5.8,8.76,98.8,-48.6,0.0,2018-06-15 17:45:00,35226.556000000004,30.112
06-15-2018 14:00:00,14.6,12.8,83.0,1014.1,2.6,4.4,57.0,11.2,60.0,0.5,0.2,0.1,403.0,237.0,12.34,7.81,47170.0,0.72,4.9,8.77,99.0,-48.9,0.0,2018-06-15 18:00:00,35226.556000000004,30.112
06-15-2018 14:15:00,14.6,12.7,84.0,1014.2,2.2,3.7,59.0,11.2,0.0,0.0,0.2,0.1,327.0,187.0,12.66,7.81,47060.0,0.73,5.0,8.83,100.3,-49.0,0.0,2018-06-15 18:15:00,35445.592,30.063
06-15-2018 14:30:00,14.6,12.8,85.0,1014.3,2.3,3.5,72.0,11.4,0.0,0.0,0.2,0.0,658.0,185.0,12.8,7.82,47060.0,0.77,3.2,8.84,100.7,-49.1,0.0,2018-06-15 18:30:00,35577.36,30.075
06-15-2018 14:45:00,14.6,12.8,84.0,1014.2,2.7,3.8,87.0,11.3,0.0,0.0,0.2,0.0,807.0,191.0,13.18,7.81,47020.0,0.78,2.9,8.77,100.7,-49.0,0.0,2018-06-15 18:45:00,35904.472,30.08
06-15-2018 15:00:00,14.6,12.9,84.0,1014.2,2.6,3.5,79.0,11.3,0.0,0.0,0.2,0.0,556.0,193.0,12.55,7.81,47130.0,0.71,3.5,8.8,99.7,-48.8,0.0,2018-06-15 19:00:00,35394.63,30.103
06-15-2018 15:15:00,14.6,13.2,83.0,1014.4,1.7,3.0,95.0,11.5,0.0,0.0,0.2,0.0,594.0,199.0,13.4,7.81,47000.0,0.73,2.8,8.73,100.7,-48.8,0.0,2018-06-15 19:15:00,36096.0,30.084
06-15-2018 15:30:00,14.6,13.3,82.0,1014.4,1.9,3.4,47.0,11.6,0.0,0.0,0.2,0.0,753.0,195.0,12.87,7.82,47060.0,0.75,3.4,8.83,100.7,-49.3,0.0,2018-06-15 19:30:00,35643.244,30.082
06-15-2018 15:45:00,14.6,13.1,82.0,1014.2,2.5,3.5,81.0,11.4,0.0,0.0,0.2,0.0,703.0,192.0,12.82,7.82,47030.0,0.74,3.7,8.87,101.0,-49.4,0.0,2018-06-15 19:45:00,35573.492,30.056
06-15-2018 16:00:00,14.7,13.2,82.0,1014.3,2.0,3.3,102.0,11.5,0.0,0.0,0.2,0.0,659.0,193.0,12.97,7.82,47080.0,0.7,3.8,8.9,101.8,-49.6,0.0,2018-06-15 20:00:00,35752.552,30.104
06-15-2018 16:15:00,14.6,13.2,82.0,1014.4,2.6,3.2,117.0,11.7,0.0,0.0,0.2,0.0,622.0,191.0,12.91,7.83,47000.0,0.73,4.2,8.92,101.8,-49.7,0.0,2018-06-15 20:15:00,35635.4,30.042
06-15-2018 16:30:00,14.6,13.4,83.0,1014.4,2.7,3.7,99.0,11.8,0.0,0.0,0.2,0.0,583.0,186.0,12.88,7.83,47030.0,0.71,4.0,8.91,101.6,-49.7,0.0,2018-06-15 20:30:00,35629.928,30.061
06-15-2018 16:45:00,14.7,13.1,84.0,1014.4,2.7,3.4,119.0,11.6,0.0,0.0,0.2,0.0,541.0,191.0,12.91,7.82,47060.0,0.71,4.2,8.9,101.6,-49.7,0.0,2018-06-15 20:45:00,35680.892,30.085
06-15-2018 17:00:00,14.7,13.5,84.0,1014.5,1.9,2.5,121.0,12.1,0.0,0.0,0.2,0.0,501.0,184.0,12.84,7.82,47140.0,0.74,4.2,8.91,101.6,-49.6,0.0,2018-06-15 21:00:00,35675.552,30.136
06-15-2018 17:15:00,14.6,13.6,85.0,1014.4,1.9,2.5,122.0,12.2,0.0,0.0,0.2,0.0,461.0,181.0,13.11,7.83,47110.0,0.77,4.1,8.91,102.2,-49.8,0.0,2018-06-15 21:15:00,35907.242,30.138
06-15-2018 17:30:00,14.7,13.6,84.0,1014.2,1.7,2.1,127.0,12.1,0.0,0.0,0.2,0.0,410.0,203.0,13.26,7.83,47060.0,0.6,4.0,8.93,102.7,-49.9,0.0,2018-06-15 21:30:00,36010.312,30.115
06-15-2018 17:45:00,14.6,14.3,82.0,1014.2,2.3,3.2,109.0,12.5,0.0,0.0,0.2,0.0,381.0,191.0,12.82,7.82,47090.0,0.7,4.4,8.88,101.1,-49.6,0.0,2018-06-15 21:45:00,35618.876,30.098
06-15-2018 18:00:00,14.7,13.9,85.0,1014.3,2.1,2.8,104.0,12.4,0.0,0.0,0.2,0.0,337.0,176.0,12.76,7.82,47070.0,0.67,5.1,8.9,101.2,-49.4,0.0,2018-06-15 22:00:00,35547.263999999996,30.079
06-15-2018 18:15:00,14.6,14.4,84.0,1014.4,2.0,2.7,110.0,12.8,0.0,0.0,0.2,0.0,298.0,175.0,13.0,7.82,47080.0,0.74,5.8,8.86,101.3,-49.2,0.0,2018-06-15 22:15:00,35780.8,30.107
06-15-2018 18:30:00,14.6,14.4,84.0,1014.5,2.0,2.8,148.0,12.8,0.0,0.0,0.2,0.0,264.0,214.0,13.44,7.81,46990.0,0.69,6.2,8.8,101.5,-49.1,0.0,2018-06-15 22:30:00,36125.912,30.08
06-15-2018 18:45:00,14.6,14.6,84.0,1014.5,1.6,2.1,91.0,13.0,0.0,0.0,0.2,0.0,235.0,165.0,12.92,7.82,47010.0,0.73,7.2,8.89,101.4,-49.6,0.0,2018-06-15 22:45:00,35652.384,30.05
06-15-2018 19:00:00,14.7,14.6,84.0,1014.5,1.6,2.2,164.0,13.0,0.0,0.0,0.2,0.0,237.0,39.0,12.73,7.82,47100.0,0.74,9.0,8.89,101.0,-49.4,0.0,2018-06-15 23:00:00,35541.659999999996,30.098
06-15-2018 19:15:00,14.6,14.7,82.0,1014.4,1.5,2.1,124.0,13.0,0.0,0.0,0.2,0.0,200.0,23.0,12.77,7.82,47180.0,0.67,8.1,8.91,101.5,-49.5,0.0,2018-06-15 23:15:00,35639.772,30.158
