Time (America/New_York),Battery,Air Temperature,Relative Humidity,Rel. Barometric Pressure,Wind Speed,Max Wind Sp,Wind Direction,Wet Bulb Temperature,Precip Type,Rain Intensity,Total Rain,Interval Rain,Solar Rad,Heading,Temperature,pH,Sp Cond,Depth,Chlorophyll,DO,DOSat,pH mV,Internal Bat,DateTime (UTC),Conductivity,Salinity
6/15/2018 12:00,14.5,12.8,79,1014.5,2.9,3.9,82,10.9,0,0,0.1,0,514,199,12.6,7.8,47150,0.74,3.5,8.69,98.6,-48.4,0,6/15/2018 16:00,35456.8,30.121
6/15/2018 12:15,14.5,13,79,1014.5,3.1,4.5,78,11.1,0,0,0.1,0,668,196,12.51,7.81,47110,0.7,3.3,8.67,98.2,-48.5,0,6/15/2018 16:15,35341.922,30.085
6/15/2018 12:30,14.5,12.9,81,1014.4,3.6,5.1,99,11.1,0,0,0.1,0,727,195,12.48,7.81,47140,0.66,3.2,8.68,98.2,-48.7,0,6/15/2018 16:30,35336.144,30.104
6/15/2018 12:45,14.6,12.9,81,1014.4,3.2,4.8,87,11.1,0,0,0.1,0,634,194,12.36,7.81,47090,0.75,3.1,8.67,97.9,-48.5,0,6/15/2018 16:45,35185.648,30.057
6/15/2018 13:00,14.6,13,80,1014.3,3.2,4.8,85,11.1,0,0,0.1,0,530,201,12.19,7.8,47140,0.78,3.4,8.68,97.6,-48.2,0,6/15/2018 17:00,35062.732,30.077
6/15/2018 13:15,14.6,12.9,80,1014.1,3.8,5.6,82,11,0,0,0.1,0,526,209,12.29,7.8,47170,0.72,3.6,8.73,98.4,-48.4,0,6/15/2018 17:15,35179.386,30.107
6/15/2018 13:30,14.6,12.9,80,1014.1,3,4.3,78,11,0,0,0.1,0,306,208,12.25,7.81,47300,0.69,5.2,8.77,98.8,-48.5,0,6/15/2018 17:30,35238.5,30.196
6/15/2018 13:45,14.6,12.8,82,1014.1,2.8,4.3,90,11.2,0,0.1,0.1,0,281,239,12.34,7.81,47170,0.73,5.8,8.76,98.8,-48.6,0,6/15/2018 17:45,35226.556,30.112
6/15/2018 14:00,14.6,12.8,83,1014.1,2.6,4.4,57,11.2,60,0.5,0.2,0.1,403,237,12.34,7.81,47170,0.72,4.9,8.77,99,-48.9,0,6/15/2018 18:00,35226.556,30.112
6/15/2018 14:15,14.6,12.7,84,1014.2,2.2,3.7,59,11.2,0,0,0.2,0.1,327,187,12.66,7.81,47060,0.73,5,8.83,100.3,-49,0,6/15/2018 18:15,35445.592,30.063
6/15/2018 14:30,14.6,12.8,85,1014.3,2.3,3.5,72,11.4,0,0,0.2,0,658,185,12.8,7.82,47060,0.77,3.2,8.84,100.7,-49.1,0,6/15/2018 18:30,35577.36,30.075
6/15/2018 14:45,14.6,12.8,84,1014.2,2.7,3.8,87,11.3,0,0,0.2,0,807,191,13.18,7.81,47020,0.78,2.9,8.77,100.7,-49,0,6/15/2018 18:45,35904.472,30.08
6/15/2018 15:00,14.6,12.9,84,1014.2,2.6,3.5,79,11.3,0,0,0.2,0,556,193,12.55,7.81,47130,0.71,3.5,8.8,99.7,-48.8,0,6/15/2018 19:00,35394.63,30.103
6/15/2018 15:15,14.6,13.2,83,1014.4,1.7,3,95,11.5,0,0,0.2,0,594,199,13.4,7.81,47000,0.73,2.8,8.73,100.7,-48.8,0,6/15/2018 19:15,36096,30.084
6/15/2018 15:30,14.6,13.3,82,1014.4,1.9,3.4,47,11.6,0,0,0.2,0,753,195,12.87,7.82,47060,0.75,3.4,8.83,100.7,-49.3,0,6/15/2018 19:30,35643.244,30.082
6/15/2018 15:45,14.6,13.1,82,1014.2,2.5,3.5,81,11.4,0,0,0.2,0,703,192,12.82,7.82,47030,0.74,3.7,8.87,101,-49.4,0,6/15/2018 19:45,35573.492,30.056
6/15/2018 16:00,14.7,13.2,82,1014.3,2,3.3,102,11.5,0,0,0.2,0,659,193,12.97,7.82,47080,0.7,3.8,8.9,101.8,-49.6,0,6/15/2018 20:00,35752.552,30.104
6/15/2018 16:15,14.6,13.2,82,1014.4,2.6,3.2,117,11.7,0,0,0.2,0,622,191,12.91,7.83,47000,0.73,4.2,8.92,101.8,-49.7,0,6/15/2018 20:15,35635.4,30.042
6/15/2018 16:30,14.6,13.4,83,1014.4,2.7,3.7,99,11.8,0,0,0.2,0,583,186,12.88,7.83,47030,0.71,4,8.91,101.6,-49.7,0,6/15/2018 20:30,35629.928,30.061
6/15/2018 16:45,14.7,13.1,84,1014.4,2.7,3.4,119,11.6,0,0,0.2,0,541,191,12.91,7.82,47060,0.71,4.2,8.9,101.6,-49.7,0,6/15/2018 20:45,35680.892,30.085
6/15/2018 17:00,14.7,13.5,84,1014.5,1.9,2.5,121,12.1,0,0,0.2,0,501,184,12.84,7.82,47140,0.74,4.2,8.91,101.6,-49.6,0,6/15/2018 21:00,35675.552,30.136
6/15/2018 17:15,14.6,13.6,85,1014.4,1.9,2.5,122,12.2,0,0,0.2,0,461,181,13.11,7.83,47110,0.77,4.1,8.91,102.2,-49.8,0,6/15/2018 21:15,35907.242,30.138
6/15/2018 17:30,14.7,13.6,84,1014.2,1.7,2.1,127,12.1,0,0,0.2,0,410,203,13.26,7.83,47060,0.6,4,8.93,102.7,-49.9,0,6/15/2018 21:30,36010.312,30.115
6/15/2018 17:45,14.6,14.3,82,1014.2,2.3,3.2,109,12.5,0,0,0.2,0,381,191,12.82,7.82,47090,0.7,4.4,8.88,101.1,-49.6,0,6/15/2018 21:45,35618.876,30.098
6/15/2018 18:00,14.7,13.9,85,1014.3,2.1,2.8,104,12.4,0,0,0.2,0,337,176,12.76,7.82,47070,0.67,5.1,8.9,101.2,-49.4,0,6/15/2018 22:00,35547.264,30.079
6/15/2018 18:15,14.6,14.4,84,1014.4,2,2.7,110,12.8,0,0,0.2,0,298,175,13,7.82,47080,0.74,5.8,8.86,101.3,-49.2,0,6/15/2018 22:15,35780.8,30.107
6/15/2018 18:30,14.6,14.4,84,1014.5,2,2.8,148,12.8,0,0,0.2,0,264,214,13.44,7.81,46990,0.69,6.2,8.8,101.5,-49.1,0,6/15/2018 22:30,36125.912,30.08
6/15/2018 18:45,14.6,14.6,84,1014.5,1.6,2.1,91,13,0,0,0.2,0,235,165,12.92,7.82,47010,0.73,7.2,8.89,101.4,-49.6,0,6/15/2018 22:45,35652.384,30.05
6/15/2018 19:00,14.7,14.6,84,1014.5,1.6,2.2,164,13,0,0,0.2,0,237,39,12.73,7.82,47100,0.74,9,8.89,101,-49.4,0,6/15/2018 23:00,35541.66,30.098
6/15/2018 19:15,14.6,14.7,82,1014.4,1.5,2.1,124,13,0,0,0.2,0,200,23,12.77,7.82,47180,0.67,8.1,8.91,101.5,-49.5,0,6/15/2018 23:15,35639.772,30.158
