Date,Salinity Value,Temperature (C),Conductivity,Fit,Salinity Value (Offset +4),Date (UTC)
2021-09-28 10:03:42-04:00,24.078,22.11111111111111,35796.1,[34425.80724138],28.078,2021-09-28 14:03:42
2021-09-28 10:33:42-04:00,24.056,22.077777777777776,35742.5,[34425.80724138],28.056,2021-09-28 14:33:42
2021-09-28 11:03:42-04:00,23.958,22.077777777777776,35611.1,[34420.69460583],27.958,2021-09-28 15:03:42
2021-09-28 11:33:42-04:00,24.042,22.16111111111111,35785.4,[34420.69460583],28.042,2021-09-28 15:33:42
2021-09-28 12:03:42-04:00,24.099,22.261111111111106,35936.1,[34415.58197021],28.099,2021-09-28 16:03:42
2021-09-28 12:33:42-04:00,24.078,22.338888888888885,35964.9,[34415.58197021],28.078,2021-09-28 16:33:42
2021-09-28 13:03:42-04:00,24.179,22.42777777777778,36168.1,[34410.46933466],28.179,2021-09-28 17:03:42
2021-09-28 13:33:42-04:00,24.14,22.41111111111111,36102.6,[34410.46933466],28.14,2021-09-28 17:33:42
2021-09-28 14:03:42-04:00,24.088,22.42222222222222,36040.8,[34405.35669911],28.088,2021-09-28 18:03:42
2021-09-28 14:33:42-04:00,24.198,22.35,36135.3,[34405.35669911],28.198,2021-09-28 18:33:42
2021-09-28 15:03:42-04:00,24.046,22.338888888888885,35921.7,[34400.24406344],28.046,2021-09-28 19:03:42
2021-09-28 15:33:42-04:00,24.171,22.31111111111111,36069.9,[34400.24406344],28.171,2021-09-28 19:33:42
2021-09-28 16:03:42-04:00,24.23,22.31111111111111,36149.9,[34395.13142788],28.23,2021-09-28 20:03:42
2021-09-28 16:33:42-04:00,23.765,22.31111111111111,35522.8,[34395.13142788],27.765,2021-09-28 20:33:42
2021-09-28 17:03:42-04:00,24.123,22.38888888888889,36062.6,[34390.01879233],28.123,2021-09-28 21:03:42
2021-09-28 17:33:42-04:00,24.144,22.38888888888889,36091.7,[34390.01879233],28.144,2021-09-28 21:33:42
2021-09-28 18:03:42-04:00,23.963,22.377777777777776,35839.0,[34384.90615672],27.963,2021-09-28 22:03:42
2021-09-28 18:33:42-04:00,23.866,22.3,35650.1,[34384.90615672],27.866,2021-09-28 22:33:42
2021-09-28 19:03:42-04:00,23.859,22.322222222222223,35657.2,[34379.79352111],27.859,2021-09-28 23:03:42
2021-09-28 19:33:42-04:00,23.869,22.261111111111106,35625.3,[34379.79352111],27.869,2021-09-28 23:33:42
2021-09-28 20:03:42-04:00,23.812,22.23888888888889,35533.4,[34374.68088555],27.812,2021-09-29 00:03:42
2021-09-28 20:33:42-04:00,23.879,22.261111111111106,35639.4,[34374.68088555],27.879,2021-09-29 00:33:42
2021-09-28 21:03:42-04:00,23.805,22.23888888888889,35522.8,[34369.56824994],27.805,2021-09-29 01:03:42
2021-09-28 21:33:42-04:00,23.833,22.211111111111112,35540.5,[34369.56824994],27.833,2021-09-29 01:33:42
2021-09-28 22:03:42-04:00,23.73,22.16111111111111,35365.1,[34364.45561439],27.73,2021-09-29 02:03:42
2021-09-28 22:33:42-04:00,23.611,22.038888888888888,35115.5,[34364.45561439],27.611,2021-09-29 02:33:42
2021-09-28 23:03:42-04:00,23.624,22.061111111111103,35149.9,[34359.34297878],27.624,2021-09-29 03:03:42
2021-09-28 23:33:42-04:00,23.358,21.911111111111108,34683.7,[34359.34297878],27.358,2021-09-29 03:33:42
2021-09-29 00:03:42-04:00,23.397,21.950000000000003,34764.5,[34354.23034316],27.397,2021-09-29 04:03:42
2021-09-29 00:33:42-04:00,23.183,21.62777777777778,34246.1,[34354.23034316],27.183,2021-09-29 04:33:42
2021-09-29 01:03:42-04:00,22.971,21.3,33730.4,[34349.11770761],26.971,2021-09-29 05:03:42
2021-09-29 01:33:42-04:00,22.932,21.222222222222225,33622.8,[34349.11770761],26.932,2021-09-29 05:33:42
2021-09-29 02:03:42-04:00,22.915,21.127777777777776,33534.8,[34344.00507206],26.915,2021-09-29 06:03:42
