Date,Conductivity,Temperature (F),DateTime (UTC),Temperature (C),Salinity Value,Salinity Value (Offset +4)
06/18/21 11:16:34,35842.6,72.07,2021-06-18 15:16:34,22.261111111111106,24.03,28.03
06/18/21 11:46:34,35885.7,72.37,2021-06-18 15:46:34,22.42777777777778,23.97,27.97
06/18/21 12:16:34,35519.3,72.5,2021-06-18 16:16:34,22.5,23.661,27.661
06/18/21 12:46:34,34579.9,73.09,2021-06-18 16:46:34,22.82777777777778,22.799,26.799
06/18/21 13:16:34,33771.7,73.06,2021-06-18 17:16:34,22.811111111111114,22.219,26.219
06/18/21 13:46:34,33522.2,73.26,2021-06-18 17:46:34,22.922222222222224,21.983,25.983
06/18/21 14:16:34,32283.4,73.45,2021-06-18 18:16:34,23.02777777777778,21.038,25.038
06/18/21 14:46:34,31372.1,73.87,2021-06-18 18:46:34,23.261111111111113,20.277,24.277
06/18/21 15:16:34,30072.9,73.72,2021-06-18 19:16:34,23.177777777777777,19.391,23.391
06/18/21 15:46:34,28704.4,73.6,2021-06-18 19:46:34,23.111111111111107,18.45,22.45
06/18/21 16:16:34,25575.5,73.69,2021-06-18 20:16:34,23.161111111111108,16.237,20.237
06/18/21 16:46:34,23385.1,73.53,2021-06-18 20:46:34,23.072222222222223,14.751,18.750999999999998
06/18/21 17:16:34,36795.2,73.31,2021-06-18 21:16:34,22.95,24.353,28.353
06/18/21 17:46:34,36182.7,73.36,2021-06-18 21:46:34,22.977777777777778,23.89,27.89
06/18/21 18:16:34,34940.8,73.13,2021-06-18 22:16:34,22.849999999999998,23.051,27.051
06/18/21 18:46:34,33171.9,72.84,2021-06-18 22:46:34,22.68888888888889,21.845,25.845
06/18/21 19:16:34,31276.9,72.5,2021-06-18 23:16:34,22.5,20.56,24.56
06/18/21 19:46:34,36870.8,72.3,2021-06-18 23:46:34,22.388888888888886,24.722,28.722
06/18/21 20:16:34,36454.9,72.43,2021-06-19 00:16:34,22.461111111111116,24.373,28.373
06/18/21 20:46:34,34559.9,72.23,2021-06-19 00:46:34,22.35,23.033,27.033
06/18/21 21:16:34,33613.4,71.87,2021-06-19 01:16:34,22.150000000000002,22.44,26.44
06/18/21 21:46:34,33273.5,72.21,2021-06-19 01:46:34,22.338888888888885,22.094,26.094
06/18/21 22:16:34,31899.8,71.11,2021-06-19 02:16:34,21.727777777777778,21.387,25.387
06/18/21 22:46:34,31040.2,70.95,2021-06-19 02:46:34,21.63888888888889,20.795,24.795
06/18/21 23:16:34,30899.5,71.38,2021-06-19 03:16:34,21.877777777777776,20.578,24.578
06/18/21 23:46:34,34707.2,71.02,2021-06-19 03:46:34,21.677777777777774,23.502,27.502
06/19/21 00:16:34,34460.2,70.83,2021-06-19 04:16:34,21.57222222222222,23.373,27.373
06/19/21 00:46:34,34219.9,70.61,2021-06-19 04:46:34,21.45,23.259,27.259
06/19/21 01:16:34,34292.0,70.72,2021-06-19 05:16:34,21.51111111111111,23.28,27.28
06/19/21 01:46:34,34131.9,70.57,2021-06-19 05:46:34,21.427777777777774,23.205,27.205
06/19/21 02:16:34,36182.7,70.66,2021-06-19 06:16:34,21.477777777777774,24.724,28.724
06/19/21 02:46:34,36329.4,70.74,2021-06-19 06:46:34,21.52222222222222,24.809,28.809
06/19/21 03:16:34,36285.2,70.48,2021-06-19 07:16:34,21.37777777777778,24.859,28.859
06/19/21 03:46:34,36403.1,70.66,2021-06-19 07:46:34,21.477777777777774,24.891,28.891
06/19/21 04:16:34,36659.8,70.99,2021-06-19 08:16:34,21.661111111111108,24.979,28.979
06/19/21 04:46:34,36885.9,71.17,2021-06-19 08:46:34,21.761111111111113,25.092,29.092
06/19/21 05:16:34,36935.3,71.2,2021-06-19 09:16:34,21.77777777777778,25.12,29.12
06/19/21 05:46:34,37007.6,71.17,2021-06-19 09:46:34,21.761111111111113,25.184,29.184
06/19/21 06:16:34,37038.2,71.13,2021-06-19 10:16:34,21.738888888888887,25.22,29.22
06/19/21 06:46:34,37034.3,71.11,2021-06-19 10:46:34,21.727777777777778,25.223,29.223
06/19/21 07:16:34,37080.2,71.08,2021-06-19 11:16:34,21.71111111111111,25.268,29.268
06/19/21 07:46:34,36980.9,70.99,2021-06-19 11:46:34,21.661111111111108,25.222,29.222
06/19/21 08:16:34,36693.6,70.75,2021-06-19 12:16:34,21.52777777777778,25.082,29.082
06/19/21 08:46:34,36648.6,70.95,2021-06-19 12:46:34,21.63888888888889,24.983,28.983
06/19/21 09:16:34,36686.1,71.17,2021-06-19 13:16:34,21.761111111111113,24.941,28.941
06/19/21 09:46:34,36821.6,71.64,2021-06-19 13:46:34,22.022222222222222,24.894,28.894
06/19/21 10:16:34,36749.9,71.82,2021-06-19 14:16:34,22.122222222222216,24.783,28.783
06/19/21 10:46:34,36768.8,72.16,2021-06-19 14:46:34,22.31111111111111,24.69,28.69
06/19/21 11:16:34,36829.1,72.23,2021-06-19 15:16:34,22.35,24.713,28.713
06/19/21 11:46:34,36889.7,72.63,2021-06-19 15:46:34,22.57222222222222,24.633,28.633
06/19/21 12:16:34,37180.0,72.88,2021-06-19 16:16:34,22.71111111111111,24.769,28.769
06/19/21 12:46:34,37342.4,73.2,2021-06-19 16:46:34,22.88888888888889,24.789,28.789
06/19/21 13:16:34,37455.3,73.63,2021-06-19 17:16:34,23.127777777777776,24.738,28.738
06/19/21 13:46:34,37377.3,73.94,2021-06-19 17:46:34,23.299999999999997,24.585,28.585
06/19/21 14:16:34,37455.3,73.85,2021-06-19 18:16:34,23.249999999999996,24.67,28.67
06/19/21 14:46:34,37600.2,74.35,2021-06-19 18:46:34,23.527777777777775,24.622,28.622
06/19/21 15:16:34,37619.9,74.53,2021-06-19 19:16:34,23.627777777777776,24.581,28.581
06/19/21 15:46:34,37439.7,74.61,2021-06-19 19:46:34,23.67222222222222,24.426,28.426
06/19/21 16:16:34,36829.1,74.12,2021-06-19 20:16:34,23.400000000000002,24.132,28.132
06/19/21 16:46:34,36551.5,74.12,2021-06-19 20:46:34,23.400000000000002,23.931,27.931
06/19/21 17:16:34,36001.0,73.56,2021-06-19 21:16:34,23.08888888888889,23.697,27.697
06/19/21 17:46:34,38017.5,73.42,2021-06-19 21:46:34,23.011111111111113,25.217,29.217
