StationCode,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_Pct,F_DO_Pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,Level,F_Level,cLevel,F_cLevel,pH,F_pH,Turb,F_Turb,ChlFluor,F_ChlFluor,Unnamed: 30,Datetime_Adjusted_UTC+1
wqbmpwq   ,P,3/29/2023 15:45,0,1,,9.5,<0> ,48.2,<0> ,31.2,<0> ,133.9,<0> ,12.5,<0> ,1.55,<0> ,1.5,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,0.7,<0> ,,3/29/2023 21:45
wqbmpwq   ,P,3/29/2023 16:00,0,1,,9.5,<0> ,48.22,<0> ,31.2,<0> ,135.4,<0> ,12.7,<0> ,1.56,<0> ,1.51,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,0.6,<0> ,,3/29/2023 22:00
wqbmpwq   ,P,3/29/2023 16:15,0,1,,9.5,<0> ,48.23,<0> ,31.2,<0> ,133.8,<0> ,12.5,<0> ,1.57,<0> ,1.52,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,1,<0> ,,3/29/2023 22:15
wqbmpwq   ,P,3/29/2023 16:30,0,1,,9.5,<0> ,48.24,<0> ,31.2,<0> ,133.1,<0> ,12.4,<0> ,1.57,<0> ,1.52,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,1,<0> ,,3/29/2023 22:30
wqbmpwq   ,P,3/29/2023 16:45,0,1,,9.5,<0> ,48.23,<0> ,31.2,<0> ,132.2,<0> ,12.4,<0> ,1.57,<0> ,1.52,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,1.1,<0> ,,3/29/2023 22:45
wqbmpwq   ,P,3/29/2023 17:00,0,1,,9.5,<0> ,48.24,<0> ,31.2,<0> ,131.3,<0> ,12.3,<0> ,1.57,<0> ,1.52,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,1.1,<0> ,,3/29/2023 23:00
wqbmpwq   ,P,3/29/2023 17:15,0,1,,9.5,<0> ,48.24,<0> ,31.2,<0> ,130.5,<0> ,12.2,<0> ,1.57,<0> ,1.52,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,1.3,<0> ,,3/29/2023 23:15
wqbmpwq   ,P,3/29/2023 17:30,0,1,,9.5,<0> ,48.23,<0> ,31.2,<0> ,131.4,<0> ,12.3,<0> ,1.59,<0> ,1.54,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,1.4,<0> ,,3/29/2023 23:30
wqbmpwq   ,P,3/29/2023 17:45,0,1,,9.5,<0> ,48.22,<0> ,31.2,<0> ,132.4,<0> ,12.4,<0> ,1.61,<0> ,1.56,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,1.7,<0> ,,3/29/2023 23:45
wqbmpwq   ,P,3/29/2023 18:00,0,1,,9.5,<0> ,48.21,<0> ,31.2,<0> ,133.1,<0> ,12.4,<0> ,1.62,<0> ,1.57,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,1.8,<0> ,,3/30/2023 0:00
wqbmpwq   ,P,3/29/2023 18:15,0,1,,9.6,<0> ,48.2,<0> ,31.2,<0> ,133.3,<0> ,12.4,<0> ,1.64,<0> ,1.59,<1> [GCS],,<-1> ,,,8.2,<0> ,1,<0> ,1.6,<0> ,,3/30/2023 0:15
wqbmpwq   ,P,3/29/2023 18:30,0,1,,9.6,<0> ,48.19,<0> ,31.2,<0> ,132.8,<0> ,12.4,<0> ,1.66,<0> ,1.61,<1> [GCS],,<-1> ,,,8.2,<0> ,1,<0> ,2,<0> ,,3/30/2023 0:30
wqbmpwq   ,P,3/29/2023 18:45,0,1,,9.6,<0> ,48.19,<0> ,31.2,<0> ,132.7,<0> ,12.4,<0> ,1.68,<0> ,1.63,<1> [GCS],,<-1> ,,,8.2,<0> ,1,<0> ,1.6,<0> ,,3/30/2023 0:45
wqbmpwq   ,P,3/29/2023 19:00,0,1,,9.6,<0> ,48.18,<0> ,31.2,<0> ,130.5,<0> ,12.2,<0> ,1.7,<0> ,1.65,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,1.5,<0> ,,3/30/2023 1:00
wqbmpwq   ,P,3/29/2023 19:15,0,1,,9.6,<0> ,48.16,<0> ,31.2,<0> ,129.1,<0> ,12,<0> ,1.72,<0> ,1.67,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,2,<0> ,,3/30/2023 1:15
wqbmpwq   ,P,3/29/2023 19:30,0,1,,9.6,<0> ,48.16,<0> ,31.2,<0> ,126.1,<0> ,11.8,<0> ,1.73,<0> ,1.68,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,1.5,<0> ,,3/30/2023 1:30
wqbmpwq   ,P,3/29/2023 19:45,0,1,,9.6,<0> ,48.16,<0> ,31.2,<0> ,124.3,<0> ,11.6,<0> ,1.75,<0> ,1.7,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,1.2,<0> ,,3/30/2023 1:45
