StationCode,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_Pct,F_DO_Pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,Level,F_Level,cLevel,F_cLevel,pH,F_pH,Turb,F_Turb,ChlFluor,F_ChlFluor,Unnamed: 30,Datetime_Adjusted_UTC+1,Datetime_UTC
wqbmpwq   ,P,04/02/2021 9:45,1,1,,8.7,<0> ,46.87,<0> ,30.2,<0> ,116.6,<0> ,11.2,<0> ,1.24,<0> ,1.18,<3> ,,<-1> ,,,8.0,<0> ,1.0,<0> ,2.1,<0> ,,2021-04-02 15:45:00,2021-04-02 14:45:00
wqbmpwq   ,P,04/02/2021 10:00,1,1,,8.9,<0> ,47.07,<0> ,30.4,<0> ,123.5,<0> ,11.8,<0> ,1.23,<0> ,1.17,<3> ,,<-1> ,,,8.1,<0> ,1.0,<0> ,1.5,<0> ,,2021-04-02 16:00:00,2021-04-02 15:00:00
wqbmpwq   ,P,04/02/2021 10:15,1,1,,9.0,<0> ,47.19,<0> ,30.5,<0> ,130.6,<0> ,12.4,<0> ,1.23,<0> ,1.17,<3> ,,<-1> ,,,8.1,<0> ,1.0,<0> ,1.8,<0> ,,2021-04-02 16:15:00,2021-04-02 15:15:00
wqbmpwq   ,P,04/02/2021 10:30,1,1,,9.2,<0> ,47.22,<0> ,30.5,<0> ,142.5,<0> ,13.5,<0> ,1.25,<0> ,1.19,<3> ,,<-1> ,,,8.2,<0> ,1.0,<0> ,1.6,<0> ,,2021-04-02 16:30:00,2021-04-02 15:30:00
wqbmpwq   ,P,04/02/2021 10:45,1,1,,9.3,<0> ,47.21,<0> ,30.5,<0> ,144.2,<0> ,13.6,<0> ,1.28,<0> ,1.22,<3> ,,<-1> ,,,8.2,<0> ,1.0,<0> ,1.5,<0> ,,2021-04-02 16:45:00,2021-04-02 15:45:00
wqbmpwq   ,P,04/02/2021 11:00,1,1,,9.4,<0> ,47.2,<0> ,30.5,<0> ,150.1,<0> ,14.1,<0> ,1.31,<0> ,1.25,<3> ,,<-1> ,,,8.2,<0> ,1.0,<0> ,1.7,<0> ,,2021-04-02 17:00:00,2021-04-02 16:00:00
wqbmpwq   ,P,04/02/2021 11:15,1,1,,9.5,<0> ,47.19,<0> ,30.5,<0> ,153.2,<0> ,14.4,<0> ,1.34,<0> ,1.28,<3> ,,<-1> ,,,8.2,<0> ,1.0,<0> ,1.5,<0> ,,2021-04-02 17:15:00,2021-04-02 16:15:00
wqbmpwq   ,P,04/02/2021 11:30,1,1,,9.6,<0> ,47.18,<0> ,30.5,<0> ,159.8,<0> ,15.0,<0> ,1.36,<0> ,1.3,<3> ,,<-1> ,,,8.3,<0> ,1.0,<0> ,1.9,<0> ,,2021-04-02 17:30:00,2021-04-02 16:30:00
wqbmpwq   ,P,04/02/2021 11:45,1,1,,9.1,<0> ,45.84,<0> ,29.5,<0> ,98.1,<0> ,9.4,<0> ,1.4,<0> ,1.35,<3> ,,<-1> ,,,8.0,<0> ,1.0,<0> ,1.1,<0> ,,2021-04-02 17:45:00,2021-04-02 16:45:00
wqbmpwq   ,P,04/02/2021 12:00,1,1,,9.2,<0> ,45.91,<0> ,29.6,<0> ,100.6,<0> ,9.6,<0> ,1.42,<0> ,1.37,<3> ,,<-1> ,,,8.0,<0> ,1.0,<0> ,1.2,<0> ,,2021-04-02 18:00:00,2021-04-02 17:00:00
