Date,Day,Time,Pred,High/Low,DateTime (UTC),Subordinate DateTime (Adjusted)
1/1/2018,Mon,2:39:00 AM,3.03,H,2018-01-01 02:39:00,2018-01-01 02:40:00
1/1/2018,Mon,8:42:00 AM,-0.17,L,2018-01-01 08:42:00,2018-01-01 08:42:00
1/1/2018,Mon,2:54:00 PM,3.58,H,2018-01-01 14:54:00,2018-01-01 14:55:00
1/1/2018,Mon,9:23:00 PM,-0.53,L,2018-01-01 21:23:00,2018-01-01 21:23:00
1/2/2018,Tue,3:33:00 AM,3.12,H,2018-01-02 03:33:00,2018-01-02 03:34:00
1/2/2018,Tue,9:35:00 AM,-0.25,L,2018-01-02 09:35:00,2018-01-02 09:35:00
1/2/2018,Tue,3:47:00 PM,3.66,H,2018-01-02 15:47:00,2018-01-02 15:48:00
1/2/2018,Tue,10:16:00 PM,-0.61,L,2018-01-02 22:16:00,2018-01-02 22:16:00
1/3/2018,Wed,4:28:00 AM,3.17,H,2018-01-03 04:28:00,2018-01-03 04:29:00
1/3/2018,Wed,10:29:00 AM,-0.28,L,2018-01-03 10:29:00,2018-01-03 10:29:00
1/3/2018,Wed,4:41:00 PM,3.67,H,2018-01-03 16:41:00,2018-01-03 16:42:00
1/3/2018,Wed,11:08:00 PM,-0.63,L,2018-01-03 23:08:00,2018-01-03 23:08:00
1/4/2018,Thu,5:23:00 AM,3.19,H,2018-01-04 05:23:00,2018-01-04 05:24:00
1/4/2018,Thu,11:22:00 AM,-0.27,L,2018-01-04 11:22:00,2018-01-04 11:22:00
1/4/2018,Thu,5:36:00 PM,3.61,H,2018-01-04 17:36:00,2018-01-04 17:37:00
1/5/2018,Fri,12:01:00 AM,-0.58,L,2018-01-05 00:01:00,2018-01-05 00:01:00
1/5/2018,Fri,6:17:00 AM,3.18,H,2018-01-05 06:17:00,2018-01-05 06:18:00
1/5/2018,Fri,12:16:00 PM,-0.21,L,2018-01-05 12:16:00,2018-01-05 12:16:00
1/5/2018,Fri,6:31:00 PM,3.48,H,2018-01-05 18:31:00,2018-01-05 18:32:00
1/6/2018,Sat,12:53:00 AM,-0.46,L,2018-01-06 00:53:00,2018-01-06 00:53:00
1/6/2018,Sat,7:11:00 AM,3.13,H,2018-01-06 07:11:00,2018-01-06 07:12:00
1/6/2018,Sat,1:12:00 PM,-0.11,L,2018-01-06 13:12:00,2018-01-06 13:12:00
1/6/2018,Sat,7:26:00 PM,3.31,H,2018-01-06 19:26:00,2018-01-06 19:27:00
1/7/2018,Sun,1:46:00 AM,-0.3,L,2018-01-07 01:46:00,2018-01-07 01:46:00
1/7/2018,Sun,8:06:00 AM,3.06,H,2018-01-07 08:06:00,2018-01-07 08:07:00
1/7/2018,Sun,2:09:00 PM,0.01,L,2018-01-07 14:09:00,2018-01-07 14:09:00
