Date,Day,Time,Pred,High/Low,DateTime (UTC),Subordinate DateTime (Adjusted)
1/1/2019,Tue,5:59:00 AM,0.14,L,2019-01-01 05:59:00,2019-01-01 06:22:00
1/1/2019,Tue,12:23:00 PM,3.05,H,2019-01-01 12:23:00,2019-01-01 12:40:00
1/1/2019,Tue,6:42:00 PM,0.08,L,2019-01-01 18:42:00,2019-01-01 19:05:00
1/2/2019,Wed,12:59:00 AM,2.75,H,2019-01-02 00:59:00,2019-01-02 01:16:00
1/2/2019,Wed,6:56:00 AM,0.2,L,2019-01-02 06:56:00,2019-01-02 07:19:00
1/2/2019,Wed,1:19:00 PM,3.08,H,2019-01-02 13:19:00,2019-01-02 13:36:00
1/2/2019,Wed,7:40:00 PM,0.02,L,2019-01-02 19:40:00,2019-01-02 20:03:00
1/3/2019,Thu,1:56:00 AM,2.73,H,2019-01-03 01:56:00,2019-01-03 02:13:00
1/3/2019,Thu,7:49:00 AM,0.22,L,2019-01-03 07:49:00,2019-01-03 08:12:00
1/3/2019,Thu,2:09:00 PM,3.11,H,2019-01-03 14:09:00,2019-01-03 14:26:00
1/3/2019,Thu,8:32:00 PM,-0.03,L,2019-01-03 20:32:00,2019-01-03 20:55:00
1/4/2019,Fri,2:46:00 AM,2.73,H,2019-01-04 02:46:00,2019-01-04 03:03:00
1/4/2019,Fri,8:37:00 AM,0.23,L,2019-01-04 08:37:00,2019-01-04 09:00:00
1/4/2019,Fri,2:54:00 PM,3.12,H,2019-01-04 14:54:00,2019-01-04 15:11:00
1/4/2019,Fri,9:17:00 PM,-0.06,L,2019-01-04 21:17:00,2019-01-04 21:40:00
1/5/2019,Sat,3:32:00 AM,2.73,H,2019-01-05 03:32:00,2019-01-05 03:49:00
1/5/2019,Sat,9:21:00 AM,0.24,L,2019-01-05 09:21:00,2019-01-05 09:44:00
1/5/2019,Sat,3:35:00 PM,3.12,H,2019-01-05 15:35:00,2019-01-05 15:52:00
1/5/2019,Sat,9:59:00 PM,-0.07,L,2019-01-05 21:59:00,2019-01-05 22:22:00
1/6/2019,Sun,4:13:00 AM,2.73,H,2019-01-06 04:13:00,2019-01-06 04:30:00
1/6/2019,Sun,10:03:00 AM,0.25,L,2019-01-06 10:03:00,2019-01-06 10:26:00
1/6/2019,Sun,4:16:00 PM,3.1,H,2019-01-06 16:16:00,2019-01-06 16:33:00
1/6/2019,Sun,10:39:00 PM,-0.06,L,2019-01-06 22:39:00,2019-01-06 23:02:00
1/7/2019,Mon,4:54:00 AM,2.71,H,2019-01-07 04:54:00,2019-01-07 05:11:00
1/7/2019,Mon,10:43:00 AM,0.26,L,2019-01-07 10:43:00,2019-01-07 11:06:00
1/7/2019,Mon,4:55:00 PM,3.08,H,2019-01-07 16:55:00,2019-01-07 17:12:00
1/7/2019,Mon,11:18:00 PM,-0.03,L,2019-01-07 23:18:00,2019-01-07 23:41:00
1/8/2019,Tue,5:33:00 AM,2.7,H,2019-01-08 05:33:00,2019-01-08 05:50:00
1/8/2019,Tue,11:24:00 AM,0.28,L,2019-01-08 11:24:00,2019-01-08 11:47:00
1/8/2019,Tue,5:35:00 PM,3.04,H,2019-01-08 17:35:00,2019-01-08 17:52:00
