Date,Day,Time,Pred,High/Low,DateTime (UTC),Subordinate DateTime (Adjusted)
1/1/2021,Fri,5:29:00 AM,2.7,H,2021-01-01 05:29:00,2021-01-01 05:32:00
1/1/2021,Fri,11:22:00 AM,0.25,L,2021-01-01 11:22:00,2021-01-01 11:23:00
1/1/2021,Fri,5:31:00 PM,3.17,H,2021-01-01 17:31:00,2021-01-01 17:34:00
1/1/2021,Fri,11:58:00 PM,-0.12,L,2021-01-01 23:58:00,2021-01-01 23:59:00
1/2/2021,Sat,6:11:00 AM,2.74,H,2021-01-02 06:11:00,2021-01-02 06:14:00
1/2/2021,Sat,12:05:00 PM,0.22,L,2021-01-02 12:05:00,2021-01-02 12:06:00
1/2/2021,Sat,6:15:00 PM,3.16,H,2021-01-02 18:15:00,2021-01-02 18:18:00
1/3/2021,Sun,12:41:00 AM,-0.13,L,2021-01-03 00:41:00,2021-01-03 00:42:00
1/3/2021,Sun,6:53:00 AM,2.78,H,2021-01-03 06:53:00,2021-01-03 06:56:00
1/3/2021,Sun,12:52:00 PM,0.2,L,2021-01-03 12:52:00,2021-01-03 12:53:00
1/3/2021,Sun,7:00:00 PM,3.13,H,2021-01-03 19:00:00,2021-01-03 19:03:00
1/4/2021,Mon,1:26:00 AM,-0.12,L,2021-01-04 01:26:00,2021-01-04 01:27:00
1/4/2021,Mon,7:39:00 AM,2.83,H,2021-01-04 07:39:00,2021-01-04 07:42:00
1/4/2021,Mon,1:42:00 PM,0.18,L,2021-01-04 13:42:00,2021-01-04 13:43:00
1/4/2021,Mon,7:50:00 PM,3.07,H,2021-01-04 19:50:00,2021-01-04 19:53:00
1/5/2021,Tue,2:14:00 AM,-0.08,L,2021-01-05 02:14:00,2021-01-05 02:15:00
1/5/2021,Tue,8:28:00 AM,2.89,H,2021-01-05 08:28:00,2021-01-05 08:31:00
1/5/2021,Tue,2:37:00 PM,0.17,L,2021-01-05 14:37:00,2021-01-05 14:38:00
1/5/2021,Tue,8:44:00 PM,2.98,H,2021-01-05 20:44:00,2021-01-05 20:47:00
1/6/2021,Wed,3:06:00 AM,-0.03,L,2021-01-06 03:06:00,2021-01-06 03:07:00
1/6/2021,Wed,9:20:00 AM,2.96,H,2021-01-06 09:20:00,2021-01-06 09:23:00
1/6/2021,Wed,3:35:00 PM,0.13,L,2021-01-06 15:35:00,2021-01-06 15:36:00
1/6/2021,Wed,9:42:00 PM,2.9,H,2021-01-06 21:42:00,2021-01-06 21:45:00
1/7/2021,Thu,4:00:00 AM,0.02,L,2021-01-07 04:00:00,2021-01-07 04:01:00
1/7/2021,Thu,10:16:00 AM,3.03,H,2021-01-07 10:16:00,2021-01-07 10:19:00
1/7/2021,Thu,4:36:00 PM,0.08,L,2021-01-07 16:36:00,2021-01-07 16:37:00
1/7/2021,Thu,10:44:00 PM,2.82,H,2021-01-07 22:44:00,2021-01-07 22:47:00
1/8/2021,Fri,4:57:00 AM,0.06,L,2021-01-08 04:57:00,2021-01-08 04:58:00
1/8/2021,Fri,11:13:00 AM,3.11,H,2021-01-08 11:13:00,2021-01-08 11:16:00
1/8/2021,Fri,5:38:00 PM,0.01,L,2021-01-08 17:38:00,2021-01-08 17:39:00
1/8/2021,Fri,11:47:00 PM,2.78,H,2021-01-08 23:47:00,2021-01-08 23:50:00
1/9/2021,Sat,5:55:00 AM,0.09,L,2021-01-09 05:55:00,2021-01-09 05:56:00
1/9/2021,Sat,12:12:00 PM,3.19,H,2021-01-09 12:12:00,2021-01-09 12:15:00
1/9/2021,Sat,6:40:00 PM,-0.09,L,2021-01-09 18:40:00,2021-01-09 18:41:00
1/10/2021,Sun,12:52:00 AM,2.78,H,2021-01-10 00:52:00,2021-01-10 00:55:00
1/10/2021,Sun,6:54:00 AM,0.08,L,2021-01-10 06:54:00,2021-01-10 06:55:00
1/10/2021,Sun,1:11:00 PM,3.27,H,2021-01-10 13:11:00,2021-01-10 13:14:00
1/10/2021,Sun,7:41:00 PM,-0.2,L,2021-01-10 19:41:00,2021-01-10 19:42:00
