Date,Day,Time,Pred(Ft),Pred(cm),High/Low,DateTime (UTC),Subordinate DateTime (Adjusted)
1/1/2022,Sat,2:02:00 AM,9.41,287,H,2022-01-01 02:02:00,2022-01-01 02:05:00
1/1/2022,Sat,8:04:00 AM,0.02,1,L,2022-01-01 08:04:00,2022-01-01 08:05:00
1/1/2022,Sat,2:16:00 PM,11.39,347,H,2022-01-01 14:16:00,2022-01-01 14:19:00
1/1/2022,Sat,8:48:00 PM,-1.27,-39,L,2022-01-01 20:48:00,2022-01-01 20:49:00
1/2/2022,Sun,2:59:00 AM,9.63,294,H,2022-01-02 02:59:00,2022-01-02 03:02:00
1/2/2022,Sun,8:58:00 AM,-0.22,-7,L,2022-01-02 08:58:00,2022-01-02 08:59:00
1/2/2022,Sun,3:11:00 PM,11.68,356,H,2022-01-02 15:11:00,2022-01-02 15:14:00
1/2/2022,Sun,9:43:00 PM,-1.58,-48,L,2022-01-02 21:43:00,2022-01-02 21:44:00
1/3/2022,Mon,3:55:00 AM,9.8,299,H,2022-01-03 03:55:00,2022-01-03 03:58:00
1/3/2022,Mon,9:53:00 AM,-0.37,-11,L,2022-01-03 09:53:00,2022-01-03 09:54:00
1/3/2022,Mon,4:05:00 PM,11.77,359,H,2022-01-03 16:05:00,2022-01-03 16:08:00
1/3/2022,Mon,10:36:00 PM,-1.69,-52,L,2022-01-03 22:36:00,2022-01-03 22:37:00
1/4/2022,Tue,4:50:00 AM,9.9,302,H,2022-01-04 04:50:00,2022-01-04 04:53:00
1/4/2022,Tue,10:47:00 AM,-0.4,-12,L,2022-01-04 10:47:00,2022-01-04 10:48:00
1/4/2022,Tue,5:00:00 PM,11.66,355,H,2022-01-04 17:00:00,2022-01-04 17:03:00
1/4/2022,Tue,11:29:00 PM,-1.6,-49,L,2022-01-04 23:29:00,2022-01-04 23:30:00
1/5/2022,Wed,5:45:00 AM,9.91,302,H,2022-01-05 05:45:00,2022-01-05 05:48:00
1/5/2022,Wed,11:41:00 AM,-0.3,-9,L,2022-01-05 11:41:00,2022-01-05 11:42:00
1/5/2022,Wed,5:55:00 PM,11.36,346,H,2022-01-05 17:55:00,2022-01-05 17:58:00
1/6/2022,Thu,12:20:00 AM,-1.32,-40,L,2022-01-06 00:20:00,2022-01-06 00:21:00
1/6/2022,Thu,6:38:00 AM,9.85,300,H,2022-01-06 06:38:00,2022-01-06 06:41:00
1/6/2022,Thu,12:35:00 PM,-0.07,-2,L,2022-01-06 12:35:00,2022-01-06 12:36:00
1/6/2022,Thu,6:50:00 PM,10.88,332,H,2022-01-06 18:50:00,2022-01-06 18:53:00
1/7/2022,Fri,1:12:00 AM,-0.88,-27,L,2022-01-07 01:12:00,2022-01-07 01:13:00
1/7/2022,Fri,7:31:00 AM,9.71,296,H,2022-01-07 07:31:00,2022-01-07 07:34:00
1/7/2022,Fri,1:30:00 PM,0.25,8,L,2022-01-07 13:30:00,2022-01-07 13:31:00
1/7/2022,Fri,7:45:00 PM,10.28,313,H,2022-01-07 19:45:00,2022-01-07 19:48:00
1/8/2022,Sat,2:04:00 AM,-0.34,-10,L,2022-01-08 02:04:00,2022-01-08 02:05:00
1/8/2022,Sat,8:25:00 AM,9.53,290,H,2022-01-08 08:25:00,2022-01-08 08:28:00
1/8/2022,Sat,2:27:00 PM,0.59,18,L,2022-01-08 14:27:00,2022-01-08 14:28:00
1/8/2022,Sat,8:42:00 PM,9.64,294,H,2022-01-08 20:42:00,2022-01-08 20:45:00
1/9/2022,Sun,2:58:00 AM,0.22,7,L,2022-01-09 02:58:00,2022-01-09 02:59:00
1/9/2022,Sun,9:20:00 AM,9.35,285,H,2022-01-09 09:20:00,2022-01-09 09:23:00
1/9/2022,Sun,3:27:00 PM,0.87,27,L,2022-01-09 15:27:00,2022-01-09 15:28:00
1/9/2022,Sun,9:41:00 PM,9.04,276,H,2022-01-09 21:41:00,2022-01-09 21:44:00
1/10/2022,Mon,3:51:00 AM,0.74,23,L,2022-01-10 03:51:00,2022-01-10 03:52:00
1/10/2022,Mon,10:14:00 AM,9.21,281,H,2022-01-10 10:14:00,2022-01-10 10:17:00
1/10/2022,Mon,4:27:00 PM,1.05,32,L,2022-01-10 16:27:00,2022-01-10 16:28:00
1/10/2022,Mon,10:40:00 PM,8.55,261,H,2022-01-10 22:40:00,2022-01-10 22:43:00
1/11/2022,Tue,4:45:00 AM,1.17,36,L,2022-01-11 04:45:00,2022-01-11 04:46:00
1/11/2022,Tue,11:08:00 AM,9.13,278,H,2022-01-11 11:08:00,2022-01-11 11:11:00
1/11/2022,Tue,5:27:00 PM,1.12,34,L,2022-01-11 17:27:00,2022-01-11 17:28:00
1/11/2022,Tue,11:40:00 PM,8.22,251,H,2022-01-11 23:40:00,2022-01-11 23:43:00
1/12/2022,Wed,5:38:00 AM,1.48,45,L,2022-01-12 05:38:00,2022-01-12 05:39:00
1/12/2022,Wed,12:01:00 PM,9.12,278,H,2022-01-12 12:01:00,2022-01-12 12:04:00
1/12/2022,Wed,6:26:00 PM,1.08,33,L,2022-01-12 18:26:00,2022-01-12 18:27:00
1/13/2022,Thu,12:39:00 AM,8.07,246,H,2022-01-13 00:39:00,2022-01-13 00:42:00
1/13/2022,Thu,6:31:00 AM,1.64,50,L,2022-01-13 06:31:00,2022-01-13 06:32:00
1/13/2022,Thu,12:53:00 PM,9.2,280,H,2022-01-13 12:53:00,2022-01-13 12:56:00
1/13/2022,Thu,7:21:00 PM,0.93,28,L,2022-01-13 19:21:00,2022-01-13 19:22:00
1/14/2022,Fri,1:33:00 AM,8.07,246,H,2022-01-14 01:33:00,2022-01-14 01:36:00
1/14/2022,Fri,7:22:00 AM,1.64,50,L,2022-01-14 07:22:00,2022-01-14 07:23:00
1/14/2022,Fri,1:42:00 PM,9.35,285,H,2022-01-14 13:42:00,2022-01-14 13:45:00
1/14/2022,Fri,8:10:00 PM,0.71,22,L,2022-01-14 20:10:00,2022-01-14 20:11:00
1/15/2022,Sat,2:22:00 AM,8.17,249,H,2022-01-15 02:22:00,2022-01-15 02:25:00
1/15/2022,Sat,8:08:00 AM,1.54,47,L,2022-01-15 08:08:00,2022-01-15 08:09:00
1/15/2022,Sat,2:26:00 PM,9.54,291,H,2022-01-15 14:26:00,2022-01-15 14:29:00
1/15/2022,Sat,8:53:00 PM,0.49,15,L,2022-01-15 20:53:00,2022-01-15 20:54:00
1/16/2022,Sun,3:05:00 AM,8.3,253,H,2022-01-16 03:05:00,2022-01-16 03:08:00
1/16/2022,Sun,8:51:00 AM,1.37,42,L,2022-01-16 08:51:00,2022-01-16 08:52:00
1/16/2022,Sun,3:07:00 PM,9.72,296,H,2022-01-16 15:07:00,2022-01-16 15:10:00
1/16/2022,Sun,9:33:00 PM,0.29,9,L,2022-01-16 21:33:00,2022-01-16 21:34:00
1/17/2022,Mon,3:45:00 AM,8.44,257,H,2022-01-17 03:45:00,2022-01-17 03:48:00
1/17/2022,Mon,9:32:00 AM,1.2,37,L,2022-01-17 09:32:00,2022-01-17 09:33:00
1/17/2022,Mon,3:47:00 PM,9.87,301,H,2022-01-17 15:47:00,2022-01-17 15:50:00
