Date/Time,Temperature,Specific Cond,Conductivity,Resistivity,Salinity,TDS,Density,Pressure-Abs,Depth,pH,pH.1,Turbidity,Chlorophyll,Chlorophyll.1,DO,DO.1,Battery,Datetime_UTC,TA (Approximated)
8/1/2019 0:01,23.719,43.1176,42.0625,0.024,27.769,28.0264,1.018,20.49,4.2457,7.546,-53.04,3.491,6.55,1.66,86.78,6.263,11.88,2019-08-01 05:01:00,1925.1874
8/1/2019 0:16,23.557,43.1373,41.9482,0.024,27.786,28.0392,1.018,20.391,4.177,7.628,-57.98,3.491,6.01,1.52,88.0,6.368,11.95,2019-08-01 05:16:00,1926.1156
8/1/2019 0:31,23.587,43.1278,41.9639,0.024,27.778,28.0331,1.018,20.231,4.0671,7.678,-60.97,4.529,6.82,1.73,95.26,6.891,11.95,2019-08-01 05:31:00,1925.6788
8/1/2019 0:46,23.729,43.1231,42.0762,0.024,27.772,28.03,1.018,20.04,3.9347,7.705,-62.62,3.308,7.4,1.87,98.48,7.105,11.95,2019-08-01 05:46:00,1925.3512
8/1/2019 1:01,23.716,43.1529,42.0947,0.024,27.794,28.0494,1.018,19.832,3.7906,7.707,-62.68,3.369,6.91,1.75,98.33,7.095,11.95,2019-08-01 06:01:00,1926.5524
8/1/2019 1:16,23.804,43.0948,42.1104,0.024,27.751,28.0116,1.018,19.618,3.643,7.624,-57.74,2.515,6.69,1.69,85.99,6.197,11.88,2019-08-01 06:16:00,1924.2046
8/1/2019 1:31,24.107,43.0099,42.2764,0.024,27.684,27.9564,1.018,19.386,3.483,7.606,-56.76,2.881,6.47,1.64,91.72,6.577,11.95,2019-08-01 06:31:00,1920.5464000000002
8/1/2019 1:46,24.062,43.0733,42.3018,0.024,27.731,27.9976,1.018,19.146,3.3167,7.582,-55.24,3.125,6.09,1.54,82.81,5.942,11.88,2019-08-01 06:46:00,1923.1126000000002
8/1/2019 2:01,24.042,43.0583,42.2705,0.024,27.72,27.9879,1.018,18.878,3.1315,7.49,-49.74,3.491,6.01,1.52,52.03,3.735,11.88,2019-08-01 07:01:00,1922.512
8/1/2019 2:16,24.291,43.0111,42.4287,0.024,27.682,27.9572,1.018,18.63,2.9601,7.588,-55.66,2.271,6.99,1.77,77.77,5.559,11.88,2019-08-01 07:16:00,1920.4372
