Date,Salinity Value,Temperature (C),Conductivity,Fit,Salinity Value (Offset +4),Date (UTC),TA (Approximated)
2021-06-18 10:16:34-04:00,24.025,21.888888888888893,35561.6,[33644.71519743],28.025,2021-06-18 14:16:34,1939.165
2021-06-18 10:46:34-04:00,24.338,21.927777777777777,36008.3,[33644.71519743],28.338,2021-06-18 14:46:34,1956.2548000000002
2021-06-18 11:16:34-04:00,24.03,22.261111111111106,35842.6,[33644.34170625],28.03,2021-06-18 15:16:34,1939.438
2021-06-18 11:46:34-04:00,23.97,22.42777777777778,35885.7,[33644.34170625],27.97,2021-06-18 15:46:34,1936.162
2021-06-18 12:16:34-04:00,23.661,22.5,35519.3,[33643.96821507],27.661,2021-06-18 16:16:34,1919.2906
2021-06-18 12:46:34-04:00,22.799,22.82777777777778,34579.9,[33643.96821507],26.799,2021-06-18 16:46:34,1872.2254
2021-06-18 13:16:34-04:00,22.219,22.81111111111112,33771.7,[33643.5947239],26.219,2021-06-18 17:16:34,1840.5574000000001
2021-06-18 13:46:34-04:00,21.983,22.922222222222224,33522.2,[33643.5947239],25.983,2021-06-18 17:46:34,1827.6718
2021-06-18 14:16:34-04:00,21.038,23.02777777777778,32283.4,[33643.22123271],25.038,2021-06-18 18:16:34,1776.0748
2021-06-18 14:46:34-04:00,20.277,23.26111111111112,31372.1,[33643.22123271],24.277,2021-06-18 18:46:34,1734.5242
2021-06-18 17:16:34-04:00,24.353,22.95,36795.2,[33642.10075918],28.353,2021-06-18 21:16:34,1957.0738000000001
2021-06-18 17:46:34-04:00,23.89,22.97777777777777,36182.7,[33642.10075918],27.89,2021-06-18 21:46:34,1931.794
2021-06-18 18:16:34-04:00,23.051,22.85,34940.8,[33641.727268],27.051,2021-06-18 22:16:34,1885.9846
2021-06-18 18:46:34-04:00,21.845,22.68888888888889,33171.9,[33641.727268],25.845,2021-06-18 22:46:34,1820.137
2021-06-18 19:16:34-04:00,20.56,22.5,31276.9,[33641.35377683],24.56,2021-06-18 23:16:34,1749.9759999999999
2021-06-18 19:46:34-04:00,24.722,22.38888888888889,36870.8,[33641.35377683],28.722,2021-06-18 23:46:34,1977.2212000000002
2021-06-18 20:16:34-04:00,24.373,22.46111111111112,36454.9,[33640.98028565],28.373,2021-06-19 00:16:34,1958.1658
2021-06-18 20:46:34-04:00,23.033,22.35,34559.9,[33640.98028565],27.033,2021-06-19 00:46:34,1885.0018
2021-06-18 21:16:34-04:00,22.44,22.15,33613.4,[33640.60679447],26.44,2021-06-19 01:16:34,1852.624
2021-06-18 21:46:34-04:00,22.094,22.338888888888885,33273.5,[33640.60679447],26.094,2021-06-19 01:46:34,1833.7324
2021-06-18 22:16:34-04:00,21.387,21.72777777777777,31899.8,[33640.23330329],25.387,2021-06-19 02:16:34,1795.1302
2021-06-18 22:46:34-04:00,20.795,21.63888888888889,31040.2,[33640.23330329],24.795,2021-06-19 02:46:34,1762.807
2021-06-18 23:16:34-04:00,20.578,21.877777777777776,30899.5,[33639.85981211],24.578,2021-06-19 03:16:34,1750.9588
2021-06-18 23:46:34-04:00,23.502,21.677777777777774,34707.2,[33639.85981211],27.502,2021-06-19 03:46:34,1910.6091999999999
2021-06-19 00:16:34-04:00,23.373,21.57222222222222,34460.2,[33639.48632094],27.373,2021-06-19 04:16:34,1903.5658
2021-06-19 00:46:34-04:00,23.259,21.45,34219.9,[33639.48632094],27.259,2021-06-19 04:46:34,1897.3414
2021-06-19 01:16:34-04:00,23.28,21.51111111111111,34292.0,[33639.11282976],27.28,2021-06-19 05:16:34,1898.488
2021-06-19 01:46:34-04:00,23.205,21.427777777777774,34131.9,[33639.11282976],27.205,2021-06-19 05:46:34,1894.393
2021-06-19 02:16:34-04:00,24.724,21.47777777777777,36182.7,[33638.73933858],28.724,2021-06-19 06:16:34,1977.3304
2021-06-19 02:46:34-04:00,24.809,21.52222222222222,36329.4,[33638.73933858],28.809,2021-06-19 06:46:34,1981.9714000000001
2021-06-19 03:16:34-04:00,24.859,21.37777777777778,36285.2,[33638.36584741],28.859,2021-06-19 07:16:34,1984.7014000000001
2021-06-19 03:46:34-04:00,24.891,21.47777777777777,36403.1,[33638.36584741],28.891,2021-06-19 07:46:34,1986.4486
2021-06-19 04:16:34-04:00,24.979,21.661111111111108,36659.8,[33637.99235623],28.979,2021-06-19 08:16:34,1991.2534
2021-06-19 04:46:34-04:00,25.092,21.76111111111112,36885.9,[33637.99235623],29.092,2021-06-19 08:46:34,1997.4232
2021-06-19 05:16:34-04:00,25.12,21.77777777777778,36935.3,[33637.61886505],29.12,2021-06-19 09:16:34,1998.952
2021-06-19 07:46:34-04:00,25.222,21.661111111111108,36980.9,[33636.8718827],29.222,2021-06-19 11:46:34,2004.5212000000001
