  Date,Salinity Value,Temperature (C),Conductivity,Fit,Salinity Value (Offset +15),Date (UTC),TA (Approximated)
2022-05-17 13:06:18-04:00,17.453,18.02777777777778,24485.6,[22995.42071481],32.453,2022-05-17 17:06:18,2180.9338000000002
2022-05-17 13:36:18-04:00,16.732,18.81111111111111,23970.9,[22995.42071481],31.732,2022-05-17 17:36:18,2141.5672
2022-05-17 14:06:18-04:00,16.383,19.12777777777778,23676.5,[22995.68014754],31.383,2022-05-17 18:06:18,2122.5118
2022-05-17 14:36:18-04:00,16.22,19.322222222222223,23561.4,[22995.68014754],31.22,2022-05-17 18:36:18,2113.612
2022-05-17 15:06:18-04:00,16.282,19.22222222222221,23591.3,[22995.93958027],31.282,2022-05-17 19:06:18,2116.9972
2022-05-17 15:36:18-04:00,16.66,18.649999999999995,23792.5,[22995.93958027],31.66,2022-05-17 19:36:18,2137.636
2022-05-17 16:06:18-04:00,17.0,18.188888888888886,23990.3,[22996.19901299],32.0,2022-05-17 20:06:18,2156.2
2022-05-17 16:36:18-04:00,17.014,18.188888888888886,24008.2,[22996.19901299],32.014,2022-05-17 20:36:18,2156.9644000000003
2022-05-17 17:06:18-04:00,17.441,17.427777777777777,24145.2,[22996.45844572],32.441,2022-05-17 21:06:18,2180.2786
2022-05-17 17:36:18-04:00,17.554,17.227777777777778,24179.7,[22996.45844572],32.554,2022-05-17 21:36:18,2186.4484
2022-05-17 18:06:18-04:00,17.617,17.16111111111111,24222.5,[22996.71787845],32.617000000000004,2022-05-17 22:06:18,2189.8882000000003
2022-05-17 18:36:18-04:00,17.522,17.272222222222222,24163.2,[22996.71787845],32.522,2022-05-17 22:36:18,2184.7012
2022-05-17 19:06:18-04:00,17.556,17.16111111111111,24146.8,[22996.97731118],32.556,2022-05-17 23:06:18,2186.5576
2022-05-17 19:36:18-04:00,17.79,16.761111111111113,24220.8,[22996.97731118],32.79,2022-05-17 23:36:18,2199.334
2022-05-17 20:06:18-04:00,17.892,16.51111111111111,24209.3,[22997.2367439],32.892,2022-05-18 00:06:18,2204.9032
2022-05-17 20:36:18-04:00,18.176,15.88888888888889,24214.2,[22997.2367439],33.176,2022-05-18 00:36:18,2220.4096
2022-05-17 21:06:18-04:00,18.422,15.32777777777778,24199.4,[22997.49617663],33.422,2022-05-18 01:06:18,2233.8412
2022-05-17 21:36:18-04:00,18.438,15.277777777777777,24189.5,[22997.49617663],33.438,2022-05-18 01:36:18,2234.7148
2022-05-17 22:06:18-04:00,18.386,15.35,24168.2,[22997.75560936],33.386,2022-05-18 02:06:18,2231.8756000000003
2022-05-17 22:36:18-04:00,18.32,15.42222222222222,24128.8,[22997.75560936],33.32,2022-05-18 02:36:18,2228.272
2022-05-17 23:06:18-04:00,18.214,15.627777777777778,24115.7,[22998.01504209],33.214,2022-05-18 03:06:18,2222.4844000000003
2022-05-17 23:36:18-04:00,18.106,15.8,24079.8,[22998.01504209],33.106,2022-05-18 03:36:18,2216.5876
2022-05-18 00:06:18-04:00,17.985,15.92222222222222,24000.1,[22998.27447481],32.985,2022-05-18 04:06:18,2209.9809999999998
2022-05-18 00:36:18-04:00,17.706,16.17222222222222,23795.7,[22998.27447481],32.706,2022-05-18 04:36:18,2194.7476
2022-05-18 01:06:18-04:00,17.449,16.272222222222222,23533.2,[22998.53390754],32.449,2022-05-18 05:06:18,2180.7154
2022-05-18 01:36:18-04:00,17.271,16.31111111111111,23334.3,[22998.53390754],32.271,2022-05-18 05:36:18,2170.9966000000004
2022-05-18 02:06:18-04:00,17.034,16.349999999999998,23062.4,[22998.79334027],32.034,2022-05-18 06:06:18,2158.0564
2022-05-18 02:36:18-04:00,16.829,16.322222222222223,22794.3,[22998.79334027],31.829,2022-05-18 06:36:18,2146.8634
2022-05-18 03:06:18-04:00,16.778,16.261111111111113,22699.7,[22999.052773],31.778,2022-05-18 07:06:18,2144.0788000000002
2022-05-18 03:36:18-04:00,16.817,16.272222222222222,22752.8,[22999.052773],31.817,2022-05-18 07:36:18,2146.2082
2022-05-18 04:06:18-04:00,16.826,16.227777777777778,22741.0,[22999.31220572],31.826,2022-05-18 08:06:18,2146.6996
2022-05-18 04:36:18-04:00,16.934,16.238888888888887,22880.6,[22999.31220572],31.934,2022-05-18 08:36:18,2152.5964000000004
2022-05-18 05:06:18-04:00,17.029,16.261111111111113,23009.6,[22999.57163845],32.029,2022-05-18 09:06:18,2157.7834000000003
2022-05-18 05:36:18-04:00,17.11,16.25,23103.3,[22999.57163845],32.11,2022-05-18 09:36:18,2162.206
2022-05-18 06:06:18-04:00,17.272,16.2,23277.3,[22999.83107118],32.272,2022-05-18 10:06:18,2171.0512
2022-05-18 06:36:18-04:00,17.396,16.16111111111111,23408.5,[22999.83107118],32.396,2022-05-18 10:36:18,2177.8216
2022-05-18 07:06:18-04:00,17.911,15.872222222222222,23882.2,[23000.0905039],32.911,2022-05-18 11:06:18,2205.9406
2022-05-18 07:36:18-04:00,17.902,15.577777777777778,23711.3,[23000.0905039],32.902,2022-05-18 11:36:18,2205.4492
2022-05-18 08:06:18-04:00,17.768,15.55,23533.2,[23000.34993663],32.768,2022-05-18 12:06:18,2198.1328000000003
2022-05-18 08:36:18-04:00,18.163,15.62222222222222,24050.4,[23000.34993663],33.163,2022-05-18 12:36:18,2219.6998
2022-05-18 09:06:18-04:00,18.324,15.577777777777778,24220.8,[23000.60936936],33.324,2022-05-18 13:06:18,2228.4903999999997
2022-05-18 09:36:18-04:00,18.302,15.56111111111111,24184.6,[23000.60936936],33.302,2022-05-18 13:36:18,2227.2892
2022-05-18 10:06:18-04:00,18.312,15.58888888888889,24212.6,[23000.86880208],33.312,2022-05-18 14:06:18,2227.8352
2022-05-18 10:36:18-04:00,18.317,15.52777777777778,24184.6,[23000.86880208],33.317,2022-05-18 14:36:18,2228.1082
2022-05-18 11:06:18-04:00,18.05,16.038888888888888,24143.6,[23001.12823481],33.05,2022-05-18 15:06:18,2213.5299999999997
2022-05-18 11:36:18-04:00,17.937,16.18888888888889,24087.9,[23001.12823481],32.937,2022-05-18 15:36:18,2207.3602
2022-05-18 12:06:18-04:00,17.654,16.622222222222224,23975.8,[23001.38766754],32.654,2022-05-18 16:06:18,2191.9084000000003
2022-05-18 12:36:18-04:00,17.39,16.977777777777778,23838.9,[23001.38766754],32.39,2022-05-18 16:36:18,2177.494
2022-05-18 13:06:18-04:00,17.001,17.477777777777778,23614.9,[23001.64710026],32.001000000000005,2022-05-18 17:06:18,2156.2546
2022-05-18 13:36:18-04:00,16.666,17.96111111111111,23441.2,[23001.64710026],31.666,2022-05-18 17:36:18,2137.9636
2022-05-18 14:06:18-04:00,16.082,18.649999999999995,23036.7,[23001.90653299],31.082,2022-05-18 18:06:18,2106.0772
2022-05-18 14:36:18-04:00,15.759,18.927777777777774,22751.4,[23001.90653299],30.759,2022-05-18 18:36:18,2088.4414
2022-05-18 15:06:18-04:00,15.402,19.288888888888888,22455.8,[23002.16596572],30.402,2022-05-18 19:06:18,2068.9492
2022-05-18 15:36:18-04:00,15.541,19.2,22597.0,[23002.16596572],30.541,2022-05-18 19:36:18,2076.5386
2022-05-18 16:06:18-04:00,16.009,18.86111111111111,23047.3,[23002.42539845],31.009,2022-05-18 20:06:18,2102.0914000000002
2022-05-18 16:36:18-04:00,16.422,18.461111111111112,23383.7,[23002.42539845],31.422,2022-05-18 20:36:18,2124.6412
2022-05-18 17:06:18-04:00,16.859,17.88888888888889,23651.2,[23002.68483117],31.859,2022-05-18 21:06:18,2148.5014
