Date,Temp,CO2,Battery,Date (UTC)
169.6459,21.61,807.4,12.0,2021-06-18 15:30:05
169.6668,21.71,601.7,11.99,2021-06-18 16:00:11
169.6876,22.06,617.2,11.99,2021-06-18 16:30:08
169.7084,21.91,628.6,11.99,2021-06-18 17:00:05
169.7293,22.28,652.2,11.99,2021-06-18 17:30:11
169.7501,22.21,591.9,11.99,2021-06-18 18:00:08
169.7709,22.48,458.0,11.99,2021-06-18 18:30:05
169.7918,22.48,456.4,11.99,2021-06-18 19:00:11
169.8126,22.53,446.8,12.0,2021-06-18 19:30:08
169.8334,22.43,361.2,11.99,2021-06-18 20:00:05
169.8543,22.46,377.4,12.0,2021-06-18 20:30:11
169.8751,22.26,345.9,11.99,2021-06-18 21:00:08
169.8959,22.21,334.5,11.99,2021-06-18 21:30:05
169.9168,22.21,348.3,11.99,2021-06-18 22:00:11
169.9376,22.03,346.2,11.99,2021-06-18 22:30:08
169.9584,21.83,353.8,11.99,2021-06-18 23:00:05
169.9793,21.71,333.6,11.99,2021-06-18 23:30:11
170.0001,21.58,342.6,11.99,2021-06-19 00:00:08
170.0209,21.44,397.1,11.99,2021-06-19 00:30:05
170.0418,21.53,439.0,11.99,2021-06-19 01:00:11
170.0626,21.31,463.6,11.99,2021-06-19 01:30:08
170.0834,21.04,492.9,11.99,2021-06-19 02:00:05
170.1043,20.92,622.8,11.99,2021-06-19 02:30:11
170.1251,20.87,682.6,11.98,2021-06-19 03:00:08
170.1459,20.77,717.6,11.98,2021-06-19 03:30:05
170.1668,20.77,788.2,11.98,2021-06-19 04:00:11
170.1876,21.06,762.9,11.98,2021-06-19 04:30:08
170.2084,20.72,769.2,11.98,2021-06-19 05:00:05
170.2293,20.77,759.8,11.98,2021-06-19 05:30:11
170.2501,20.67,766.4,11.98,2021-06-19 06:00:08
170.2709,20.79,815.4,11.98,2021-06-19 06:30:05
170.2918,20.74,825.1,11.98,2021-06-19 07:00:11
170.3126,20.72,833.6,11.98,2021-06-19 07:30:08
170.3334,20.82,854.0,11.98,2021-06-19 08:00:05
170.3543,20.89,813.1,11.98,2021-06-19 08:30:11
170.3751,21.06,780.5,11.98,2021-06-19 09:00:08
170.3959,21.04,735.9,11.98,2021-06-19 09:30:05
170.4168,20.99,744.3,11.98,2021-06-19 10:00:11
170.4376,20.99,745.2,11.98,2021-06-19 10:30:08
170.4584,20.97,757.7,11.98,2021-06-19 11:00:05
170.4793,20.99,765.3,11.98,2021-06-19 11:30:11
170.5001,20.89,798.7,11.98,2021-06-19 12:00:08
170.5209,20.79,842.5,11.98,2021-06-19 12:30:05
170.5418,20.97,896.5,11.98,2021-06-19 13:00:11
170.5626,21.21,885.1,11.98,2021-06-19 13:30:08
170.5834,21.41,872.8,11.98,2021-06-19 14:00:05
170.6043,21.46,848.9,11.98,2021-06-19 14:30:11
170.6251,21.61,801.4,11.99,2021-06-19 15:00:08
170.6459,21.81,736.4,11.99,2021-06-19 15:30:05
170.6668,22.03,698.3,11.99,2021-06-19 16:00:11
170.6876,22.23,674.3,11.99,2021-06-19 16:30:08
170.7084,22.38,635.9,11.99,2021-06-19 17:00:05
170.7293,22.56,633.8,11.99,2021-06-19 17:30:11
170.7501,22.56,592.0,11.99,2021-06-19 18:00:08
170.7709,22.61,560.0,11.99,2021-06-19 18:30:05
170.7918,22.84,515.6,11.99,2021-06-19 19:00:11
170.8126,22.84,382.3,11.99,2021-06-19 19:30:08
170.8334,22.79,418.3,11.99,2021-06-19 20:00:05
170.8543,22.69,439.4,11.99,2021-06-19 20:30:11
170.8751,22.48,419.9,11.99,2021-06-19 21:00:08
170.8959,22.36,374.9,11.99,2021-06-19 21:30:05
170.9168,22.31,402.5,11.99,2021-06-19 22:00:11
170.9376,22.13,395.7,11.99,2021-06-19 22:30:08
170.9584,22.06,406.8,11.98,2021-06-19 23:00:05
170.9793,22.01,413.2,11.99,2021-06-19 23:30:11
171.0001,22.08,451.4,11.98,2021-06-20 00:00:08
171.0209,21.73,452.0,11.98,2021-06-20 00:30:05
171.0418,21.91,471.3,11.98,2021-06-20 01:00:11
171.0626,21.88,469.0,11.98,2021-06-20 01:30:08
171.0834,21.78,526.5,11.98,2021-06-20 02:00:05
171.1043,21.44,611.9,11.98,2021-06-20 02:30:11
171.1251,21.61,699.5,11.98,2021-06-20 03:00:08
171.1459,21.58,638.8,11.98,2021-06-20 03:30:05
171.1668,21.31,786.5,11.98,2021-06-20 04:00:11
171.1876,21.26,897.8,11.98,2021-06-20 04:30:08
171.2084,20.97,972.0,11.98,2021-06-20 05:00:05
171.2293,21.09,1159.7,11.97,2021-06-20 05:30:11
171.2501,20.89,1227.3,11.97,2021-06-20 06:00:08
171.2709,21.09,1228.5,11.97,2021-06-20 06:30:05
171.2918,21.26,1157.4,11.97,2021-06-20 07:00:11
171.3126,21.16,1290.4,11.97,2021-06-20 07:30:08
171.3334,21.06,1236.1,11.97,2021-06-20 08:00:05
171.3543,21.04,1105.4,11.97,2021-06-20 08:30:11
171.3751,20.89,1108.9,11.97,2021-06-20 09:00:08
171.3959,21.11,1178.0,11.97,2021-06-20 09:30:05
171.4168,21.19,1124.1,11.97,2021-06-20 10:00:11
171.4376,21.19,1083.7,11.97,2021-06-20 10:30:08
171.4584,21.36,1091.0,11.97,2021-06-20 11:00:05
171.4793,21.39,1038.7,11.97,2021-06-20 11:30:11
171.5001,21.36,1085.2,11.97,2021-06-20 12:00:08
171.5209,21.58,1136.6,11.97,2021-06-20 12:30:05
171.5418,21.53,1186.4,11.97,2021-06-20 13:00:11
171.5626,21.44,1201.4,11.97,2021-06-20 13:30:08
171.5834,21.66,1255.7,11.97,2021-06-20 14:00:05
171.6043,21.93,1172.4,11.97,2021-06-20 14:30:11
171.6251,22.26,1106.8,11.97,2021-06-20 15:00:08
171.6459,22.26,905.1,11.97,2021-06-20 15:30:05
171.6668,22.81,911.9,11.97,2021-06-20 16:00:11
171.6876,22.84,874.0,11.98,2021-06-20 16:30:08
171.7084,22.74,785.9,11.98,2021-06-20 17:00:05
171.7293,23.07,806.6,11.98,2021-06-20 17:30:11
171.7501,23.17,736.6,11.98,2021-06-20 18:00:08
171.7709,23.32,673.0,11.98,2021-06-20 18:30:05
171.7918,23.55,665.6,11.98,2021-06-20 19:00:11
171.8126,23.37,466.3,11.98,2021-06-20 19:30:08
171.8334,23.6,418.4,11.98,2021-06-20 20:00:05
171.8543,23.5,399.9,11.98,2021-06-20 20:30:11
171.8751,23.37,394.9,11.98,2021-06-20 21:00:08
171.8959,23.22,357.9,11.98,2021-06-20 21:30:05
171.9168,23.14,396.1,11.97,2021-06-20 22:00:11
171.9376,22.99,388.2,11.97,2021-06-20 22:30:08
171.9584,23.01,396.0,11.97,2021-06-20 23:00:05
171.9793,22.86,444.4,11.97,2021-06-20 23:30:11
172.0001,22.56,436.5,11.97,2021-06-21 00:00:08
172.0209,22.56,484.5,11.97,2021-06-21 00:30:05
172.0418,22.41,502.4,11.97,2021-06-21 01:00:11
172.0626,22.36,518.2,11.96,2021-06-21 01:30:08
172.0834,21.68,588.3,11.96,2021-06-21 02:00:05
172.1043,21.53,754.7,11.96,2021-06-21 02:30:11
172.1251,21.73,796.9,11.96,2021-06-21 03:00:08
172.1459,21.76,1012.0,11.96,2021-06-21 03:30:05
172.1668,21.68,1090.8,11.96,2021-06-21 04:00:11
172.1876,21.41,1236.5,11.96,2021-06-21 04:30:08
172.2084,21.46,1348.0,11.96,2021-06-21 05:00:05
172.2293,21.53,1498.2,11.96,2021-06-21 05:30:11
172.2501,21.63,1503.1,11.96,2021-06-21 06:00:08
172.2709,21.61,1498.7,11.95,2021-06-21 06:30:05
172.2918,21.63,1481.4,11.95,2021-06-21 07:00:11
172.3126,21.68,1519.3,11.95,2021-06-21 07:30:08
172.3334,21.76,1400.3,11.96,2021-06-21 08:00:05
172.3543,21.78,1358.7,11.95,2021-06-21 08:30:11
172.3751,21.78,1432.4,11.95,2021-06-21 09:00:08
172.3959,21.93,1339.0,11.96,2021-06-21 09:30:05
172.4168,21.98,1306.6,11.95,2021-06-21 10:00:11
172.4376,22.08,1092.1,11.95,2021-06-21 10:30:08
172.4584,22.13,988.7,11.95,2021-06-21 11:00:05
172.4793,22.16,1021.8,11.96,2021-06-21 11:30:11
172.5001,22.08,1030.7,11.96,2021-06-21 12:00:08
172.5209,22.18,982.0,11.96,2021-06-21 12:30:05
172.5418,22.41,879.1,11.95,2021-06-21 13:00:11
172.5626,22.43,895.5,11.95,2021-06-21 13:30:08
172.5834,22.48,873.0,11.96,2021-06-21 14:00:05
172.6043,22.41,889.2,11.96,2021-06-21 14:30:11
172.6251,22.41,934.7,11.95,2021-06-21 15:00:08
172.6459,22.43,923.7,11.96,2021-06-21 15:30:05
172.6668,22.51,901.3,11.95,2021-06-21 16:00:11
172.6876,22.46,865.3,11.95,2021-06-21 16:30:08
172.7084,22.38,705.3,11.95,2021-06-21 17:00:05
172.7293,22.38,644.0,11.95,2021-06-21 17:30:11
172.7501,22.31,602.8,11.95,2021-06-21 18:00:08
172.7709,22.33,545.9,11.95,2021-06-21 18:30:05
172.7918,22.31,523.7,11.95,2021-06-21 19:00:11
172.8126,22.23,504.5,11.95,2021-06-21 19:30:08
172.8334,22.23,583.1,11.95,2021-06-21 20:00:05
172.8543,22.23,540.6,11.95,2021-06-21 20:30:11
172.8751,22.23,559.8,11.95,2021-06-21 21:00:08
172.8959,22.23,566.8,11.95,2021-06-21 21:30:05
172.9168,22.26,588.1,11.95,2021-06-21 22:00:11
172.9376,22.21,618.3,11.95,2021-06-21 22:30:08
172.9584,22.21,635.8,11.95,2021-06-21 23:00:05
172.9793,22.21,659.6,11.95,2021-06-21 23:30:11
173.0001,22.18,689.1,11.95,2021-06-22 00:00:08
173.0209,22.16,699.1,11.95,2021-06-22 00:30:05
173.0418,22.11,696.5,11.94,2021-06-22 01:00:11
173.0626,22.03,714.8,11.94,2021-06-22 01:30:08
173.0834,21.96,763.2,11.95,2021-06-22 02:00:05
173.1043,21.96,858.0,11.94,2021-06-22 02:30:11
173.1251,21.93,884.0,11.94,2021-06-22 03:00:08
173.1668,21.83,960.4,11.96,2021-06-22 04:00:11
173.1876,21.78,1090.9,11.96,2021-06-22 04:30:08
173.2084,21.61,1405.2,11.95,2021-06-22 05:00:05
173.2293,21.56,1517.2,11.95,2021-06-22 05:30:11
173.2501,21.36,1663.2,11.95,2021-06-22 06:00:08
173.2709,21.34,1786.2,11.94,2021-06-22 06:30:05
173.2918,21.21,1879.5,11.94,2021-06-22 07:00:11
173.3126,21.24,1981.5,11.94,2021-06-22 07:30:08
173.3334,21.36,1967.2,11.93,2021-06-22 08:00:05
173.3543,21.41,1810.0,11.93,2021-06-22 08:30:11
173.3751,21.39,1730.9,11.93,2021-06-22 09:00:08
173.3959,21.41,1703.2,11.93,2021-06-22 09:30:05
173.4168,21.41,1681.6,11.93,2021-06-22 10:00:11
173.4376,21.51,1625.0,11.93,2021-06-22 10:30:08
173.4584,21.48,1575.0,11.93,2021-06-22 11:00:05
173.4793,21.63,1505.3,11.93,2021-06-22 11:30:11
173.5001,21.61,1415.2,11.93,2021-06-22 12:00:08
173.5209,21.76,1316.6,11.93,2021-06-22 12:30:05
173.5418,21.63,1276.6,11.93,2021-06-22 13:00:11
173.5626,22.06,1207.6,11.93,2021-06-22 13:30:08
173.5834,22.13,1117.4,11.93,2021-06-22 14:00:05
173.6043,22.36,1052.8,11.93,2021-06-22 14:30:11
173.6251,22.38,1015.2,11.93,2021-06-22 15:00:08
173.6459,22.74,998.9,11.93,2021-06-22 15:30:05
173.6668,22.89,956.3,11.93,2021-06-22 16:00:11
173.6876,22.99,930.2,11.93,2021-06-22 16:30:08
173.7084,23.27,942.6,11.93,2021-06-22 17:00:05
173.7293,23.12,895.1,11.93,2021-06-22 17:30:11
173.7501,23.12,675.4,11.93,2021-06-22 18:00:08
173.7709,22.81,497.5,11.93,2021-06-22 18:30:05
173.7918,22.66,346.2,11.93,2021-06-22 19:00:11
173.8126,22.76,376.6,11.93,2021-06-22 19:30:08
173.8334,22.69,329.9,11.93,2021-06-22 20:00:05
173.8543,22.86,407.7,11.93,2021-06-22 20:30:11
173.8751,22.84,328.9,11.93,2021-06-22 21:00:08
173.8959,22.79,393.2,11.93,2021-06-22 21:30:05
173.9168,22.28,510.4,11.93,2021-06-22 22:00:11
173.9376,22.61,555.4,11.92,2021-06-22 22:30:08
173.9584,22.53,590.0,11.92,2021-06-22 23:00:05
173.9793,22.51,604.6,11.92,2021-06-22 23:30:11
174.0001,22.38,636.3,11.92,2021-06-23 00:00:08
174.0209,22.31,666.6,11.92,2021-06-23 00:30:05
174.0418,22.31,627.5,11.92,2021-06-23 01:00:11
174.0626,22.21,677.3,11.92,2021-06-23 01:30:08
174.0834,21.91,664.9,11.92,2021-06-23 02:00:05
174.1043,22.08,728.4,11.92,2021-06-23 02:30:11
174.1251,22.08,715.9,11.92,2021-06-23 03:00:08
174.1459,21.81,758.4,11.92,2021-06-23 03:30:05
174.1668,21.91,896.9,11.92,2021-06-23 04:00:11
174.1876,21.96,992.1,11.92,2021-06-23 04:30:08
174.2084,21.73,852.3,11.92,2021-06-23 05:00:05
174.2293,21.41,1108.9,11.91,2021-06-23 05:30:11
174.2501,21.29,1243.5,11.91,2021-06-23 06:00:08
174.2709,21.16,1468.3,11.91,2021-06-23 06:30:05
174.2918,21.34,1510.1,11.91,2021-06-23 07:00:11
174.3126,21.16,1416.0,11.91,2021-06-23 07:30:08
