Date,Time,Temp,pH,Battery,Date (UTC)
2020-07-09,19:00:00,24.4,7.9216,11.58,2020-07-09 19:00:00
2020-07-09,19:59:59,24.74,7.9336,11.66,2020-07-09 19:59:59
2020-07-09,20:59:59,24.74,7.9452,11.7,2020-07-09 20:59:59
2020-07-09,21:59:59,24.87,7.9387,11.72,2020-07-09 21:59:59
2020-07-09,22:59:59,24.92,7.9414,11.73,2020-07-09 22:59:59
2020-07-09,23:59:59,24.95,7.8858,11.74,2020-07-09 23:59:59
2020-07-10,00:59:59,25.26,7.7628,11.74,2020-07-10 00:59:59
2020-07-10,01:59:59,25.39,7.4802,11.75,2020-07-10 01:59:59
2020-07-10,02:59:59,25.39,7.3889,11.75,2020-07-10 02:59:59
2020-07-10,03:59:59,23.91,7.8611,11.74,2020-07-10 03:59:59
2020-07-10,04:59:59,23.45,7.86,11.74,2020-07-10 04:59:59
2020-07-10,05:59:59,23.5,7.8395,11.73,2020-07-10 05:59:59
2020-07-10,06:59:59,23.75,7.8384,11.73,2020-07-10 06:59:59
2020-07-10,07:59:59,23.86,7.8161,11.73,2020-07-10 07:59:59
2020-07-10,08:59:59,23.68,7.8445,11.73,2020-07-10 08:59:59
2020-07-10,09:59:59,23.6,7.8278,11.73,2020-07-10 09:59:59
2020-07-10,10:59:59,23.7,7.7998,11.73,2020-07-10 10:59:59
2020-07-10,11:59:59,23.75,7.7393,11.73,2020-07-10 11:59:59
2020-07-10,12:59:59,23.83,7.6098,11.73,2020-07-10 12:59:59
2020-07-10,13:59:59,24.3,7.381,11.73,2020-07-10 13:59:59
2020-07-10,14:59:59,24.79,7.1436,11.73,2020-07-10 14:59:59
2020-07-10,15:59:59,24.27,7.6692,11.73,2020-07-10 15:59:59
2020-07-10,16:59:59,24.3,7.9146,11.73,2020-07-10 16:59:59
2020-07-10,17:59:59,24.45,7.9596,11.73,2020-07-10 17:59:59
2020-07-10,18:59:59,24.48,7.964,11.72,2020-07-10 18:59:59
2020-07-10,19:59:59,24.58,7.9583,11.72,2020-07-10 19:59:59
2020-07-10,20:59:59,24.48,7.9435,11.72,2020-07-10 20:59:59
2020-07-10,21:59:59,24.35,7.9176,11.72,2020-07-10 21:59:59
2020-07-10,22:59:59,24.37,8.0126,11.72,2020-07-10 22:59:59
2020-07-10,23:59:59,24.48,7.9232,11.71,2020-07-10 23:59:59
2020-07-11,00:59:59,24.48,7.8802,11.71,2020-07-11 00:59:59
2020-07-11,01:59:59,24.53,7.7774,11.7,2020-07-11 01:59:59
2020-07-11,02:59:59,24.63,7.5694,11.7,2020-07-11 02:59:59
2020-07-11,03:59:59,24.61,7.5178,11.7,2020-07-11 03:59:59
2020-07-11,04:59:59,23.5,7.8196,11.69,2020-07-11 04:59:59
2020-07-11,05:59:59,23.4,7.8516,11.69,2020-07-11 05:59:59
2020-07-11,06:59:59,23.4,7.8832,11.68,2020-07-11 06:59:59
2020-07-11,07:59:59,23.34,7.8455,11.68,2020-07-11 07:59:59
2020-07-11,08:59:59,23.37,7.834,11.67,2020-07-11 08:59:59
2020-07-11,09:59:59,23.27,7.8562,11.67,2020-07-11 09:59:59
2020-07-11,10:59:59,23.22,7.8141,11.67,2020-07-11 10:59:59
2020-07-11,11:59:59,23.29,7.8046,11.67,2020-07-11 11:59:59
2020-07-11,12:59:59,23.34,7.7485,11.67,2020-07-11 12:59:59
2020-07-11,13:59:59,23.55,7.6055,11.66,2020-07-11 13:59:59
2020-07-11,14:59:59,24.01,7.3943,11.66,2020-07-11 14:59:59
2020-07-11,15:59:59,24.53,7.1944,11.66,2020-07-11 15:59:59
2020-07-11,16:59:59,24.19,7.8162,11.67,2020-07-11 16:59:59
