Year Day,Temperature C,SalinityConst,pHConstSal,Battery Voltage,DateStr,TimeStr,Date (UTC)
127.5406,12.58,35.0,7.8887,11.68,2021-05-07,12:58:31,2021-05-07 12:58:27
128.2906,13.56,35.0,8.3966,11.69,2021-05-08,06:58:31,2021-05-08 06:58:27
128.3323,13.72,35.0,8.4077,11.69,2021-05-08,07:58:31,2021-05-08 07:58:30
128.374,13.97,35.0,8.1964,11.69,2021-05-08,08:58:31,2021-05-08 08:58:33
128.4156,13.49,35.0,8.0396,11.69,2021-05-08,09:58:31,2021-05-08 09:58:27
131.4156,13.17,35.0,8.1429,11.47,2021-05-11,09:58:31,2021-05-11 09:58:27
131.999,15.23,35.0,7.9609,11.47,2021-05-11,23:58:31,2021-05-11 23:58:33
132.2906,13.51,35.0,8.1061,11.43,2021-05-12,06:58:31,2021-05-12 06:58:27
132.4156,13.29,35.0,7.7857,11.41,2021-05-12,09:58:31,2021-05-12 09:58:27
132.749,13.83,35.0,8.1729,11.4,2021-05-12,17:58:31,2021-05-12 17:58:33
132.7906,14.18,35.0,8.1328,11.4,2021-05-12,18:58:31,2021-05-12 18:58:27
132.8323,14.29,35.0,8.0423,11.4,2021-05-12,19:58:31,2021-05-12 19:58:30
132.874,14.52,35.0,8.2456,11.4,2021-05-12,20:58:31,2021-05-12 20:58:33
132.9573,15.28,35.0,7.9601,11.41,2021-05-12,22:58:31,2021-05-12 22:58:30
132.999,15.4,35.0,7.8774,11.41,2021-05-12,23:58:31,2021-05-12 23:58:33
133.0406,14.06,35.0,7.985,11.4,2021-05-13,00:58:31,2021-05-13 00:58:27
133.0823,13.74,35.0,8.0095,11.39,2021-05-13,01:58:31,2021-05-13 01:58:30
133.124,13.63,35.0,8.0071,11.38,2021-05-13,02:58:31,2021-05-13 02:58:33
133.1656,13.49,35.0,7.9935,11.38,2021-05-13,03:58:31,2021-05-13 03:58:27
133.2073,13.51,35.0,7.9884,11.37,2021-05-13,04:58:31,2021-05-13 04:58:30
136.249,15.35,35.0,7.9989,11.25,2021-05-16,05:58:31,2021-05-16 05:58:33
136.2906,15.07,35.0,7.9544,11.24,2021-05-16,06:58:31,2021-05-16 06:58:27
136.3323,14.91,35.0,7.9786,11.24,2021-05-16,07:58:31,2021-05-16 07:58:30
136.374,14.82,35.0,7.9816,11.24,2021-05-16,08:58:31,2021-05-16 08:58:33
136.4156,14.96,35.0,7.9669,11.23,2021-05-16,09:58:31,2021-05-16 09:58:27
136.4573,15.14,35.0,7.9476,11.23,2021-05-16,10:58:31,2021-05-16 10:58:30
136.499,15.44,35.0,7.8668,11.23,2021-05-16,11:58:31,2021-05-16 11:58:33
136.5406,16.42,35.0,7.6757,11.24,2021-05-16,12:58:31,2021-05-16 12:58:27
136.6656,16.51,35.0,7.9489,11.25,2021-05-16,15:58:31,2021-05-16 15:58:27
136.7073,16.74,35.0,7.9819,11.24,2021-05-16,16:58:31,2021-05-16 16:58:30
136.749,17.21,35.0,7.9948,11.24,2021-05-16,17:58:31,2021-05-16 17:58:33
