SAMP_DATE,TIME,SAL_FIELD,SAMPDEP_M,TOTDEP_M,Datetime,Datetime_noyear
5/27/2023,8:20 AM,29.0,2.1,2.4,2023-05-27 12:20:00,1900-05-27 12:20:00
5/31/2023,8:30 AM,23.0,2.3,2.58,2023-05-31 12:30:00,1900-05-31 12:30:00
6/15/2023,8:35 AM,30.0,2.75,3.15,2023-06-15 12:35:00,1900-06-15 12:35:00
6/21/2023,8:35 AM,30.0,2.44,2.74,2023-06-21 12:35:00,1900-06-21 12:35:00
6/26/2023,8:15 AM,28.0,2.25,2.55,2023-06-26 12:15:00,1900-06-26 12:15:00
7/2/2023,8:35 AM,30.0,2.8,3.3,2023-07-02 12:35:00,1900-07-02 12:35:00
7/6/2023,8:35 AM,29.0,2.5,2.7,2023-07-06 12:35:00,1900-07-06 12:35:00
7/12/2023,8:15 AM,27.0,2.1,2.4,2023-07-12 12:15:00,1900-07-12 12:15:00
7/18/2023,8:25 AM,30.0,3.0,3.3,2023-07-18 12:25:00,1900-07-18 12:25:00
7/21/2023,8:25 AM,25.0,2.5,2.7,2023-07-21 12:25:00,1900-07-21 12:25:00
7/28/2023,8:05 AM,29.0,2.05,2.35,2023-07-28 12:05:00,1900-07-28 12:05:00
8/3/2023,8:25 AM,30.0,3.0,3.45,2023-08-03 12:25:00,1900-08-03 12:25:00
8/11/2023,8:25 AM,27.0,2.5,2.8,2023-08-11 12:25:00,1900-08-11 12:25:00
8/17/2023,8:30 AM,29.0,2.9,3.3,2023-08-17 12:30:00,1900-08-17 12:30:00
8/23/2023,8:30 AM,30.0,2.3,2.6,2023-08-23 12:30:00,1900-08-23 12:30:00
8/28/2023,8:40 AM,26.0,2.55,2.85,2023-08-28 12:40:00,1900-08-28 12:40:00
9/2/2023,8:15 AM,31.0,2.7,3.0,2023-09-02 12:15:00,1900-09-02 12:15:00
9/8/2023,8:45 AM,29.0,2.2,2.5,2023-09-08 12:45:00,1900-09-08 12:45:00
9/13/2023,9:00 AM,30.0,2.8,3.3,2023-09-13 13:00:00,1900-09-13 13:00:00
9/19/2023,8:50 AM,24.0,2.6,2.9,2023-09-19 12:50:00,1900-09-19 12:50:00
9/22/2023,9:00 AM,31.0,2.3,2.6,2023-09-22 13:00:00,1900-09-22 13:00:00
