,Bottle Number,Bottle Label,Sampling Date,Date Processed,Bottle Cleaned,Observations,STUDY_ID,EVENT_ID,STAT_ID,ORDERED_DEPTH_CODE,SAMPLE_ID,SAMPLE_DEPTH_TOP,SAMPLE_DEPTH_BOTTOM,LATITUDE,LONGITUDE,PROF_DATE_TIME_LOCAL,SAMPLE_DEPTH_CODE,DEPTH (m),CONDTVY (mS/cm),DISS_OXYGEN (mg/L),FLUORESCENCE (ug/L),FLU_RAW (ug/L),PCT_SAT (PCT),pH (),VAL_QUAL,SAL (PSU),SIGMA_T (),TEMP (C),TRANS (m-1),Station_D,Air Irradiance,Water Irradiance,TA in (mmol/kgSW),TCO2 in (mmol/kgSW),t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),Field Replicate,VINDTA Sample Name,Sampled Bottle Name,Sampling Date,Sampling Depth,Salinity - Carolina,Salinity - Ries ,Run T,Sampling T,Pressure,Comments,Data Source
0,1,F06-d,03/23/22,,,,BWQM,WN222,F06,E,WN2220A4,28.87,29.87,42.1695556,-70.5773925,3/23/2022 12:54,E,29.65,31.6,10.85,7.932,6.443,105.9,8.26,,32.73,25.86,5.117,1.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
1,2,F06-m,03/23/22,,,,BWQM,WN222,F06,C,WN2220A6,14.04,15.04,42.1696243,-70.5772552,3/23/2022 12:54,C,14.76,31.58,10.91,10.9,7.716,106.4,8.268,,32.71,25.85,5.121,1.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
2,3,F06-s,03/23/22,,,,BWQM,WN222,F06,A,WN2220A8,1.03,2.03,42.1694869,-70.5773086,3/23/2022 12:54,A,2.19,31.75,11.14,4.604,3.106,109.2,8.285,,32.7,25.81,5.337,1.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
3,4,N07-d,03/23/22,,,,BWQM,WN222,N07,E,WN222078,40.9,41.9,42.3552436,-70.7072372,3/23/2022 10:54,E,41.91,31.62,9.786,0.3038,1.853,95.29,8.172,,32.84,25.96,5.022,0.9049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
4,5,N07-m1,03/23/22,,,,BWQM,WN222,N07,C,WN22207A,20.81,21.81,42.3548393,-70.7077484,3/23/2022 10:54,C,22.03,31.68,10.69,4.284,4.604,104.6,8.248,,32.67,25.79,5.275,0.9034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
5,6,N07-m2,03/23/22,,,,BWQM,WN222,N07,C,WN22207A,20.81,21.81,42.3548393,-70.7077484,3/23/2022 10:54,C,22.03,31.68,10.69,4.284,4.604,104.6,8.248,,32.67,25.79,5.275,0.9034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
6,7,N07-s,03/23/22,,,,BWQM,WN222,N07,A,WN22207C,0.55,1.55,42.3545722,-70.7081451,3/23/2022 10:54,A,1.66,31.79,11.0,2.471,1.242,108.4,8.28,,32.48,25.61,5.599,0.8943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
7,8,F06-d,04/13/22,,,,BWQM,WN223,F06,E,WN2230C1,28.07,29.07,42.1709136,-70.5764083,4/13/2022 12:29,E,29.1,31.93,10.06,0.0165,0.525,99.67,8.206,,32.37,25.49,5.876,0.6787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
8,9,F06-m,04/13/22,,,,BWQM,WN223,F06,C,WN2230C3,12.26,13.26,42.1712074,-70.5765762,4/13/2022 12:29,C,13.29,31.98,10.28,0.5972,1.073,102.3,8.244,,32.23,25.36,6.084,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
9,10,F06-s,04/13/22,,,,BWQM,WN223,F06,A,WN2230C5,0.6,1.6,42.1715774,-70.5767822,4/13/2022 12:29,A,1.67,32.72,10.29,1.065,0.2928,104.7,8.253,,32.12,25.14,7.075,0.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
