Year Day	Temperature C	CO2	Battery Voltage
122.6708	11.79		11.70
122.6714			
122.7119	12.36	654.4	12.06
122.7119			
122.7536	12.74	640.2	12.05
122.7536			
122.7952	12.77	626.5	12.06
122.7953			
122.8369	12.18	643.7	12.06
122.8369			
122.8786	11.86	626.7	12.06
122.8786			
122.9202	11.55	613.4	12.06
122.9203			
122.9619	11.57	635.4	12.05
122.9619			
123.0036	11.35	627.6	12.05
123.0036			
123.0452	11.23	627.4	12.05
123.0453			
123.0869	11.17	635.0	12.05
123.0869			
123.1286	11.21	650.7	12.05
123.1286			
123.1702	11.23	668.1	12.05
123.1703			
123.2119	11.37	745.9	12.05
123.2119			
123.2536	11.43	863.6	12.06
123.2536			
123.2952	11.46	994.7	12.06
123.2953			
123.3369	11.43	1018.6	12.06
123.3369			
123.3786	11.39	949.6	12.06
123.3786			
123.4202	11.26	796.9	12.06
123.4203			
123.4619	11.17	790.4	12.06
123.4619			
123.5036	11.10	766.6	12.06
123.5036			
123.5452	11.10	736.6	12.06
123.5453			
123.5869	11.12	714.5	12.06
123.5869			
123.6286	11.14	694.6	12.06
123.6286			
123.6702	11.52	738.4	12.06
123.6703			
123.7119	12.06	793.8	12.06
123.7119			
123.7536	12.49	773.8	12.07
123.7536			
123.7952	12.83	741.0	12.07
123.7953			
123.8369	12.38	749.8	12.07
123.8369			
123.8786	11.91	716.6	12.07
123.8786			
123.9202	12.09	642.3	12.07
123.9203			
123.9619	11.91	628.8	12.07
123.9619			
124.0036	11.95	637.5	12.07
124.0036			
124.0452	11.84	629.5	12.07
124.0453			
124.0869	11.66	645.0	12.07
124.0869			
124.1286	11.61	645.8	12.06
124.1286			
124.1702	11.61	665.1	12.06
124.1703			
124.2119	11.75	693.2	12.07
124.2119			
124.2536	11.97	783.6	12.07
124.2536			
124.2952	12.00	906.9	12.07
124.2953			
124.3369	12.00	1083.5	12.07
124.3369			
124.3786	11.91	1017.6	12.07
124.3786			
124.4202	11.70	877.5	12.06
124.4203			
124.4619	11.59	834.1	12.07
124.4619			
124.5036	11.30	802.7	12.06
124.5036			
124.5452	11.26	762.5	12.06
124.5453			
124.5869	11.26	739.6	12.06
124.5869			
124.6286	11.23	720.5	12.06
124.6286			
124.6702	11.23	703.2	12.06
124.6703			
124.7119	11.48	723.4	12.06
124.7119			
124.7536	11.91	846.4	12.06
124.7536			
124.7952	12.22	858.3	12.07
124.7953			
124.8369	12.20	871.1	12.07
124.8369			
124.8786	11.91	846.5	12.07
124.8786			
124.9202	11.61	757.0	12.06
124.9203			
124.9619	11.59	742.9	12.06
124.9619			
125.0036	11.59	694.5	12.06
125.0036			
125.0452	11.52	692.7	12.06
125.0453			
125.0869	11.52	695.2	12.06
125.0869			
125.1286	11.50	689.9	12.06
125.1286			
125.1702	11.46	701.6	12.06
125.1703			
125.2119	11.66	770.7	12.06
125.2119			
125.2536	11.86	837.7	12.06
125.2536			
125.2952	11.93	1095.4	12.06
125.2953			
125.3369	11.91	1224.1	12.06
125.3369			
125.3786	11.88	1159.7	12.07
125.3786			
125.4202	11.77	1016.1	12.06
125.4203			
125.4619	11.68	1007.9	12.06
125.4619			
125.5036	11.61	920.3	12.06
125.5036			
125.5452	11.66	877.4	12.06
125.5453			
125.5869	11.86	817.4	12.06
125.5869			
125.6286	11.86	762.3	12.06
125.6286			
125.6702	12.00	735.9	12.06
125.6703			
125.7119	12.31	734.4	12.06
125.7119			
125.7536	13.81	764.8	12.07
125.7536			
125.7952	14.20	728.4	12.08
125.7953			
125.8369	15.21	622.3	12.08
125.8369			
125.8786	14.59	632.2	12.09
125.8786			
125.9202	12.74	682.2	12.08
125.9203			
125.9619	12.70	680.8	12.07
125.9619			
126.0036	12.67	657.4	12.07
126.0036			
126.0452	12.61	641.4	12.07
126.0453			
126.0869	12.56	656.9	12.07
126.0869			
126.1286	12.56	663.5	12.07
126.1286			
126.1702	12.40	675.0	12.06
126.1703			
126.2124	12.40		11.76
126.2131			
126.2536	12.56	695.3	12.07
126.2536			
126.2952	13.20	755.2	12.07
126.2953			
126.3369	13.31	902.8	12.07
126.3369			
126.3786	13.20	925.7	12.06
126.3786			
126.4202	12.72	892.3	12.06
126.4203			
126.4619	12.49	842.4	12.06
126.4619			
126.5036	12.45	839.7	12.06
126.5036			
126.5452	12.45	855.4	12.06
126.5453			
126.5869	12.25	796.1	12.06
126.5869			
126.6286	12.36	758.0	12.06
126.6286			
126.6702	12.29	721.8	12.06
126.6703			
126.7119	12.29	677.3	12.06
126.7119			
126.7536	13.11	689.7	12.06
126.7536			
126.7952	13.26	682.2	12.06
126.7953			
