Year Day	Temperature C	CO2	Battery Voltage
200.7089	18.47		11.41
200.7293	18.61	618.7	11.72
200.7501	18.78	603.7	11.72
200.7709	18.80	596.0	11.72
200.7918	18.83	585.3	11.71
200.8126	18.88	567.9	11.71
200.8334	18.90	562.3	11.71
200.8543	18.83	552.9	11.70
200.8751	18.80	552.1	11.71
200.8959	18.80	562.1	11.70
200.9168	18.33	557.0	11.70
200.9376	18.30	553.8	11.70
200.9584	18.26	541.8	11.70
200.9793	18.61	517.7	11.70
201.0001	18.83	525.4	11.70
201.0209	18.76	526.6	11.70
201.0418	18.61	548.4	11.70
201.0626	18.54	568.0	11.70
201.0834	18.45	600.5	11.70
201.1043	18.49	629.6	11.69
201.1251	18.52	608.0	11.70
201.1459	18.45	612.6	11.69
201.1668	18.35	609.7	11.69
201.1876	18.49	618.5	11.69
201.2084	18.66	623.8	11.69
201.2293	18.66	640.0	11.69
201.2501	18.61	645.2	11.69
201.2709	18.52	649.6	11.69
201.2918	18.35	680.4	11.69
201.3126	18.23	671.3	11.69
201.3334	18.49	681.9	11.69
201.3543	18.35	677.2	11.69
201.3751	18.33	675.4	11.69
201.3959	18.26	677.9	11.69
201.4168	18.21	674.2	11.69
201.4376	18.16	666.7	11.69
201.4584	18.11	664.9	11.69
201.4793	18.11	658.1	11.69
201.5001	18.14	673.9	11.69
201.5209	18.21	679.2	11.69
201.5418	18.42	678.0	11.69
201.5626	18.35	657.7	11.69
201.5834	18.33	659.1	11.69
201.6043	18.35	677.5	11.69
201.6251	18.49	677.7	11.69
201.6459	18.76	713.6	11.69
201.6668	18.42	685.7	11.69
201.6876	18.30	664.4	11.69
201.7084	19.41	652.9	11.69
201.7293	19.19	653.2	11.69
201.7501	19.31	663.5	11.69
201.7709	19.33	679.0	11.69
201.7918	19.04	660.5	11.69
201.8126	19.07	656.3	11.69
201.8334	18.95	651.0	11.69
201.8543	18.85	622.7	11.69
201.8751	18.85	626.9	11.69
201.8959	18.80	622.9	11.69
201.9168	18.80	622.9	11.69
201.9376	18.73	627.9	11.69
201.9584	18.23	622.5	11.69
201.9793	18.33	645.6	11.69
202.0001	18.21	665.7	11.69
202.0209	19.14	605.9	11.68
202.0418	19.21	604.7	11.69
202.0626	19.21	611.6	11.69
202.0834	18.88	616.7	11.69
202.1043	18.66	643.4	11.69
202.1251	18.66	697.5	11.69
202.1459	18.73	720.5	11.69
202.1668	18.71	737.8	11.69
202.1876	18.64	715.7	11.69
202.2084	18.33	795.7	11.68
202.2293	18.30	834.2	11.69
202.2501	19.04	791.3	11.69
202.2709	19.04	870.3	11.69
202.2918	19.00	848.6	11.69
202.3126	19.00	716.0	11.69
202.3334	18.97	739.6	11.69
202.3543	18.95	846.4	11.69
202.3751	18.66	816.9	11.69
202.3959	18.37	750.9	11.68
202.4168	18.30	725.0	11.68
202.4376	18.30	729.0	11.68
202.4584	18.30	728.6	11.68
202.4793	18.26	708.1	11.68
202.5001	18.18	698.2	11.68
202.5209	18.54	717.4	11.68
202.5418	18.54	681.1	11.68
202.5626	18.30	675.5	11.68
202.5834	18.47	679.3	11.68
202.6043	18.97	695.2	11.68
202.6251	18.95	716.6	11.68
202.6459	18.52	734.5	11.68
202.6668	18.59	759.8	11.68
202.6876	18.71	771.5	11.68
202.7084	18.78	765.9	11.68
202.7293	18.59	746.4	11.68
202.7501	18.83	701.6	11.68
202.7709	19.26	703.4	11.68
202.7918	19.14	729.4	11.68
202.8126	18.85	749.9	11.68
202.8334	19.26	774.1	11.68
202.8543	19.31	772.3	11.69
202.8751	19.21	751.2	11.68
202.8959	19.09	744.5	11.69
202.9168	19.04	743.2	11.68
202.9376	18.97	760.2	11.69
202.9584	18.92	755.2	11.68
202.9793	18.71	784.0	11.68
203.0001	18.49	747.9	11.68
203.0209	18.40	747.5	11.68
203.0418	18.40	750.9	11.68
203.0626	19.12	741.6	11.67
203.0834	19.31	721.0	11.68
203.1043	18.78	731.9	11.68
203.1251	19.00	736.4	11.68
203.1459	19.02	749.0	11.68
203.1668	18.78	837.0	11.68
203.1876	18.73	856.7	11.68
203.2084	18.71	867.1	11.68
203.2293	18.71	965.9	11.68
203.2501	18.57	933.9	11.68
203.2709	18.64	892.8	11.68
203.2918	19.12	804.1	11.68
203.3126	19.04	823.5	11.68
203.3334	19.12	849.3	11.68
203.3543	19.14	833.8	11.68
203.3751	19.04	822.5	11.68
203.3959	18.92	835.8	11.68
203.4168	18.85	824.6	11.68
203.4376	18.73	842.3	11.68
203.4584	18.64	828.0	11.67
203.4793	18.59	825.8	11.67
203.5001	18.59	848.1	11.67
203.5209	18.54	861.9	11.67
203.5418	18.47	822.3	11.67
203.5626	18.45	805.3	11.67
203.5834	18.42	782.3	11.67
203.6043	18.45	791.9	11.67
203.6251	18.54	830.4	11.67
203.6459	18.66	785.2	11.67
203.6668	18.71	805.7	11.67
203.6876	18.64	822.2	11.67
203.7084	18.78	838.5	11.67
203.7293	18.83	819.6	11.67
203.7501	18.97	784.9	11.67
203.7709	18.66	865.2	11.67
203.7918	18.68	848.3	11.67
203.8126	19.33	845.6	11.67
203.8334	19.14	824.7	11.68
203.8543	19.41	839.0	11.67
203.8751	19.50	858.8	11.68
203.8959	19.36	837.7	11.68
203.9168	19.38	839.4	11.68
203.9376	19.21	841.4	11.68
203.9584	19.21	849.4	11.68
203.9793	19.09	879.4	11.68
204.0001	19.16	855.0	11.67
204.0209	18.90	843.5	11.67
204.0418	18.83	823.1	11.67
204.0626	18.68	837.8	11.67
204.0834	19.12	790.8	11.67
204.1043	19.29	762.7	11.67
204.1251	19.41	793.8	11.67
204.1459	19.09	802.5	11.67
204.1668	19.21	808.1	11.67
204.1876	19.36	843.1	11.67
204.2084	19.19	866.3	11.67
204.2298	19.29		11.39
204.2501	19.50	862.3	11.70
204.2709	19.53	849.0	11.70
204.2918	19.84	843.6	11.70
204.3126	19.65	860.8	11.69
204.3334	19.77	861.7	11.69
204.3543	19.91	871.2	11.69
204.3751	19.99	895.7	11.69
204.3959	19.94	959.2	11.68
204.4168	19.91	924.6	11.69
204.4376	19.94	918.8	11.69
204.4584	19.94	904.3	11.69
204.4793	19.82	891.3	11.68
204.5001	19.77	870.4	11.68
204.5209	19.72	876.1	11.68
204.5418	19.57	851.0	11.68
204.5626	19.55	832.3	11.68
204.5834	19.45	816.1	11.68
204.6043	19.79	818.6	11.68
204.6251	19.87	781.4	11.68
204.6459	20.04	767.9	11.68
204.6668	20.08	771.6	11.68
204.6876	20.25	785.7	11.68
204.7084	20.33	801.2	11.68
204.7293	20.47	813.0	11.68
204.7501	20.45	825.4	11.68
204.7709	20.52	843.1	11.68
204.7918	20.67	851.7	11.68
204.8126	20.82	852.2	11.68
204.8334	20.30	839.3	11.68
204.8543	20.52	879.7	11.68
204.8751	20.45	879.2	11.68
204.8959	20.33	877.9	11.68
204.9168	20.35	899.6	11.68
204.9376	20.38	902.2	11.68
204.9584	20.40	884.4	11.68
204.9793	20.38	873.8	11.68
205.0001	20.25	901.4	11.68
205.0209	20.30	923.6	11.68
205.0418	20.35	936.9	11.67
205.0626	20.33	960.6	11.67
205.0834	20.11	971.4	11.67
205.1043	19.96	983.0	11.67
205.1251	20.18	874.2	11.67
205.1459	20.28	837.8	11.67
205.1668	20.38	853.1	11.67
205.1876	20.35	878.8	11.67
205.2084	20.50	887.8	11.67
205.2293	20.55	918.8	11.67
205.2501	20.67	989.7	11.68
205.2709	20.72	1061.4	11.68
205.2918	20.50	996.4	11.67
205.3126	20.33	992.3	11.68
205.3334	20.79	1011.8	11.67
205.3543	20.57	1089.2	11.67
205.3751	20.55	1112.5	11.67
205.3959	20.52	1107.7	11.67
205.4168	20.45	1044.7	11.67
205.4376	20.52	1008.5	11.67
205.4584	20.47	1027.5	11.67
205.4793	20.21	1005.1	11.67
205.5001	20.16	999.7	11.67
205.5209	20.18	992.3	11.67
205.5418	19.94	985.1	11.67
205.5626	20.01	1005.6	11.67
205.5834	19.96	1016.0	11.67
205.6043	19.57	944.2	11.67
205.6251	19.74	962.2	11.66
205.6459	20.79	911.8	11.67
205.6668	21.26	864.7	11.67
205.6876	21.21	857.4	11.67
205.7084	21.48	874.5	11.68
205.7293	21.71	894.0	11.68
205.7501	21.83	901.9	11.68
205.7709	21.91	910.4	11.69
205.7918	21.86	904.2	11.68
205.8126	21.91	894.9	11.68
205.8334	21.93	899.7	11.68
205.8543	21.86	901.1	11.68
205.8751	20.94	868.9	11.68
205.8959	21.04	889.7	11.68
205.9168	21.02	904.1	11.68
205.9376	20.99	928.1	11.68
205.9584	20.99	948.3	11.67
205.9793	21.02	968.6	11.67
206.0001	21.06	968.0	11.67
206.0209	20.99	997.7	11.67
206.0418	20.84	1016.9	11.67
206.0626	20.84	1058.0	11.67
206.0834	20.77	1087.9	11.67
206.1043	20.77	1050.8	11.67
206.1251	20.72	1031.5	11.67
206.1459	20.65	882.9	11.67
206.1668	20.65	837.6	11.67
206.1876	20.77	872.3	11.67
206.2084	20.87	878.7	11.67
206.2293	21.04	892.1	11.67
206.2501	21.19	930.8	11.67
206.2709	21.34	1004.9	11.67
206.2918	21.36	1077.3	11.67
206.3126	21.26	1116.5	11.67
206.3334	20.97	1040.0	11.67
206.3543	21.31	1037.4	11.67
206.3751	21.63	1116.7	11.67
206.3959	21.11	1030.9	11.67
206.4168	20.70	1062.0	11.67
206.4376	20.57	1016.9	11.67
206.4584	20.70	1022.4	11.67
206.4793	20.52	1019.8	11.67
206.5001	20.40	1003.4	11.67
206.5209	20.72	998.3	11.67
206.5418	20.60	982.2	11.66
206.5626	20.70	974.9	11.67
206.5834	20.94	956.9	11.67
206.6043	20.84	967.7	11.67
206.6251	20.79	991.2	11.67
206.6459	20.23	943.0	11.67
206.6668	20.87	894.5	11.66
206.6876	20.87	852.7	11.67
206.7084	21.14	851.6	11.67
206.7293	21.29	856.1	11.67
206.7501	21.36	866.6	11.67
206.7709	21.39	878.5	11.67
206.7918	21.53	876.3	11.67
206.8126	21.81	853.8	11.67
206.8334	21.83	893.1	11.67
206.8543	21.81	905.5	11.67
206.8751	21.81	922.8	11.67
206.8959	21.68	941.0	11.67
206.9168	21.19	958.1	11.67
206.9376	20.67	956.0	11.67
206.9584	20.60	943.0	11.67
206.9793	20.52	958.7	11.67
207.0001	20.60	942.8	11.67
207.0209	20.60	932.2	11.66
207.0418	20.52	941.9	11.66
207.0626	20.35	956.2	11.66
207.0834	20.67	965.5	11.66
207.1043	20.74	1011.0	11.66
207.1251	20.82	1019.7	11.66
207.1459	20.38	1001.2	11.66
207.1668	20.50	959.5	11.66
207.1876	20.38	912.0	11.66
207.2084	20.50	910.8	11.66
207.2293	20.70	939.2	11.66
207.2501	20.84	989.9	11.66
207.2709	20.99	1043.1	11.66
207.2918	21.24	1088.1	11.66
207.3126	21.51	1122.8	11.66
207.3334	21.48	1094.7	11.67
207.3543	21.44	1099.7	11.67
207.3751	21.53	1078.0	11.67
207.3959	21.61	1076.2	11.67
207.4168	21.02	1033.7	11.67
207.4376	20.30	957.7	11.66
207.4584	20.35	950.9	11.66
207.4793	20.52	978.6	11.66
207.5001	20.50	979.9	11.66
207.5209	20.50	982.7	11.66
207.5418	20.52	982.9	11.66
207.5626	20.60	996.8	11.66
207.5834	20.65	991.3	11.66
207.6043	20.52	991.2	11.66
207.6251	20.40	1004.9	11.66
207.6459	20.55	1010.4	11.66
207.6668	20.84	1020.0	11.66
207.6876	20.89	871.4	11.66
207.7084	21.11	862.7	11.66
207.7293	21.09	868.8	11.66
207.7506	21.21		11.39
207.7709	21.26	894.8	11.70
207.7918	21.63	885.5	11.69
207.8126	22.11	862.3	11.69
207.8334	22.18	887.6	11.69
207.8543	22.33	875.4	11.69
207.8751	22.51	944.9	11.69
207.8959	22.48	1000.9	11.68
207.9168	22.48	1034.8	11.68
207.9376	22.11	1055.6	11.68
207.9584	20.57	1010.9	11.68
207.9793	20.65	1027.4	11.67
208.0001	21.19	1016.4	11.67
208.0209	21.06	1016.0	11.67
208.0418	20.47	1014.4	11.67
208.0626	20.30	1026.9	11.66
208.0834	20.38	1075.3	11.66
208.1043	21.46	1080.5	11.66
208.1251	19.67	1005.9	11.66
208.1459	19.79	1063.0	11.66
208.1668	19.82	949.6	11.66
208.1876	19.87	882.8	11.65
208.2084	19.74	873.4	11.65
208.2293	19.82	865.0	11.65
208.2501	20.25	942.7	11.65
208.2709	20.40	977.1	11.65
208.2918	20.84	981.7	11.66
208.3126	21.39	1015.8	11.66
208.3334	21.26	1078.5	11.66
208.3543	19.48	1075.6	11.66
208.3751	20.82	1115.1	11.66
208.3959	20.62	1183.0	11.66
208.4168	19.87	1109.9	11.65
208.4376	20.82	1154.3	11.65
208.4584	20.01	1121.7	11.66
208.4793	19.65	1190.5	11.65
208.5001	19.65	1088.9	11.65
208.5209	19.84	1099.7	11.65
208.5418	19.72	1071.5	11.65
208.5626	19.94	1044.0	11.65
208.5834	20.01	1043.7	11.65
208.6043	19.94	1064.1	11.65
208.6251	20.18	1070.5	11.65
208.6459	20.92	1129.6	11.65
208.6668	20.72	1084.7	11.65
208.6876	18.97	1038.8	11.65
208.7084	19.50	1022.8	11.64
208.7293	21.26	955.2	11.65
208.7501	21.53	934.7	11.65
208.7709	21.36	883.0	11.65
208.7918	21.04	890.6	11.66
208.8126	21.98	920.0	11.66
208.8334	22.23	927.0	11.66
208.8543	22.36	925.8	11.66
208.8751	22.84	924.2	11.67
208.8959	23.12	909.2	11.67
208.9168	23.22	913.1	11.67
208.9376	22.31	929.7	11.67
208.9584	20.35	915.5	11.67
208.9793	20.43	953.6	11.66
209.0001	20.06	950.0	11.66
209.0209	19.84	956.8	11.65
209.0418	19.84	975.3	11.65
209.0626	19.89	998.1	11.65
209.0834	20.04	1004.4	11.65
209.1043	20.67	1101.9	11.65
209.1251	19.62	1063.9	11.65
209.1459	19.14	1055.7	11.65
209.1668	18.97	1113.7	11.64
209.1876	18.16	1196.6	11.64
209.2084	18.85	1173.1	11.63
209.2293	18.71	966.6	11.63
209.2501	19.38	880.7	11.63
209.2709	19.57	862.6	11.64
209.2918	19.45	868.9	11.64
209.3126	19.65	869.6	11.64
209.3334	20.47	892.9	11.64
209.3543	20.50	908.3	11.65
209.3751	20.70	941.8	11.65
209.3959	20.45	1017.3	11.65
209.4168	19.70	961.5	11.65
209.4376	17.80	999.6	11.64
209.4584	19.16	1154.3	11.64
209.4793	20.18	1210.8	11.64
209.5001	18.97	1058.8	11.64
209.5209	19.16	1027.0	11.64
209.5418	19.45	1032.2	11.64
209.5626	18.85	991.7	11.63
209.5834	19.19	1015.7	11.63
209.6043	18.26	1022.6	11.63
209.6251	18.21	1007.7	11.63
209.6459	18.54	1046.7	11.63
209.6668	18.95	1052.9	11.63
209.6876	18.68	1030.9	11.63
209.7084	18.47	1045.3	11.63
209.7293	18.02	1045.1	11.63
209.7501	18.61	1051.5	11.63
209.7709	20.08	977.4	11.63
209.7918	19.79	914.9	11.63
209.8126	20.28	945.8	11.64
209.8334	21.26	966.0	11.64
209.8543	21.44	970.0	11.65
209.8751	21.14	958.3	11.65
209.8959	21.24	918.2	11.65
209.9168	20.79	861.6	11.65
209.9376	20.55	863.2	11.65
209.9584	20.43	902.0	11.65
209.9793	19.07	906.1	11.65
210.0001	19.29	925.6	11.64
