Year Day	Temperature C	CO2	Battery Voltage
242.6881	19.02		10.63
242.6889			
242.7084	18.97	352.4	10.98
242.7086			
242.7293	18.97	355.6	10.98
242.7294			
242.7501	19.14	349.8	10.97
242.7502			
242.7709	19.26	330.3	10.97
242.7711			
242.7918	19.33	326.8	10.97
242.7919			
242.8126	19.43	320.7	10.97
242.8127			
242.8334	19.57	318.8	10.96
242.8336			
242.8543	19.62	312.4	10.97
242.8544			
242.8751	19.57	313.3	10.97
242.8752			
242.8959	19.65	307.9	10.96
242.8961			
242.9168	19.60	307.8	10.96
242.9169			
242.9376	19.57	309.5	10.97
242.9377			
242.9584	19.26	313.2	10.96
242.9586			
242.9793	19.26	315.7	10.96
242.9794			
243.0001	19.21	320.8	10.96
243.0002			
243.0209	19.19	331.3	10.96
243.0211			
243.0418	19.09	335.8	10.96
243.0419			
243.0626	19.19	333.5	10.96
243.0627			
243.0834	19.31	328.1	10.96
243.0836			
243.1043	19.31	332.6	10.96
243.1044			
243.1251	19.16	341.8	10.96
243.1252			
243.1459	19.00	349.2	10.96
243.1461			
243.1668	18.95	353.6	10.96
243.1669			
243.1876	18.83	359.2	10.95
243.1877			
243.2084	18.92	355.0	10.95
243.2086			
243.2293	18.85	358.0	10.95
243.2294			
243.2501	18.85	359.5	10.95
243.2502			
243.2709	18.90	361.7	10.95
243.2711			
243.2918	18.97	361.0	10.95
243.2919			
243.3126	18.95	363.4	10.95
243.3127			
243.3334	18.90	367.0	10.95
243.3336			
243.3543	18.83	372.5	10.95
243.3544			
243.3751	18.80	379.1	10.95
243.3752			
243.3959	18.78	368.5	10.95
243.3961			
243.4168	18.78	376.9	10.95
243.4169			
243.4376	18.64	382.9	10.95
243.4377			
243.4584	18.47	388.1	10.95
243.4586			
243.4793	18.73	384.3	10.95
243.4794			
243.5001	18.64	385.1	10.95
243.5002			
243.5209	18.68	387.5	10.95
243.5211			
243.5418	18.68	389.7	10.95
243.5419			
243.5626	18.57	393.6	10.95
243.5627			
243.5834	18.61	387.1	10.95
243.5836			
243.6043	18.64	382.7	10.95
243.6044			
243.6251	18.64	380.5	10.95
243.6252			
243.6459	18.80	374.5	10.95
243.6461			
243.6668	18.90	366.1	10.95
243.6669			
243.6876	19.04	363.2	10.95
243.6877			
243.7084	18.95	365.2	10.95
243.7086			
243.7293	19.04	352.7	10.95
243.7294			
243.7501	19.14	353.7	10.95
243.7502			
243.7709	19.09	347.8	10.95
243.7711			
243.7918	19.19	343.0	10.95
243.7919			
243.8126	19.21	345.4	10.95
243.8127			
243.8334	19.38	337.0	10.95
243.8336			
243.8543	19.29	329.8	10.95
243.8544			
243.8751	19.26	342.9	10.96
243.8752			
243.8959	19.38	339.6	10.95
243.8961			
243.9168	19.24	333.1	10.95
243.9169			
243.9376	18.90	345.5	10.95
243.9377			
243.9584	18.59	360.0	10.95
243.9586			
243.9793	18.54	371.2	10.95
243.9794			
244.0001	18.78	358.2	10.95
244.0002			
244.0209	18.78	368.6	10.95
244.0211			
244.0418	18.78	374.3	10.95
244.0419			
244.0626	18.68	370.0	10.95
244.0627			
244.0834	18.59	377.8	10.95
244.0836			
244.1043	18.54	380.1	10.95
244.1044			
244.1251	18.49	386.7	10.95
244.1252			
244.1459	18.54	378.6	10.95
244.1461			
244.1668	18.57	380.9	10.95
244.1669			
244.1876	18.54	379.5	10.95
244.1877			
244.2084	18.47	379.4	10.95
244.2086			
244.2293	18.45	376.4	10.95
244.2294			
244.2501	18.47	375.9	10.95
244.2502			
244.2709	18.54	383.3	10.94
244.2711			
244.2918	18.49	389.0	10.95
244.2919			
244.3126	18.49	392.8	10.95
244.3127			
244.3334	18.49	393.4	10.94
244.3336			
244.3543	18.49	398.5	10.94
244.3544			
244.3751	18.45	400.0	10.95
244.3752			
244.3959	18.47	399.3	10.95
244.3961			
244.4168	18.47	383.4	10.95
244.4169			
244.4376	18.40	396.7	10.95
244.4377			
244.4584	18.35	395.3	10.94
244.4586			
244.4793	18.23	401.5	10.94
244.4794			
